,Unnamed: 0,Title,Year,Director,Writer,Actors,Genre,Language,Country,Runtime,BoxOffice
206,236,"Like Sunday, Like Rain",2014,Frank Whaley,Frank Whaley,"Julian Shatkin, Olga Merediz, Debra Messing, Wayne Pretlow",Drama,English,USA,104,27623
233,267,About Last Night,2014,Steve Pink,"Leslye Headland (screenplay by), Tim Kazurinsky (based on the screenplay by), Denise DeClue (based on the screenplay by), David Mamet (based upon ""Sexual Perversity in Chicago"" by)","Kevin Hart, Michael Ealy, Regina Hall, Joy Bryant",Comedy,English,USA,100,39477140
255,293,D' Mrs. Brown's Boys Movie,2014,Ben Kellett,Brendan O'Carroll (screenplay by),"Brendan O'Carroll, Dermot O'Neill, Eilish O'Carroll, June Rodgers",Comedy,English,UK,94,12453660
270,311,A Villain,2014,Mohit Suri,"Tushar Hiranandani, Milap Zaveri (dialogue)","Sidharth Malhotra, Riteish Deshmukh, Shraddha Kapoor, Shaad Randhawa",Action,Hindi,India,129,414116
273,315,The Amazing Spider-Man 2,2014,Marc Webb,"Alex Kurtzman (screenplay), Roberto Orci (screenplay), Jeff Pinkner (screenplay), Alex Kurtzman (screen story), Roberto Orci (screen story), Jeff Pinkner (screen story), James Vanderbilt (screen story), Stan Lee (Marvel comic book), Steve Ditko (Marvel comic book)","Andrew Garfield, Emma Stone, Jamie Foxx, Dane DeHaan",Action,English,USA,142,183277573
294,336,"She Smiles, She's Snared!",2014,Vinil Mathew,"Harshavardhan Kulkarni (story and screenplay), Anurag Kashyap (dialogue), Harshavardhan Kulkarni (dialogue), Purva Naresh (dialogue), Vinil Mathew (dialogue)","Sidharth Malhotra, Parineeti Chopra, Adah Sharma, Manoj Joshi",Comedy,Hindi,India,141,336985
309,353,The Prophet,2014,"Roger Allers, Gaetan Brizzi, Paul Brizzi, Joan C. Gratz, Mohammed Saeed Harib, Tomm Moore, Nina Paley, Bill Plympton, Joann Sfar, Michal Socha","Roger Allers (screenplay by), Kahlil Gibran (based on the novel by), Hanna Weg (additional writing), Irene Mecchi (additional dialogue), Douglas Wood (additional dialogue)","Liam Neeson, Salma Hayek, John Krasinski, Frank Langella",Animation,English,USA,85,217451
321,366,Moomins on the Riviera,2014,"Xavier Picard, Hanna Hemila(co-director)","Leslie Stewart (screenplay), Annina Enckell (screenplay), Hanna Hemila (screenplay), Xavier Picard (screenplay), Beata Harju (screenplay), Tove Jansson (comic strip)","Maria Sid, Russell Tovey, Mats Langbacka, Tracy Ann Oberman",Animation,Finnish,Finland,80,169190
327,372,Addicted,2014,Bille Woodruff,"Christina Welsh (screenplay by), Ernie Barbarash (screenplay by), Zane (based on the novel by)","Boris Kodjoe, Brandon Gonzales, Cameron Mills, Daniel O'Callaghan",Drama,Spanish,USA,106,17382982
330,375,Last Weekend,2014,"Tom Dolby, Tom Williams",Tom Dolby,"Patricia Clarkson, Julio Oscar Mechoso, Zachary Booth, Rutina Wesley",Comedy,English,USA,94,2661
332,377,The Internet's Own Boy: The Story of Aaron Swartz,2014,Brian Knappenberger,Brian Knappenberger,"Tim Berners-Lee, Cindy Cohn, Gabriella Coleman, Cory Doctorow",Documentary,English,USA,105,48911
361,408,Two-Bit Waltz,2014,Clara Mamet,Clara Mamet,"Clara Mamet, William H. Macy, Jared Gilman, Rebecca Pidgeon",Comedy,English,USA,81,2051
378,427,The Gambler,2014,Rupert Wyatt,"William Monahan (screenplay), James Toback","Mark Wahlberg, George Kennedy, Griffin Cleveland, Jessica Lange",Crime,English,USA,111,18884667
390,440,Touch the Wall,2014,"Grant Barbeito, Christo Brock",Christo Brock,"Missy Franklin, Kara Lynn Joyce, Da Franklin, Dick Franklin",Documentary,English,USA,101,6150
407,458,Mary Kom,2014,Omung Kumar,"Saiwyn Quadras (story and screenplay), Ramendra Vasishth (dialogue), Karan Singh Rathore (dialogue)","Priyanka Chopra, Sunil Thapa, Robin Das, Rajni Basumatary",Action,Hindi,India,122,590165
410,461,Transformers: Age of Extinction,2014,Michael Bay,Ehren Kruger,"Mark Wahlberg, Stanley Tucci, Kelsey Grammer, Nicola Peltz",Action,English,USA,165,206755538
426,479,Northern Soul,2014,Elaine Constantine,Elaine Constantine,"Steve Coogan, Antonia Thomas, Ricky Tomlinson, James Lance",Drama,English,UK,102,6786
427,480,Flowers,2014,"Jon Garano, Jose Mari Goenaga","Aitor Arregi, Jon Garano, Jose Mari Goenaga","Itziar Ituno, Nagore Aranburu, Itziar Aizpuru, Josean Bengoetxea",Drama,Basque,Spain,99,59477
434,487,"My Love, Don't Cross That River",2014,Mo-young Jin,Mo-young Jin,"Byeong-man Jo, Gye-yeol Kang",Documentary,Korean,South Korea,86,86446
435,488,Persecuted,2014,Daniel Lusko,Daniel Lusko,"James Remar, Dean Stockwell, Bruce Davison, Raoul Max Trujillo",Action,English,USA,91,1557494
454,508,Interstellar,2014,Christopher Nolan,"Jonathan Nolan, Christopher Nolan","Ellen Burstyn, Matthew McConaughey, Mackenzie Foy, John Lithgow",Adventure,English,USA,169,158737441
455,509,The Giver,2014,Phillip Noyce,"Michael Mitnick (screenplay), Robert B. Weide (screenplay), Lois Lowry (book)","Jeff Bridges, Meryl Streep, Brenton Thwaites, Alexander Skarsgard",Drama,English,South Africa,97,33480518
458,513,Godzilla,2014,Gareth Edwards,"Max Borenstein (screenplay), Dave Callaham (story), Ishiro Honda (based on the character created by), Takeo Murata (based on the character created by), Shigeru Kayama (based on the character created by)","Aaron Taylor-Johnson, CJ Adams, Ken Watanabe, Bryan Cranston",Action,English,USA,123,172962996
490,550,The Maze Runner,2014,Wes Ball,"Noah Oppenheim (screenplay by), Grant Pierce Myers (screenplay by), T.S. Nowlin (screenplay by), James Dashner (based upon the novel by)","Dylan O'Brien, Aml Ameen, Ki Hong Lee, Blake Cooper",Action,English,USA,113,98537272
509,571,An Honest Liar,2014,"Tyler Measom, Justin Weinstein","Tyler Measom, Greg O'Toole, Justin Weinstein","James Randi, Deyvi Pena, Penn Jillette, Teller",Documentary,English,USA,90,177476
531,595,The Hero of Color City,2014,Frank Gladstone,"Jess Kedward (screenplay), J.P. McCormick (screenplay), Kirsty Peart (screenplay), Rich Raczelowski (screenplay)","Elizabeth Daily, Christina Ricci, Tom Lowell, Jess Harnell",Animation,English,USA,77,32048
542,607,Before We Go,2014,Chris Evans,"Ronald Bass (screenplay), Jen Smolka (screenplay), Chris Shafer (screenplay), Paul Vicknair (screenplay), Ronald Bass (story), Jen Smolka (story)","Chris Evans, Alice Eve, Emma Fitzpatrick, John Cullum",Comedy,English,USA,95,22522
556,623,Little Accidents,2014,Sara Colangelo,Sara Colangelo,"Boyd Holbrook, Randy Springer, Jacob Lofland, Beau Wright",Drama,English,USA,105,5479639
557,624,Inherent Vice,2014,Paul Thomas Anderson,"Paul Thomas Anderson (written for the screen by), Thomas Pynchon (based on the novel by)","Joanna Newsom, Katherine Waterston, Joaquin Phoenix, Jordan Christian Hearn",Comedy,English,USA,148,6100613
576,645,The Interview,2014,"Evan Goldberg, Seth Rogen","Dan Sterling (screenplay), Seth Rogen (story), Evan Goldberg (story), Dan Sterling (story)","James Franco, Seth Rogen, Lizzy Caplan, Randall Park",Comedy,English,USA,112,4551688
597,668,The Boxtrolls,2014,"Graham Annable, Anthony Stacchi","Irena Brignull (screenplay), Adam Pava (screenplay), Alan Snow (novel), Anthony Stacchi (story adapted by), Phil Dale (story adapted by), Vera Brosgol (additional writing)","Steve Blum, Dee Bradley Baker, Max Mitchell, Ben Kingsley",Animation,English,USA,96,52098992
601,672,'71,2014,Yann Demange,Gregory Burke,"Jack O'Connell, Jack Lowden, Paul Popplewell, Adam Nagaitis",Action,English,UK,99,1286219
615,686,Fury,2014,David Ayer,David Ayer,"Brad Pitt, Shia LaBeouf, Logan Lerman, Michael Pena",Action,English,USA,134,72609225
635,707,Dawn of the Planet of the Apes,2014,Matt Reeves,"Mark Bomback, Rick Jaffa, Amanda Silver, Rick Jaffa (based on characters created by), Amanda Silver (based on characters created by)","Andy Serkis, Jason Clarke, Gary Oldman, Keri Russell",Action,English,USA,130,183278877
639,711,Deliver Us from Evil,2014,Scott Derrickson,"Scott Derrickson (screenplay), Paul Harris Boardman (screenplay), Ralph Sarchie (book), Lisa Collier Cool (book)","Eric Bana, Edgar Ramirez, Olivia Munn, Chris Coy",Horror,English,USA,118,18871466
642,714,I'm Your Hero,2014,David Dhawan,"Tushar Hiranandani (story and screenplay), Milap Zaveri (dialogue)","Varun Dhawan, Ileana D'Cruz, Nargis Fakhri, Arunoday Singh",Action,Hindi,India,128,274579
644,716,The Two Faces of January,2014,Hossein Amini,"Hossein Amini, Patricia Highsmith (based on the novel by)","Oscar Isaac, Viggo Mortensen, Kirsten Dunst, Daisy Bevan",Romance,English,UK,96,1638101
647,719,Wild,2014,Jean-Marc Vallee,"Nick Hornby (screenplay by), Cheryl Strayed (memoir ""Wild: From Lost to Found on the Pacific Crest Trail"")","Reese Witherspoon, Laura Dern, Thomas Sadoski, Keene McRae",Adventure,English,USA,115,24673716
656,730,The Legend of Hercules,2014,Renny Harlin,"Sean Hood, Daniel Giat, Renny Harlin, Giulio Steve","Kellan Lutz, Gaia Weiss, Scott Adkins, Roxanne McKee",Action,English,USA,99,14739982
659,733,5 to 7,2014,Victor Levin,Victor Levin,"Anton Yelchin, Berenice Marlohe, David Shannon, Lambert Wilson",Comedy,English,USA,95,117066
664,740,Alien Abduction,2014,Matty Beckerman,Robert Lewis,"Katherine Sigismund, Corey Eid, Riley Polanski, Jillian Clare",Horror,English,USA,85,10514
681,758,Lucy,2014,Luc Besson,Luc Besson,"Scarlett Johansson, Morgan Freeman, Min-sik Choi, Amr Waked",Action,English,France,89,108521370
682,759,Madame Bovary,2014,Sophie Barthes,"Felipe Marino (screenplay by), Sophie Barthes (screenplay by), Gustave Flaubert (based on the novel by)","Mia Wasikowska, Rhys Ifans, Ezra Miller, Logan Marshall-Green",Drama,English,Germany,118,183185
693,772,The Letters,2014,William Riead,William Riead,"Juliet Stevenson, Max von Sydow, Rutger Hauer, Priya Darshini",Drama,English,USA,114,1053288
695,774,The Theory of Everything,2014,James Marsh,"Anthony McCarten (screenplay), Jane Hawking (book)","Eddie Redmayne, Felicity Jones, Tom Prior, Sophie Perry",Biography,English,UK,123,35887263
699,778,Big Game,2014,Jalmari Helander,"Jalmari Helander (screenplay by), Jalmari Helander (based on the original story by), Petri Jokiranta (based on the original story by)","Samuel L. Jackson, Onni Tommila, Ray Stevenson, Victor Garber",Action,English,UK,110,17408
703,782,The Overnighters,2014,Jesse Moss,Jesse Moss,"Jay Reinke, Andrea Reinke, Alan Mezo, Shelly Schultz",Documentary,English,USA,102,100022
710,790,How to Train Your Dragon 2,2014,Dean DeBlois,"Dean DeBlois, Cressida Cowell (based upon the ""How to Train Your Dragon"" book series by)","Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson",Animation,English,USA,102,147065544
721,802,Land Ho!,2014,"Aaron Katz, Martha Stephens","Aaron Katz, Martha Stephens","Earl Lynn Nelson, Paul Eenhoorn, Daniel Gylfason, Thrudur Kristjansdottir",Adventure,English,Iceland,95,727430
732,815,3 Hearts,2014,Benoit Jacquot,"Julien Boivent, Benoit Jacquot","Benoit Poelvoorde, Charlotte Gainsbourg, Chiara Mastroianni, Catherine Deneuve",Drama,French,France,108,104398
754,839,The Equalizer,2014,Antoine Fuqua,"Richard Wenk, Michael Sloan (based on the television series created by), Richard Lindheim (based on the television series created by)","Denzel Washington, Marton Csokas, Chloe Grace Moretz, David Harbour",Action,English,USA,132,85212969
758,843,Heaven Knows What,2014,"Benny Safdie, Josh Safdie","Arielle Holmes (inspired by a book written by), Josh Safdie, Ronald Bronstein","Arielle Holmes, Caleb Landry Jones, Buddy Duress, Necro",Drama,English,USA,97,80013
801,892,Non-Stop,2014,Jaume Collet-Serra,"John W. Richardson (screenplay), Christopher Roach (screenplay), Ryan Engle (screenplay), John W. Richardson (story), Christopher Roach (story)","Liam Neeson, Julianne Moore, Scoot McNairy, Michelle Dockery",Action,English,UK,106,80432029
805,897,Alive Inside,2014,Michael Rossato-Bennett,Michael Rossato-Bennett,"Dan Cohen, Louise Dueno, Nell Hardie, Norman Hardie",Documentary,English,USA,78,150197
811,903,Son of God,2014,Christopher Spencer,"Richard Bedser, Christopher Spencer, Colin Swash, Nic Young","Diogo Morgado, Greg Hicks, Adrian Schiller, Darwin Shaw",Biography,English,USA,138,46305287
812,904,Beloved Sisters,2014,Dominik Graf,Dominik Graf (screenplay),"Hannah Herzsprung, Florian Stetter, Henriette Confurius, Claudia Messner",Drama,German,Germany,138,34958
825,920,Kingsman: The Secret Service,2014,Matthew Vaughn,"Jane Goldman (screenplay by), Matthew Vaughn (screenplay by), Mark Millar (based on the comic book ""The Secret Service"" by), Dave Gibbons (based on the comic book ""The Secret Service"" by)","Adrian Quinton, Colin Firth, Mark Strong, Jonno Davies",Action,English,UK,129,119469511
841,937,[REC] 4: Apocalypse,2014,Jaume Balaguero,"Jaume Balaguero (screenplay), Manu Diez (screenplay)","Manuela Velasco, Paco Manzanedo, Hector Colome, Ismael Fritschi",Horror,Spanish,Spain,95,708
847,945,Boyhood,2014,Richard Linklater,Richard Linklater,"Ellar Coltrane, Patricia Arquette, Elijah Smith, Lorelei Linklater",Drama,English,USA,165,18859617
848,946,Guardians of the Galaxy,2014,James Gunn,"James Gunn, Nicole Perlman, Dan Abnett (based on the Marvel comics by), Andy Lanning (based on the Marvel comics by), Bill Mantlo (character created by: Rocket Raccoon), Keith Giffen (character created by: Rocket Raccoon), Jim Starlin (characters created by: Drax the Destroyer,  Gamora & Thanos), Steve Englehart (character created by: Star-Lord), Steve Gan (character created by: Star-Lord), Steve Gerber (character created by: Howard the Duck), Val Mayerik (character created by: Howard the Duck)","Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel",Action,English,USA,121,270592504
885,988,Skin Trade,2014,Ekachai Uekrongtham,"Dolph Lundgren (screenplay), Steven Elder (screenplay), Gabriel Dowrick (screenplay), Dolph Lundgren (story)","Dolph Lundgren, Tony Jaa, Michael Jai White, Ron Perlman",Action,English,Thailand,96,1242
890,994,Pawn Sacrifice,2014,Edward Zwick,"Steven Knight (screenplay), Stephen J. Rivele (story), Christopher Wilkinson (story), Steven Knight (story)","Tobey Maguire, Liev Schreiber, Michael Stuhlbarg, Peter Sarsgaard",Biography,English,USA,115,1696603
906,1012,Unsullied,2014,Simeon Rice,"John Nodilo, John Nodilo (screenplay), John Nodilo, Simeon Rice, Simeon Rice","Rusty Joiner, Murray Gray, James Gaudioso, Cindy Karr",Action,English,USA,93,8220
913,1020,X-Men: Days of Future Past,2014,Bryan Singer,"Simon Kinberg (screenplay by), Jane Goldman (story by), Simon Kinberg (story by), Matthew Vaughn (story by)","Hugh Jackman, James McAvoy, Michael Fassbender, Jennifer Lawrence",Action,English,USA,132,199305306
938,1050,"Men, Women & Children",2014,Jason Reitman,"Jason Reitman (screenplay), Erin Cressida Wilson (screenplay), Chad Kultgen (novel)","Adam Sandler, Jennifer Garner, Rosemarie DeWitt, Judy Greer",Comedy,English,USA,119,536272
951,1064,Jack Ryan: Shadow Recruit,2014,Kenneth Branagh,"Adam Cozad, David Koepp, Tom Clancy (based on characters created by)","Chris Pine, Keira Knightley, Kevin Costner, Kenneth Branagh",Action,English,USA,105,43003831
958,1072,Meet Me in Montenegro,2014,"Alex Holdridge, Linnea Saasen","Alex Holdridge, Linnea Saasen","Alex Holdridge, Linnea Saasen, Rupert Friend, Jennifer Ulrich",Comedy,English,USA,90,7367
985,1101,Penguins of Madagascar,2014,"Eric Darnell, Simon J. Smith","Michael Colton (screenplay by), John Aboud (screenplay by), Brandon Sawyer (screenplay by), Alan Schoolcraft (story by), Brent Simons (story by), Michael Colton (story by), John Aboud (story by)","Tom McGrath, Chris Miller, Christopher Knights, Conrad Vernon",Animation,English,USA,92,70727688
991,1107,Sin City: A Dame to Kill For,2014,"Frank Miller, Robert Rodriguez","Frank Miller, Frank Miller (graphic novels)","Mickey Rourke, Jessica Alba, Josh Brolin, Joseph Gordon-Levitt",Crime,English,USA,102,11064709
1001,1119,While We're Young,2014,Noah Baumbach,"Noah Baumbach, Henrik Ibsen (epigraph from ""A Master Builder"" by), Wallace Shawn (epigraph from ""A Master Builder"" translated by)","Naomi Watts, Ben Stiller, Maria Dizzia, Adam Horovitz",Comedy,English,USA,97,7008208
1007,1126,Boychoir,2014,Francois Girard,Ben Ripley,"Dustin Hoffman, Kathy Bates, Eddie Izzard, Kevin McHale",Drama,English,USA,103,191891
1011,1130,Ride Along,2014,Tim Story,"Greg Coolidge (screenplay), Jason Mantzoukas (screenplay), Phil Hay (screenplay), Matt Manfredi (screenplay), Greg Coolidge (story)","Ice Cube, Kevin Hart, John Leguizamo, Bruce McGill",Action,English,USA,99,110374905
1043,1162,Shaadi Ke Side Effects,2014,Saket Chaudhary,"Saket Chaudhary (screenplay), Saket Chaudhary (story), Zeenat Lakhani (screenplay), Zeenat Lakhani (story), Arshad Sayed (dialogue), Arshad Sayed (screenplay)","Farhan Akhtar, Vidya Balan, Vir Das, Ram Kapoor",Comedy,Hindi,India,145,856323
1052,1171,Night at the Museum: Secret of the Tomb,2014,Shawn Levy,"David Guion (screenplay), Michael Handelman (screenplay), Mark Friedman (story), David Guion (story), Michael Handelman (story), Thomas Lennon (characters), Robert Ben Garant (characters)","Ben Stiller, Robin Williams, Owen Wilson, Steve Coogan",Adventure,English,UK,98,81522782
1076,1195,Six Dance Lessons in Six Weeks,2014,Arthur Allan Seidelman,"Richard Alfieri (based on play by), Richard Alfieri (screenplay by)","Gena Rowlands, Cheyenne Jackson, Jacki Weaver, Rita Moreno",Comedy,English,Hungary,107,73613
1103,1222,Draft Day,2014,Ivan Reitman,"Scott Rothman, Rajiv Joseph","Chris Berman, Dave Donaldson, Patrick St. Esprit, Chi McBride",Drama,English,USA,110,21105891
1118,1237,Wild Canaries,2014,Lawrence Michael Levine,Lawrence Michael Levine,"Sophia Takal, Lawrence Michael Levine, Alia Shawkat, Annie Parisse",Comedy,English,USA,96,5726
1123,1242,Wei ai zhi jian ru jia jing,2014,Changwei Gu,Wei Gu,"Angelababy, He Chen, Luyi Zhang, Lu Cao",Comedy,Chinese,China,135,271451
1128,1247,Camp X-Ray,2014,Peter Sattler,Peter Sattler,"Nawal Bengholam, Payman Maadi, Lane Garrison, Joseph Julian Soria",Drama,English,USA,117,9837
1134,1253,Hellion,2014,Kat Candler,Kat Candler,"Aaron Paul, Juliette Lewis, Josh Wiggins, Deke Garner",Drama,English,USA,99,46110
1148,1267,Singham Returns,2014,Rohit Shetty,"Rohit Shetty (story), Yunus Sajawal (screenplay), Farhad Samji (dialogue), Sajid (dialogue)","Ajay Devgn, Kareena Kapoor, Amole Gupte, Anupam Kher",Action,Hindi,India,142,1231550
1150,1269,Holiday,2014,A.R. Murugadoss,"A.R. Murugadoss (screenplay), A.R. Murugadoss (story)","Akshay Kumar, Sonakshi Sinha, Freddy Daruwala, Sumeet Raghvan",Action,Hindi,India,160,707672
1152,1271,Get Santa,2014,Christopher Smith,Christopher Smith,"Jim Broadbent, Rafe Spall, Kit Connor, Ewen Bremner",Comedy,English,UK,102,1757892
1154,1274,A Fool,2014,Jianbin Chen,Xuewen Hu (novel),"Jianbin Chen, Qinqin Jiang, Kim Scar, Xuebing Wang",Comedy,Chinese,China,103,5741
1157,1277,It Follows,2014,David Robert Mitchell,David Robert Mitchell,"Bailey Spry, Carollette Phillips, Loren Bass, Keir Gilchrist",Horror,English,USA,100,10705259
1162,1282,Do I Sound Gay?,2014,David Thorpe,"David Thorpe, Maeve O'Boyle","Michael Airington, Richard Barrios, Margaret Cho, Becky Collins",Documentary,English,USA,77,87742
1169,1289,Walking on Sunshine,2014,"Max Giwa, Dania Pasquini",Joshua St Johnston,"Greg Wise, Hannah Arterton, Annabel Scholey, Anabel Kutay",Comedy,English,UK,97,618328
1176,1296,Love Is Strange,2014,Ira Sachs,"Ira Sachs, Mauricio Zacharias","Alfred Molina, John Lithgow, Darren E. Burrows, Charlie Tahan",Drama,English,USA,94,1932818
1184,1305,The Disappearance of Eleanor Rigby: Them,2014,Ned Benson,Ned Benson,"James McAvoy, Jessica Chastain, Nina Arianda, Viola Davis",Drama,English,USA,123,402191
1195,1318,Fed Up,2014,Stephanie Soechtig,"Mark Monroe, Stephanie Soechtig","Katie Couric, Bill Clinton, Michael Bloomberg, Gary Taubes",Documentary,English,USA,92,1538898
1207,1332,PK,2014,Rajkumar Hirani,"Rajkumar Hirani, Abhijat Joshi","Aamir Khan, Anushka Sharma, Saurabh Shukla, Sanjay Dutt",Comedy,Hindi,India,153,9027790
1215,1340,Serena,2014,Susanne Bier,"Christopher Kyle (screenplay), Ron Rash (based on the book by)","Bradley Cooper, Jennifer Lawrence, Rhys Ifans, Toby Jones",Drama,English,Czech Republic,109,326289
1228,1354,The Suicide Theory,2014,Dru Brown,Michael J. Kospiah,"Steve Mouzakis, Leon Cain, Joss McWilliam, Matthew Scully",Drama,English,Australia,98,5229
1253,1381,Punjab 1984,2014,Anurag Singh,"Surmeet Maavi, Anurag Singh (story), Anurag Singh, Anurag Singh","Diljit Dosanjh, Kiron Kher, Pavan Malhotra, Sonam Bajwa",Drama,Punjabi,Canada,159,138545
1255,1384,Goodnight Mommy,2014,"Severin Fiala, Veronika Franz","Veronika Franz (screenplay), Severin Fiala (screenplay)","Lukas Schwarz, Elias Schwarz, Susanne Wuest, Hans Escher",Horror,German,Austria,99,580389
1271,1401,Phoenix,2014,Christian Petzold,"Christian Petzold (screenplay), Harun Farocki, Hubert Monteilhet (novel)","Nina Hoss, Ronald Zehrfeld, Nina Kunzendorf, Trystan Putter",Drama,German,Germany,98,2164527
1284,1417,Finding Fanny,2014,Homi Adajania,"Homi Adajania, Kersi Khambatta","Deepika Padukone, Naseeruddin Shah, Basilo Dias, Kevin D'Mello",Adventure,English,India,102,515393
1295,1428,Divergent,2014,Neil Burger,"Evan Daugherty (screenplay), Vanessa Taylor (screenplay), Veronica Roth (novel)","Shailene Woodley, Theo James, Ashley Judd, Jai Courtney",Action,English,USA,139,129520735
1313,1448,Set Fire to the Stars,2014,Andy Goddard,"Andy Goddard, Celyn Jones","Elijah Wood, Celyn Jones, Kelly Reilly, Steven Mackintosh",Biography,English,UK,97,4280
1317,1452,Seventh Son,2014,Sergei Bodrov,"Charles Leavitt (screenplay), Steven Knight (screenplay), Matt Greenberg (screen story), Joseph Delaney (novel)","Jeff Bridges, Ben Barnes, Julianne Moore, Alicia Vikander",Action,English,USA,102,14945592
1374,1511,Adult Beginners,2014,Ross Katz,"Nick Kroll (story), Jeff Cox (story), Liz Flahive (story), Jeff Cox (screenplay), Liz Flahive (screenplay)","Rose Byrne, Nick Kroll, Bobby Cannavale, Joel McHale",Comedy,English,USA,92,104415
1377,1514,Manglehorn,2014,David Gordon Green,Paul Brad Logan,"Al Pacino, Holly Hunter, Harmony Korine, Chris Messina",Drama,English,USA,97,63602
1382,1520,What We Did on Our Holiday,2014,"Andy Hamilton, Guy Jenkin","Andy Hamilton, Guy Jenkin","Rosamund Pike, David Tennant, Billy Connolly, Ben Miller",Comedy,English,UK,95,2662550
1386,1525,Rio 2,2014,Carlos Saldanha,"Don Rhymer (screenplay by), Carlos Kotkin (screenplay by), Jenny Bicks (screenplay by), Yoni Brenner (screenplay by), Carlos Saldanha (story by), Laurie Craig (story consultant)","Jake T. Austin, Carlinhos Brown, Kristin Chenoweth, Jemaine Clement",Animation,English,USA,101,113691800
1402,1542,Merchants of Doubt,2014,Robert Kenner,"Erik M. Conway (original book), Robert Kenner, Naomi Oreskes (original book), Kim Roberts","Jamy Ian Swiss, Stanton A. Glantz, Sam Roe, Patricia Callahan",Documentary,English,USA,96,146394
1430,1572,The Bag Man,2014,David Grovic,"David Grovic, Paul Conway, James Russo (original screenplay ""Motel"")","John Cusack, Rebecca Da Costa, Robert De Niro, Crispin Glover",Crime,English,Bahamas,108,48817
