,Unnamed: 0,Title,Year,Director,Writer,Actors,Genre,Language,Country,Runtime,BoxOffice
257,295,Aliens in the Attic,2009,John Schultz,"Mark Burton (screenplay), Adam F. Goldberg (screenplay), Mark Burton (story)","Carter Jenkins, Austin Butler, Ashley Tisdale, Ashley Boettcher",Animation,English,USA,86,24967943
288,330,Fantastic Mr. Fox,2009,Wes Anderson,"Roald Dahl (novel), Wes Anderson (screenplay), Noah Baumbach (screenplay)","George Clooney, Meryl Streep, Jason Schwartzman, Bill Murray",Animation,English,USA,87,21000000
290,332,Did You Hear About the Morgans?,2009,Marc Lawrence,Marc Lawrence,"Hugh Grant, Sarah Jessica Parker, Natalia Klimas, Vincenzo Amato",Comedy,English,USA,103,29580087
300,342,Adam,2009,Max Mayer,Max Mayer,"Hugh Dancy, Rose Byrne, Peter Gallagher, Amy Irving",Comedy,English,USA,99,2121118
312,357,The Stepfather,2009,Nelson McCormick,"J.S. Cardone (screenplay), Donald E. Westlake (earlier screenplay), Carolyn Lefcourt (story), Brian Garfield (story), Donald E. Westlake (story)","Dylan Walsh, Sela Ward, Penn Badgley, Amber Heard",Crime,English,USA,101,29062561
315,360,Rosencrantz and Guildenstern Are Undead,2009,Jordan Galland,Jordan Galland,"Jake Hoffman, Devon Aoki, John Ventimiglia, Kris Lemche",Comedy,English,USA,89,70563
339,384,Ghosts of Girlfriends Past,2009,Mark Waters,"Jon Lucas, Scott Moore","Matthew McConaughey, Jennifer Garner, Michael Douglas, Breckin Meyer",Comedy,English,USA,100,55179308
344,390,The International,2009,Tom Tykwer,Eric Warren Singer,"Clive Owen, Naomi Watts, Armin Mueller-Stahl, Ulrich Thomsen",Action,English,USA,118,25450527
349,396,The Imaginarium of Doctor Parnassus,2009,Terry Gilliam,"Terry Gilliam, Charles McKeown","Andrew Garfield, Christopher Plummer, Richard Riddell, Katie Lyons",Adventure,English,UK,123,7504196
353,400,Broken Embraces,2009,Pedro Almodovar,Pedro Almodovar,"Penelope Cruz, Lluis Homar, Blanca Portillo, Jose Luis Gomez",Drama,Spanish,Spain,127,4900000
363,411,Observe and Report,2009,Jody Hill,Jody Hill,"Seth Rogen, Ray Liotta, Michael Pena, Anna Faris",Comedy,English,USA,86,23993605
379,428,Sacrifice,2009,Renzil D'Silva,"Renzil D'Silva (screenplay), Niranjan Iyengar (dialogues), Karan Johar (story), Anurag Kashyap (dialogues), Irfan Siddiqui (lyrics)","Kareena Kapoor, Lewis Tan, Saif Ali Khan, Om Puri",Action,Hindi,India,161,736413
396,447,The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,2009,"Judith Ehrlich, Rick Goldsmith","Lawrence Lerew, Rick Goldsmith, Judith Ehrlich, Michael Chandler","Peter Arnett, Ben Bagdikian, Ann Beeson, John Dean",Documentary,English,USA,92,453483
406,457,Mao's Last Dancer,2009,Bruce Beresford,"Jan Sardi (screenplay), Cunxin Li (autobiography)","Chi Cao, Bruce Greenwood, Penne Hackforth-Jones, Christopher Kirby",Biography,English,Australia,117,4806750
409,460,Alvin and the Chipmunks: The Squeakquel,2009,Betty Thomas,"Jon Vitti, Jonathan Aibel, Glenn Berger, Ross Bagdasarian (characters Alvin and the Chipmunks)","Zachary Levi, David Cross, Jason Lee, Justin Long",Animation,English,USA,88,219304216
419,472,Delhi-6,2009,Rakeysh Omprakash Mehra,"Rakeysh Omprakash Mehra (story & screenplay), Prasoon Joshi (story & screenplay), Kamlesh Pandey (story & screenplay)","Waheeda Rehman, Abhishek Bachchan, Sonam Kapoor, Rishi Kapoor",Comedy,Hindi,India,141,862128
456,510,A Christmas Carol,2009,Robert Zemeckis,"Robert Zemeckis (screenplay), Charles Dickens (novel)","Jim Carrey, Steve Valentine, Daryl Sabara, Sage Ryan",Animation,English,USA,96,137816456
464,520,"I Love You, Man",2009,John Hamburg,"John Hamburg (screenplay), Larry Levin (screenplay), Larry Levin (story)","Paul Rudd, Rashida Jones, Sarah Burns, Greg Levine",Comedy,English,USA,105,71300000
483,541,To Die Like a Man,2009,Joao Pedro Rodrigues,"Joao Pedro Rodrigues (screenplay), Rui Catalao (screenplay), Joao Rui Guerra da Mata (collaborator on screenplay)","Chandra Malatitch, John Jesus Romao, Ivo Barroso, Goncalo Ferreira De Almeida",Drama,Portuguese,Portugal,134,3913
485,544,World's Greatest Dad,2009,Bobcat Goldthwait,Bobcat Goldthwait,"Robin Williams, Daryl Sabara, Morgan Murphy, Naomi Glick",Comedy,English,USA,99,166467
486,545,How to Live Forever,2009,Mark Wexler,"Robert DeMaio (narration written by), Mark Wexler (narration written by)","Suzanne Somers, Phyllis Diller, Ray Bradbury, Jack LaLanne",Documentary,English,USA,92,58764
515,578,Hotel for Dogs,2009,Thor Freudenthal,"Jeff Lowell (screenplay), Robert Schooley (screenplay), Mark McCorkle (screenplay), Lois Duncan (book)","Emma Roberts, Jake T. Austin, Don Cheadle, Johnny Simmons",Comedy,English,Germany,100,73023275
535,599,Push,2009,Paul McGuigan,David Bourla,"Colin Ford, Joel Gretsch, Djimon Hounsou, Dakota Fanning",Action,English,USA,111,31730682
540,605,Last Ride,2009,Glendyn Ivin,"Mac Gudgeon (screenplay), Denise Young (novel)","Hugo Weaving, Tom Russell, Anita Hegh, John Brumpton",Drama,English,Australia,90,5480
545,611,Dogtooth,2009,Yorgos Lanthimos,"Efthymis Filippou, Yorgos Lanthimos","Christos Stergioglou, Michele Valley, Angeliki Papoulia, Hristos Passalis",Drama,Greek,Greece,97,110197
547,613,The Disappearance of Alice Creed,2009,J Blakeson,J Blakeson,"Martin Compston, Eddie Marsan, Gemma Arterton",Crime,English,UK,100,166980
548,614,[Rec] 2,2009,"Jaume Balaguero, Paco Plaza","Jaume Balaguero (screenplay), Manu Diez (screenplay), Paco Plaza (screenplay), Amelia Mora (story editor)","Jonathan D. Mellor, Oscar Zafra, Ariel Casas, Alejandro Casaseca",Horror,Spanish,Spain,85,27024
552,618,Alamar,2009,Pedro Gonzalez-Rubio,Pedro Gonzalez-Rubio (screenplay),"Jorge Machado, Roberta Palombini, Natan Machado Palombini, Nestor Marin",Documentary,Spanish,Mexico,73,61613
565,634,The Unborn,2009,David S. Goyer,David S. Goyer,"Odette Annable, Gary Oldman, Cam Gigandet, Meagan Good",Drama,English,USA,88,42638165
567,636,My Dog Tulip,2009,"Paul Fierlinger, Sandra Fierlinger","J.R. Ackerley (book), Paul Fierlinger (screenplay), Sandra Fierlinger (screenplay)","Christopher Plummer, Lynn Redgrave, Isabella Rossellini, Peter Gerety",Animation,English,USA,83,246574
571,640,Case 39,2009,Christian Alvart,Ray Wright,"Renee Zellweger, Jodelle Ferland, Ian McShane, Bradley Cooper",Horror,English,USA,109,13248477
572,641,Ice Age: Dawn of the Dinosaurs,2009,"Carlos Saldanha, Mike Thurmeier(co-director)","Peter Ackerman (screenplay), Michael Berg (screenplay), Yoni Brenner (screenplay), Jason Carter Eaton (story), Mike Reiss (screenplay)","Eunice Cho, Karen Disher, Harrison Fahn, Maile Flanagan",Animation,English,USA,94,124605432
591,661,Love Aaj Kal,2009,Imtiaz Ali,Imtiaz Ali,"Saif Ali Khan, Deepika Padukone, Rishi Kapoor, Rahul Khanna",Comedy,Hindi,India,128,2000000
598,669,Extract,2009,Mike Judge,Mike Judge,"Jason Bateman, Mila Kunis, Kristen Wiig, Ben Affleck",Comedy,English,USA,92,10642511
613,684,Winnebago Man,2009,Ben Steinbauer,"Malcolm Pullinger, Ben Steinbauer, Louisa Hall (additional writing), Joel Heller (additional writing), Berndt Mader (additional writing), Natasha Rosow (additional writing)","Jack Rebney, Ben Steinbauer, Keith Gordon, Nick Prueher",Documentary,English,USA,85,178174
626,698,"A Woman, a Gun and a Noodle Shop",2009,Yimou Zhang,"Zhengchao Xu (screenplay), Jianquan Shi (screenplay), Xiaofeng Zhou (story consultant), Ethan Coen (based on his screenplay for ""Blood Simple""), Joel Coen (based on his screenplay for ""Blood Simple"")","Honglei Sun, Shenyang Xiao, Yan Ni, Dahong Ni",Comedy,Mandarin,China,95,190666
630,702,Motherhood,2009,Katherine Dieckmann,Katherine Dieckmann,"Uma Thurman, Anthony Edwards, David Schallipp, Matthew Schallipp",Comedy,English,USA,90,50081
640,712,The Concert,2009,Radu Mihaileanu,"Radu Mihaileanu (scenario), Alain-Michel Blanc (scenario), Matthew Robbins (collaboration), Radu Mihaileanu (adaptation), Hector Cabello Reyes (based on an original story by), Thierry Degrandi (based on an original story by)","Aleksey Guskov, Dmitriy Nazarov, Melanie Laurent, Francois Berleand",Comedy,French,France,119,655474
653,726,The Girl Who Kicked the Hornet's Nest,2009,Daniel Alfredson,"Stieg Larsson (novel), Ulf Ryberg (screenplay)","Michael Nyqvist, Noomi Rapace, Lena Endre, Annika Hallin",Crime,Swedish,Sweden,147,5188972
661,735,Summer Wars,2009,Mamoru Hosoda,"Mamoru Hosoda (story), Satoko Okudera (screenplay), John Burgmeier (head writer), Patrick Seitz (script writer)","Ryunosuke Kamiki, Nanami Sakuraba, Mitsuki Tanimura, Takahiro Yokokawa",Animation,Japanese,Japan,114,78182
669,745,New in Town,2009,Jonas Elmer,"Ken Rance, C. Jay Cox","Renee Zellweger, Harry Connick Jr., Siobhan Fallon Hogan, J.K. Simmons",Comedy,English,USA,97,16699684
675,752,Avatar,2009,James Cameron,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang",Action,English,UK,162,749700000
677,754,Zombieland,2009,Ruben Fleischer,"Rhett Reese, Paul Wernick","Jesse Eisenberg, Woody Harrelson, Emma Stone, Abigail Breslin",Adventure,English,USA,88,75590286
685,762,Agora,2009,Alejandro Amenabar,"Alejandro Amenabar, Mateo Gil","Rachel Weisz, Max Minghella, Oscar Isaac, Ashraf Barhom",Adventure,English,Spain,127,600000
688,766,Cropsey,2009,"Barbara Brancaccio, Joshua Zeman",Joshua Zeman,"Joshua Zeman, Barbara Brancaccio, Bill Ellis, Dorothy D'Eletto",Documentary,English,USA,84,42393
690,768,Cracks,2009,Jordan Scott,"Ben Court (screenplay), Caroline Ip (screenplay), Jordan Scott (screenplay), Sheila Kohler (novel)","Eva Green, Juno Temple, Maria Valverde, Imogen Poots",Drama,English,UK,104,17595
697,776,Fish Tank,2009,Andrea Arnold,Andrea Arnold,"Katie Jarvis, Michael Fassbender, Kierston Wareing, Rebecca Griffiths",Drama,English,Netherlands,123,187074
704,783,Black Dynamite,2009,Scott Sanders,"Michael Jai White (screenplay), Byron Minns (screenplay), Scott Sanders (screenplay), Michael Jai White (story), Byron Minns (story)","Phyllis Applegate, Obba Babatunde, William Bassett, Troy Lindsey Brown",Action,English,USA,84,131862
713,793,De Dana Dan,2009,Priyadarshan,"Jay Master (dialogues), Ashiesh Pandit (lyrics), Priyadarshan (screenplay), Sayeed Qadri (lyrics), Neeraj Shridhar (lyrics)","Akshay Kumar, Sunil Shetty, Katrina Kaif, Sameera Reddy",Comedy,Hindi,India,162,1000000
729,811,Korkoro,2009,Tony Gatlif,"Tony Gatlif, Lucy Allwood (translation and adaptation)","Marc Lavoine, Marie-Josee Croze, James Thierree, Mathias Laliberte",Drama,French,France,111,3698
733,816,Oy Vey! My Son Is Gay!!,2009,Evgeny Afineevsky,"Menahem Golan, Evgeny Afineevsky, Martin Guigui","Lainie Kazan, Saul Rubinek, Vincent Pastore, John Lloyd Young",Comedy,English,USA,90,87154
738,821,The Princess and the Frog,2009,"Ron Clements, John Musker","Ron Clements (story by), John Musker (story by), Greg Erb (story by), Jason Oremland (story by), Ron Clements (screenplay by), John Musker (screenplay by), Rob Edwards (screenplay by), E.D. Baker (story inspired in part by ""The Frog Princess"" by)","Anika Noni Rose, Bruno Campos, Keith David, Michael-Leon Wooley",Animation,English,USA,97,104374107
744,828,G-Force,2009,Hoyt Yeatman,"Cormac Wibberley (screenplay), Marianne Wibberley (screenplay), Hoyt Yeatman (story), David P.I. James (story)","Bill Nighy, Will Arnett, Zach Galifianakis, Kelli Garner",Animation,English,USA,88,119420252
749,833,Middle Men,2009,George Gallo,"George Gallo, Andy Weiss","Luke Wilson, Giovanni Ribisi, Gabriel Macht, James Caan",Comedy,English,USA,105,723714
750,834,The Perfect Game,2009,William Dear,"W. William Winokur, W. William Winokur (book)","Jake T. Austin, Jansen Panettiere, Moises Arias, Ryan Ochoa",Comedy,English,Canada,118,1000000
764,849,The Men Who Stare at Goats,2009,Grant Heslov,"Jon Ronson (inspired by the book), Peter Straughan (screenplay)","George Clooney, Ewan McGregor, Jeff Bridges, Kevin Spacey",Comedy,English,USA,94,32400000
781,869,Enter the Void,2009,Gaspar Noe,"Gaspar Noe, Lucile Hadzihalilovic (with the help of)","Paz de la Huerta, Nathaniel Brown, Cyril Roy, Olly Alexander",Drama,English,France,161,336467
792,882,Monsters vs. Aliens,2009,"Rob Letterman, Conrad Vernon","Maya Forbes (screenplay), Wallace Wolodarsky (screenplay), Rob Letterman (screenplay), Jonathan Aibel (screenplay), Glenn Berger (screenplay), Rob Letterman (story), Conrad Vernon (story)","Reese Witherspoon, Seth Rogen, Hugh Laurie, Will Arnett",Animation,English,USA,94,198332128
797,887,Queen to Play,2009,Caroline Bottaro,"Caroline Bottaro, Bertina Henrichs (novel)","Sandrine Bonnaire, Kevin Kline, Francis Renaud, Jennifer Beals",Drama,French,France,101,478572
809,901,The Cove,2009,Louie Psihoyos,Mark Monroe,"Richard O'Barry, Louie Psihoyos, Hardy Jones, Michael Illiff",Documentary,English,USA,92,619467
810,902,Billu,2009,Priyadarshan,"Manisha Korde (dialogue), Priyadarshan (screenplay), Mushtaq Sheikh (screenplay), Sreenivasan (story)","Irrfan Khan, Lara Dutta, Om Puri, Asrani",Comedy,Hindi,India,137,698910
832,928,Micmacs,2009,Jean-Pierre Jeunet,"Jean-Pierre Jeunet (scenario), Guillaume Laurant (scenario), Guillaume Laurant (dialogue)","Dany Boon, Andre Dussollier, Yolande Moreau, Dominique Pinon",Action,French,France,105,1260917
833,929,The Road,2009,John Hillcoat,"Joe Penhall (screenplay by), Cormac McCarthy (based on the book by)","Viggo Mortensen, Kodi Smit-McPhee, Robert Duvall, Guy Pearce",Adventure,English,USA,111,8025059
849,947,Racing Dreams,2009,Marshall Curry,Marshall Curry,"Annabeth Barnes, Josh Hobson, Brandon Warren, Russ Wiles",Documentary,English,USA,93,5529
850,948,Coco Chanel & Igor Stravinsky,2009,Jan Kounen,"Chris Greenhalgh (screenplay and dialogue), Chris Greenhalgh (novel), Carlo De Boutiny (adaptation), Jan Kounen (adaptation)","Mads Mikkelsen, Anna Mouglalis, Elena Morozova, Natacha Lindinger",Drama,French,France,119,1724882
854,953,The Informant!,2009,Steven Soderbergh,"Scott Z. Burns (screenplay), Kurt Eichenwald (book)","Matt Damon, Lucas McHugh Carroll, Eddie Jemison, Rusty Schwimmer",Biography,English,USA,108,33278731
862,963,Vincere,2009,Marco Bellocchio,"Marco Bellocchio (story), Marco Bellocchio (screenplay), Daniela Ceselli (screenplay)","Giovanna Mezzogiorno, Filippo Timi, Fausto Russo Alesi, Michela Cescon",Biography,Italian,Italy,128,600000
864,966,The Good Guy,2009,Julio DePietro,Julio DePietro,"Alexis Bledel, Scott Porter, Bryan Greenberg, Colin Egglesfield",Comedy,English,USA,90,34712
866,968,Cold Souls,2009,Sophie Barthes,Sophie Barthes,"Paul Giamatti, Armand Schultz, Michael Tucker, Dina Korzun",Comedy,English,USA,101,700980
894,999,"I Love You, Beth Cooper",2009,Chris Columbus,"Larry Doyle (screenplay), Larry Doyle (novel)","Hayden Panettiere, Paul Rust, Jack Carpenter, Lauren London",Comedy,English,Canada,102,14800000
908,1014,Chandni Chowk to China,2009,Nikkhil Advani,"Rajat Arora (dialogue), Bohemia (lyrics), Kailash Kher (lyrics), Shridhar Raghavan","Mithun Chakraborty, Akshay Kumar, Deepika Padukone, Ranvir Shorey",Action,Hindi,India,154,869611
960,1074,A Single Man,2009,Tom Ford,"Christopher Isherwood (novel), Tom Ford (written for the screen by), David Scearce (written for the screen by)","Colin Firth, Julianne Moore, Nicholas Hoult, Matthew Goode",Drama,English,USA,99,9098668
970,1086,Desert Flower,2009,Sherry Hormann,"Smita Bhide (script revisions), Waris Dirie (novel), Sherry Hormann, Cathleen Miller (novel), Wustenblume (dubbing dialogue)","Soraya Omar-Scego, Idriss Abdillahi Houfaneh, Awa Said Darar, Roun Daher Ainan",Biography,English,UK,120,29425
973,1089,Daybreakers,2009,"Michael Spierig, Peter Spierig","Michael Spierig, Peter Spierig","Harriet Minto-Day, Jay Laga'aia, Damien Garvey, Sahaj Dumpleton",Action,English,Australia,98,30000000
975,1091,Funny People,2009,Judd Apatow,Judd Apatow,"Adam Sandler, Seth Rogen, Leslie Mann, Eric Bana",Comedy,English,USA,146,51814190
995,1112,The Mighty Macs,2009,Tim Chambers,"Tim Chambers (screenplay), Tim Chambers (story), Anthony Gargano (story)","Carla Gugino, Marley Shelton, Ellen Burstyn, David Boreanaz",Drama,English,USA,99,1889522
1003,1121,That Evening Sun,2009,Scott Teems,"Scott Teems (screenplay), William Gay (short story ""I Hate to See That Evening Sun Go Down"")","Hal Holbrook, Ray McKinnon, Walton Goggins, Mia Wasikowska",Drama,English,USA,109,83803
1023,1142,Father,2009,R. Balki,R. Balki,"Amitabh Bachchan, Abhishek Bachchan, Vidya Balan, Paresh Rawal",Comedy,Hindi,India,133,199228
1030,1149,Angels & Demons,2009,Ron Howard,"David Koepp (screenplay), Akiva Goldsman (screenplay), Dan Brown (novel)","Tom Hanks, Ewan McGregor, Ayelet Zurer, Stellan Skarsgard",Mystery,English,USA,138,133375846
1044,1163,I Love You Phillip Morris,2009,"Glenn Ficarra, John Requa","John Requa, Glenn Ficarra, Steve McVicker (book)","Jim Carrey, Ewan McGregor, Leslie Mann, Rodrigo Santoro",Biography,English,France,98,2026852
1066,1185,The Taking of Pelham 123,2009,Tony Scott,"Brian Helgeland (screenplay), John Godey (novel)","Denzel Washington, John Travolta, Luis Guzman, Victor Gojcaj",Action,English,USA,106,65452312
1075,1194,Wild Grass,2009,Alain Resnais,"Christian Gailly (novel), Alain Resnais (adaptation), Laurent Herbiet (adaptation)","Sabine Azema, Andre Dussollier, Anne Consigny, Emmanuelle Devos",Drama,French,France,104,403649
1084,1203,Wake Up Sid,2009,Ayan Mukherjee,"Ayan Mukherjee (story and screenplay), Niranjan Iyengar (dialogue)","Ranbir Kapoor, Konkona Sen Sharma, Supriya Pathak, Anupam Kher",Comedy,Hindi,India,138,611574
1085,1204,Sorority Row,2009,Stewart Hendler,"Josh Stolberg (screenplay), Pete Goldfinger (screenplay), Mark Rosman (screenplay ""Seven Sisters"")","Teri Andrez, Adam Barrie, Megan Wolfley, Robert Belushi",Horror,English,USA,101,11915856
1086,1205,Law Abiding Citizen,2009,F. Gary Gray,Kurt Wimmer,"Jamie Foxx, Gerard Butler, Colm Meaney, Bruce McGill",Crime,English,USA,109,73343413
1099,1218,My Life in Ruins,2009,Donald Petrie,Mike Reiss,"Nia Vardalos, Richard Dreyfuss, Alexis Georgoulis, Alistair McGowan",Comedy,English,USA,95,8474608
1114,1233,The Last Station,2009,Michael Hoffman,"Michael Hoffman (screenplay), Jay Parini (based on the novel by)","Helen Mirren, Christopher Plummer, Paul Giamatti, James McAvoy",Biography,English,UK,112,6500000
1122,1241,Madea Goes to Jail,2009,Tyler Perry,"Tyler Perry (based on the stage play by), Tyler Perry","Tyler Perry, Derek Luke, Keshia Knight Pulliam, David Mann",Comedy,English,USA,103,90485233
1133,1252,The Blind Side,2009,John Lee Hancock,"John Lee Hancock, Michael Lewis (book)","Sandra Bullock, Tim McGraw, Quinton Aaron, Jae Head",Biography,English,USA,129,255900000
1136,1255,Incredible Love,2009,Sabir Khan,"Sabir Khan (screenplay), Ishita Moitra (screenplay), Anvita Dutt Guptan (dialogue), Kiran Kotrial (screenplay)","Sylvester Stallone, Denise Richards, Brandon Routh, Whoopi Goldberg",Action,Hindi,India,142,1000000
1143,1262,Love Happens,2009,Brandon Camp,"Brandon Camp, Mike Thompson","Aaron Eckhart, Jennifer Aniston, Dan Fogler, John Carroll Lynch",Drama,English,USA,109,22927390
1146,1265,Empire of Silver,2009,Christina Yao,"Christina Yao, Cheng Yi (book)","Aaron Kwok, Tielin Zhang, Lei Hao, Jin Chai",Biography,Mandarin,China,113,40052
1153,1272,Amreeka,2009,Cherien Dabis,Cherien Dabis,"Nisreen Faour, Melkar Muallem, Hiam Abbass, Alia Shawkat",Drama,English,USA,96,417889
1167,1287,Obsessed,2009,Steve Shill,David Loughery,"Idris Elba, Beyonce, Ali Larter, Jerry O'Connell",Drama,English,USA,108,68261644
1168,1288,Daniel and Ana,2009,Michel Franco,Michel Franco (screenplay),"Dario Yazbek Bernal, Marimar Vega, Jose Maria Torre, Monserrat Ontiveros",Drama,Spanish,Mexico,90,1400
1170,1290,What's Your Raashee?,2009,Ashutosh Gowariker,"Ashutosh Gowariker (screenplay), Naushil Mehta (screenplay & dialogue), Amit Mistry (dialogue), Madhu Rye (novel)","Harman Baweja, Priyanka Chopra, Anjan Srivastav, Manju Singh",Comedy,Hindi,India,195,169005
1186,1308,Mother and Child,2009,Rodrigo Garcia,Rodrigo Garcia,"Alexandria M. Salling, Connor Kramme, Annette Bening, Eileen Ryan",Drama,English,USA,125,1110286
1191,1313,Crazy Heart,2009,Scott Cooper,"Scott Cooper, Thomas Cobb (novel)","Jeff Bridges, James Keane, Anna Felix, Paul Herman",Drama,English,USA,112,38349555
1205,1330,Paper Heart,2009,Nicholas Jasenovec,"Nicholas Jasenovec, Charlyne Yi","Charlyne Yi, Michael Cera, Jake Johnson, Gill Summers",Comedy,English,USA,88,1149350
1221,1346,Brothers,2009,Jim Sheridan,"David Benioff (screenplay), Susanne Bier (motion picture ""Brodre""), Anders Thomas Jensen (motion picture ""Brodre"")","Tobey Maguire, Jake Gyllenhaal, Natalie Portman, Sam Shepard",Drama,English,USA,105,28501651
1226,1352,Luck by Chance,2009,Zoya Akhtar,"Zoya Akhtar (story & screenplay), Javed Akhtar (dialogue)","Farhan Akhtar, Konkona Sen Sharma, Rishi Kapoor, Dimple Kapadia",Drama,Hindi,India,156,326187
1240,1366,The Soloist,2009,Joe Wright,"Susannah Grant (screenplay), Steve Lopez (book)","Jamie Foxx, Robert Downey Jr., Catherine Keener, Tom Hollander",Biography,English,UK,117,31670931
1241,1367,Whiteout,2009,Dominic Sena,"Jon Hoeber (screenplay), Erich Hoeber (screenplay), Chad Hayes (screenplay), Carey W. Hayes (screenplay), Greg Rucka (graphic novel), Steve Lieber (graphic novel)","Kate Beckinsale, Gabriel Macht, Tom Skerritt, Columbus Short",Action,English,USA,101,10300000
1247,1374,Where the Wild Things Are,2009,Spike Jonze,"Spike Jonze (screenplay), Dave Eggers (screenplay), Maurice Sendak (book)","Max Records, Pepita Emmerichs, Max Pfeifer, Madeleine Greaves",Adventure,English,Germany,101,77222184
1249,1377,Creation,2009,Jon Amiel,"John Collee (screenplay), Jon Amiel (screen story), John Collee (screen story), Randal Keynes (book)","Paul Bettany, Ian Kelly, Guy Henry, Martha West",Biography,English,UK,108,300000
