,Unnamed: 0,Title,Year,Director,Writer,Actors,Genre,Language,Country,Runtime,BoxOffice
2374,2571,Morris from America,2016,Chad Hartigan,Chad Hartigan,"Markees Christmas, Craig Robinson, Carla Juri, Patrick Guldenberg",Comedy,German,Germany,91,88932
2387,2584,Spa Night,2016,Andrew Ahn,Andrew Ahn,"Joe Seo, Youn Ho Cho, Haerry Kim, Topher Park",Drama,Korean,USA,93,38578
2388,2585,Shin Godzilla,2016,"Hideaki Anno, Shinji Higuchi(co-director)","Hideaki Anno, Sean Whitley (english version)","Hiroki Hasegawa, Yutaka Takenouchi, Satomi Ishihara, Ren Osugi",Action,Japanese,Japan,120,1908028
2395,2593,Miss Sloane,2016,John Madden,Jonathan Perera,"Jessica Chastain, David Wilson Barnes, John Lithgow, Alison Pill",Drama,English,France,132,3439171
2398,2596,Cafe Society,2016,Woody Allen,Woody Allen,"Steve Carell, Sheryl Lee, Todd Weeks, Paul Schackman",Comedy,English,USA,96,11078961
2400,2598,Morgan,2016,Luke Scott,Seth W. Owen,"Kate Mara, Anya Taylor-Joy, Rose Leslie, Michael Yare",Action,English,USA,92,3912052
2422,2620,The Wailing,2016,Hong-jin Na,"Hong-jin Na (screenplay by), Hong-jin Na","Do-won Kwak, Jung-min Hwang, Jun Kunimura, Woo-hee Chun",Horror,Korean,South Korea,156,785405
2466,2665,The Last King,2016,Nils Gaup,Ravn Lanesskog,"Jakob Oftebro, Kristofer Hivju, Torkel Dommersnes Soldal, Ane Ulimoen Overli",Action,Norwegian,Norway,99,8550
2471,2670,The BFG,2016,Steven Spielberg,"Melissa Mathison (screenplay by), Roald Dahl (based on the book by)","Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement",Adventure,English,USA,117,55472665
2482,2682,The Huntsman: Winter's War,2016,Cedric Nicolas-Troyan,"Evan Spiliotopoulos, Craig Mazin, Evan Daugherty (characters)","Chris Hemsworth, Charlize Theron, Jessica Chastain, Emily Blunt",Action,English,USA,114,46445229
2495,2695,Jackie,2016,Pablo Larrain,Noah Oppenheim,"Natalie Portman, Peter Sarsgaard, Greta Gerwig, Billy Crudup",Biography,English,USA,100,13958679
2498,2698,Radio Dreams,2016,Babak Jalali,"Babak Jalali (script by), Aida Ahadiany, Babak Jalali","Lars Ulrich, Boshra Dastournezhad, Litz Plummer, Larry Laverty",Comedy,Persian,USA,93,18642
2500,2700,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,Dave Green,"Josh Appelbaum, Andre Nemec, Peter Laird (based on the Teenage Mutant Ninja Turtles characters created by), Kevin Eastman (based on the Teenage Mutant Ninja Turtles characters created by)","Megan Fox, Will Arnett, Laura Linney, Stephen Amell",Action,English,USA,112,82035527
2509,2709,After Love,2016,Joachim Lafosse,"Mazarine Pingeot, Fanny Burdino, Joachim Lafosse, Thomas van Zuylen (collaborating writer)","Berenice Bejo, Cedric Kahn, Marthe Keller, Jade Soentjens",Drama,French,France,100,13621
2516,2717,Spark: A Space Tail,2016,Aaron Woodley,"Aaron Woodley, Daniel Woo (story by), Aaron Woodley (story by), Goran Delic (initial concept by), Hee Kyung Kang (initial concept by), Doug Hadders (additional material written by), Robert Reece (additional material written by), Adam Rotstein (additional material written by)","Jace Norman, Jessica Biel, Patrick Stewart, Hilary Swank",Animation,English,Canada,91,190511
2517,2718,For a Few Bullets,2016,Anzi Pan,"Anzi Pan, Zhiyong Zhou","Jingchu Zhang, Kenny Lin, Xiaoqing Liu, Vivian Dawson",Action,Mandarin,China,115,28892
2526,2727,Endless Poetry,2016,Alejandro Jodorowsky,Alejandro Jodorowsky,"Adan Jodorowsky, Brontis Jodorowsky, Leandro Taub, Pamela Flores",Biography,Spanish,Chile,128,28000
2528,2729,Busco novio para mi mujer,2016,Enrique Begne,"Enrique Begne (adaptation), Leticia Lopez Margalli (adaptation), Gabriel Ripstein (adaptation), Pablo Solarz","Sandra Echeverria, Arath de la Torre, Jesus Ochoa, Monica Huarte",Comedy,Spanish,Mexico,92,1721707
2560,2763,Lady Macbeth,2016,William Oldroyd,"Nikolai Leskov (based on Lady Macbeth of Mtsensk), Alice Birch","Florence Pugh, Cosmo Jarvis, Paul Hilton, Naomi Ackie",Drama,English,UK,89,1128187
2564,2767,Frantz,2016,Francois Ozon,"Francois Ozon (scenario), Philippe Piazzo (in collaboration with), Ernst Lubitsch (movie ""Broken Lullaby"")","Pierre Niney, Paula Beer, Ernst Stotzner, Marie Gruber",Drama,French,France,113,880474
2574,2778,Hands of Stone,2016,Jonathan Jakubowicz,Jonathan Jakubowicz,"Edgar Ramirez, Robert De Niro, Usher Raymond, Ruben Blades",Action,English,Panama,111,4711216
2595,2799,Moana,2016,"Ron Clements, John Musker, Don Hall(co-director), Chris Williams(co-director)","Jared Bush (screenplay by), Ron Clements (story by), John Musker (story by), Chris Williams (story by), Don Hall (story by), Pamela Ribon (story by), Aaron Kandell (story by), Jordan Kandell (story by)","Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison",Animation,English,USA,107,248752120
2604,2808,Apprentice,2016,Junfeng Boo,"Junfeng Boo (story), Junfeng Boo, Raymond Phathanavirangoon (story)","Firdaus Rahman, Wan Hanafi Su, Mastura Ahmad, Boon Pin Koh",Drama,Malay,Singapore,115,2578
2620,2824,Alice Through the Looking Glass,2016,James Bobin,"Linda Woolverton (screenplay), Lewis Carroll (books)","Johnny Depp, Mia Wasikowska, Helena Bonham Carter, Anne Hathaway",Adventure,English,USA,113,77037635
2639,2844,The Magnificent Seven,2016,Antoine Fuqua,"Akira Kurosawa (based on the screenplay by), Shinobu Hashimoto (based on the screenplay by), Hideo Oguni (based on the screenplay by), Nic Pizzolatto (screenplay), Richard Wenk (screenplay)","Denzel Washington, Chris Pratt, Ethan Hawke, Vincent D'Onofrio",Action,English,USA,132,93381044
2644,2849,Trolls,2016,"Mike Mitchell, Walt Dohrn(co-director)","Jonathan Aibel (screenplay by), Glenn Berger (screenplay by), Erica Rivinoja (story by), Thomas Dam (based on the Good Luck Trolls created by)","Anna Kendrick, Justin Timberlake, Zooey Deschanel, Christopher Mintz-Plasse",Animation,English,USA,92,153694574
2648,2854,Lion,2016,Garth Davis,"Saroo Brierley (adapted from the book ""A Long Way Home"" by), Luke Davies (screenplay by)","Sunny Pawar, Abhishek Bharate, Priyanka Bose, Khushi Solanki",Biography,English,UK,118,51694854
2653,2859,Clash,2016,Mohamed Diab,"Khaled Diab, Mohamed Diab","Nelly Karim, Hani Adel, El Sebaii Mohamed, Ahmed Abdelhamid Hefny",Drama,Arabic,Egypt,97,18031
2659,2865,Donald Cried,2016,Kris Avedisian,"Kris Avedisian, Kris Avedisian (screenplay), Kyle Espeleta (story), Jesse Wakeman (story)","Jesse Wakeman, William Billington, Louisa Krause, Kris Avedisian",Comedy,English,USA,85,61309
2663,2870,Kingsglaive: Final Fantasy XV,2016,Takeshi Nozue,Takashi Hasegawa,"Aaron Paul, Lena Headey, Sean Bean, Adrian Bouchet",Animation,English,Japan,110,233569
2675,2882,Arrival,2016,Denis Villeneuve,"Eric Heisserer (screenplay by), Ted Chiang (based on the story ""Story of Your Life"" written by)","Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg",Drama,English,USA,116,100501349
2678,2885,"No Pay, Nudity",2016,Lee Wilkof,Ethan Sandler,"Frances Conroy, Donna Murphy, Zoe Perry, Gabriel Byrne",Comedy,English,USA,92,20017
2701,2908,The Choice,2016,Ross Katz,"Bryan Sipe (screenplay), Nicholas Sparks (novel)","Benjamin Walker, Teresa Palmer, Maggie Grace, Alexandra Daddario",Drama,English,USA,111,15285347
2715,2922,20th Century Women,2016,Mike Mills,Mike Mills,"Annette Bening, Elle Fanning, Greta Gerwig, Billy Crudup",Comedy,English,USA,119,5663854
2733,2940,The Accountant,2016,Gavin O'Connor,Bill Dubuque,"Ben Affleck, Anna Kendrick, J.K. Simmons, Jon Bernthal",Action,English,USA,128,86198014
2736,2943,Stefan Zweig: Farewell to Europe,2016,Maria Schrader,"Maria Schrader (screenplay), Jan Schomburg (screenplay)","Barbara Sukowa, Tomas Lemarquis, Nahuel Perez Biscayart, Matthias Brandt",Biography,German,Austria,106,76646
2754,2961,Huo guo ying xiong,2016,Qing Yang,Qing Yang,"Kun Chen, Baihe Bai, Hao Qin, Entai Yu",Thriller,Mandarin,China,94,776649
2761,2968,Fan,2016,Maneesh Sharma,"Maneesh Sharma (story), Habib Faisal (screenplay), Habib Faisal (dialogue), Sharat Katariya (dialogue)","Shah Rukh Khan, Shriya Pilgaonkar, Carolina Main, Glenn Webster",Action,Hindi,India,142,2515116
2777,2986,Gleason,2016,Clay Tweel,Clay Tweel,"Steve Gleason, Mike Gleason, Scott Fujita, Mike McKenzie",Documentary,English,USA,110,576589
2778,2987,Wazir,2016,Bejoy Nambiar,"Vidhu Vinod Chopra (story), Vidhu Vinod Chopra (screenplay), Abhijat Joshi (screenplay), Bejoy Nambiar (screenplay), Natasha Sahgal (screenplay), Shubhra Marfatia (screenplay), Abhijeet Shirish Deshpande (dialogue), Gazal Dhaliwal (dialogue), Shubhra Swarup (Script Associate)","Amitabh Bachchan, Farhan Akhtar, Aditi Rao Hydari, Manav Kaul",Action,Hindi,India,103,586028
2784,2994,Loving,2016,Jeff Nichols,Jeff Nichols,"Ruth Negga, Joel Edgerton, Will Dalton, Dean Mumford",Biography,English,UK,123,7696098
2792,3002,Our Kind of Traitor,2016,Susanna White,"John le Carre (based on the novel by), Hossein Amini","Carlos Acosta, Radivoje Bukvic, Stellan Skarsgard, Mariya Fomina",Crime,English,UK,108,3152725
2804,3014,After the Storm,2016,Hirokazu Koreeda,"Hirokazu Koreeda (original story), Hirokazu Koreeda (screenplay)","Hiroshi Abe, Yoko Maki, Satomi Kobayashi, Lily Franky",Comedy,Japanese,Japan,118,270210
2841,3051,Other People,2016,Chris Kelly,Chris Kelly,"Jesse Plemons, Molly Shannon, Bradley Whitford, Maude Apatow",Comedy,English,USA,97,62630
2846,3056,Mohenjo Daro,2016,Ashutosh Gowariker,"Ashutosh Gowariker (story and screenplay), Preeti Mamgain (dialogue)","Hrithik Roshan, Pooja Hegde, Kabir Bedi, Arunoday Singh",Action,Hindi,India,155,1250765
2854,3064,Warcraft: The Beginning,2016,Duncan Jones,"Charles Leavitt, Duncan Jones","Travis Fimmel, Paula Patton, Ben Foster, Dominic Cooper",Action,English,China,123,44765679
2858,3068,Deepwater Horizon,2016,Peter Berg,"Matthew Michael Carnahan (screenplay by), Matthew Sand (screenplay by), Matthew Sand (screen story), David Barstow (based upon an article by), David Rohde (based upon an article by), Stephanie Saul (based upon an article by)","Mark Wahlberg, Kurt Russell, Douglas M. Griffin, James DuMont",Action,English,Hong Kong,107,73098411
2863,3073,White Girl,2016,Elizabeth Wood,Elizabeth Wood,"Morgan Saylor, Brian Marc, Justin Bartha, Chris Noth",Crime,English,USA,88,198493
2867,3077,Kabali,2016,Pa. Ranjith,Pa. Ranjith,"Rajinikanth, Winston Chao, Radhika Apte, Dhansika",Action,Tamil,India,153,3903095
2886,3096,Resident Evil: The Final Chapter,2016,Paul W.S. Anderson,Paul W.S. Anderson,"Milla Jovovich, Iain Glen, Ali Larter, Shawn Roberts",Action,English,USA,107,26844692
2887,3097,Marie Curie: The Courage of Knowledge,2016,Marie Noelle,"Marie Noelle (dialogue), Marie Noelle, Andrea Stoll","Karolina Gruszka, Arieh Worthalter, Charles Berling, Izabela Kuna",Biography,French,Poland,100,124911
2893,3103,Neruda,2016,Pablo Larrain,Guillermo Calderon,"Luis Gnecco, Gael Garcia Bernal, Mercedes Moran, Emilio Gutierrez Caba",Biography,Spanish,Chile,107,938875
2896,3106,The Love Witch,2016,Anna Biller,Anna Biller,"Samantha Robinson, Gian Keys, Laura Waddell, Jeffrey Vincent Parise",Romance,English,USA,120,226223
2898,3108,Sing Street,2016,John Carney,"Simon Carmody (story), John Carney (screenplay)","Ferdia Walsh-Peelo, Kelly Thornton, Maria Doyle Kennedy, Jack Reynor",Comedy,English,Ireland,106,3233839
2914,3124,The Lost City of Z,2016,James Gray,"James Gray (written for the screen by), David Grann (based on the book by)","Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland",Adventure,English,USA,141,8554554
2923,3133,Shut In,2016,Farren Blackburn,Christina Hodson,"Naomi Watts, Oliver Platt, Charlie Heaton, Jacob Tremblay",Drama,English,France,91,6883951
2926,3136,Tommy's Honour,2016,Jason Connery,"Pamela Marin, Kevin Cook","Sam Neill, Ophelia Lovibond, Jack Lowden, Peter Mullan",Biography,English,UK,112,561963
2939,3149,Buster's Mal Heart,2016,Sarah Adina Smith,Sarah Adina Smith,"Rami Malek, DJ Qualls, Kate Lyn Sheil, Sukha Belle Potter",Drama,English,USA,96,72622
2952,3163,A Street Cat Named Bob,2016,Roger Spottiswoode,"James Bowen (novel), Garry Jenkins (novel), Tim John, Maria Nation","Luke Treadaway, Bob the Cat, Ruta Gedmintas, Joanne Froggatt",Biography,English,UK,103,35070
2954,3165,Kung Fu Panda 3,2016,"Alessandro Carloni, Jennifer Yuh Nelson","Jonathan Aibel, Glenn Berger","Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie",Animation,English,China,95,128341070
2961,3172,Absolutely Fabulous: The Movie,2016,Mandie Fletcher,Jennifer Saunders (screenplay),"Lulu, Gwendoline Christie, Jennifer Saunders, Joanna Lumley",Comedy,English,UK,91,4750497
2981,3192,The Age of Shadows,2016,Jee-woon Kim,"Jee-woon Kim, Ji-min Lee, Jong-dae Park, Kathy Pilon (english script)","Byung-Hun Lee, Yoo Gong, Kang-ho Song, Xander Mobus",Action,Korean,South Korea,140,541226
3017,3229,Carrie Pilby,2016,Susan Johnson,"Kara Holden (screenplay by), Caren Lissner (based on the novel by)","Bel Powley, Nathan Lane, Gabriel Byrne, Vanessa Bayer",Comedy,English,USA,98,19025
3036,3248,Bridget Jones's Baby,2016,Sharon Maguire,"Helen Fielding (screenplay), Dan Mazer (screenplay), Emma Thompson (screenplay), Helen Fielding (based on the characters and story created by)","Renee Zellweger, Gemma Jones, Jim Broadbent, Sally Phillips",Comedy,English,USA,123,24089465
3038,3250,Colossal,2016,Nacho Vigalondo,Nacho Vigalondo,"Anne Hathaway, Jason Sudeikis, Austin Stowell, Tim Blake Nelson",Comedy,English,Canada,109,3027134
3042,3254,The Edge of Seventeen,2016,Kelly Fremon Craig,Kelly Fremon Craig,"Hailee Steinfeld, Haley Lu Richardson, Blake Jenner, Kyra Sedgwick",Comedy,English,USA,104,14260193
3052,3264,Raw,2016,Julia Ducournau,"Julia Ducournau (dialogue), Julia Ducournau (screenplay)","Garance Marillier, Ella Rumpf, Rabah Nait Oufella, Laurent Lucas",Drama,French,France,99,508425
3068,3281,Keeping Up with the Joneses,2016,Greg Mottola,Michael LeSieur,"Zach Galifianakis, Isla Fisher, Jon Hamm, Gal Gadot",Action,English,USA,105,14896798
3072,3285,Blue Jay,2016,Alex Lehmann,Mark Duplass,"Mark Duplass, Sarah Paulson, Clu Gulager, James Andrews",Drama,English,USA,80,5159
3075,3288,American Pastoral,2016,Ewan McGregor,"Philip Roth (based on the novel by), John Romano (screenplay by)","Ewan McGregor, Jennifer Connelly, Dakota Fanning, Peter Riegert",Crime,English,Hong Kong,108,541457
3081,3295,Weiner,2016,"Josh Kriegman, Elyse Steinberg","Josh Kriegman, Elyse Steinberg, Eli B. Despres","Anthony Weiner, Huma Abedin, Jordan Zain Weiner, Barbara Morgan",Documentary,English,USA,96,1675196
3082,3296,Paris Can Wait,2016,Eleanor Coppola,Eleanor Coppola,"Diane Lane, Arnaud Viard, Alec Baldwin, Elise Tielrooy",Comedy,English,Japan,92,5617321
3085,3299,Race,2016,Stephen Hopkins,"Joe Shrapnel, Anna Waterhouse","Stephan James, Jason Sudeikis, Eli Goree, Shanice Banton",Biography,English,Canada,134,14319394
3091,3305,Neerja,2016,Ram Madhvani,"Saiwyn Quadras (story and screenplay), Sanyukta Chawla Shaikh (dialogue)","Sonam Kapoor, Shabana Azmi, Yogendra Tikku, Abrar Zahoor",Biography,Hindi,India,122,1255246
3105,3319,Monster Trucks,2016,Chris Wedge,"Derek Connolly (screenplay by), Matthew Robinson (story by), Jonathan Aibel (story by), Glenn Berger (story by)","Lucas Till, Jane Levy, Thomas Lennon, Barry Pepper",Action,English,USA,104,33243820
3126,3340,Fitoor,2016,Abhishek Kapoor,"Charles Dickens (novel), Abhishek Kapoor (screenplay), Supratik Sen (screenplay), Supratik Sen (dialogue)","Aditya Roy Kapoor, Katrina Kaif, Tabu, Rahul Bhat",Drama,Hindi,India,131,528799
3127,3341,La La Land,2016,Damien Chazelle,Damien Chazelle,"Ryan Gosling, Emma Stone, Amiee Conn, Terry Walters",Comedy,English,USA,128,151058124
3134,3348,Miss Peregrine's Home for Peculiar Children,2016,Tim Burton,"Ransom Riggs (based upon the novel written by), Jane Goldman (screenplay by)","Eva Green, Asa Butterfield, Samuel L. Jackson, Judi Dench",Adventure,English,USA,127,87240689
3160,3374,Passengers,2016,Morten Tyldum,Jon Spaihts,"Jennifer Lawrence, Chris Pratt, Michael Sheen, Laurence Fishburne",Drama,English,USA,116,100014092
3178,3392,Wiener-Dog,2016,Todd Solondz,Todd Solondz,"Keaton Nigel Cooke, Tracy Letts, Julie Delpy, Greta Gerwig",Comedy,English,USA,88,296568
3185,3400,The Land,2016,Steven Caple Jr.,Steven Caple Jr.,"Jorge Lendeborg Jr., Moises Arias, Rafi Gavron, Ezri Walker",Drama,English,USA,104,17958
3205,3420,Manchester by the Sea,2016,Kenneth Lonergan,Kenneth Lonergan,"Casey Affleck, Ben O'Brien, Kyle Chandler, Richard Donelly",Drama,English,USA,137,47695120
3211,3426,Michael Moore in TrumpLand,2016,Michael Moore,Michael Moore,"Michael Moore, Hillary Clinton, Donald Trump",Documentary,English,USA,73,75000
3214,3429,Hidden Figures,2016,Theodore Melfi,"Allison Schroeder (screenplay by), Theodore Melfi (screenplay by), Margot Lee Shetterly (based on the book by)","Taraji P. Henson, Octavia Spencer, Janelle Monae, Kevin Costner",Biography,English,USA,127,169385416
3235,3450,Bad Santa 2,2016,Mark Waters,"Johnny Rosenthal, Shauna Cross, Glenn Ficarra (based on characters created by), John Requa (based on characters created by)","Billy Bob Thornton, Kathy Bates, Tony Cox, Christina Hendricks",Comedy,English,USA,92,17664973
3240,3455,The Hollars,2016,John Krasinski,Jim Strouse,"Margo Martindale, Sharlto Copley, Richard Jenkins, John Krasinski",Comedy,English,USA,88,1016965
3242,3457,Lowriders,2016,Ricardo de Montreuil,"Elgin James, Cheo Hodari Coker","Gabriel Chavarria, Demian Bichir, Theo Rossi, Tony Revolori",Adventure,English,USA,98,6155650
3254,3469,Gimme Danger,2016,Jim Jarmusch,Jim Jarmusch,"Iggy Pop, Ron Asheton, Scott Asheton, James Williamson",Documentary,English,USA,108,439748
