,Title,Year,Director,Writer,Actors,Genre,Language,Country,Runtime,BoxOffice
57,Pompeii,2014,Paul W.S. Anderson,"Janet Scott Batchler (screenplay), Lee Batchler (screenplay), Michael Robert Johnson (screenplay)","Kit Harington, Carrie-Anne Moss, Emily Browning, Adewale Akinnuoye-Agbaje",Action,English,Canada,105,19919371
58,The Guilt Trip,2012,Anne Fletcher,Dan Fogelman,"Barbra Streisand, Seth Rogen, Julene Renee, Zabryna Guevara",Comedy,English,USA,95,37101011
59,The Pirates! Band of Misfits,2012,"Peter Lord, Jeff Newitt(co-director)","Gideon Defoe (book), Gideon Defoe (screenplay)","Hugh Grant, Martin Freeman, Imelda Staunton, David Tennant",Animation,English,UK,88,31051126
60,Trollhunter,2010,Andre Ovredal,Andre Ovredal,"Otto Jespersen, Glenn Erland Tosterud, Johanna Morck, Tomas Alf Larsen",Drama,Norwegian,Norway,103,252652
61,Casino Jack,2010,George Hickenlooper,Norman Snider,"Kevin Spacey, Ruth Marshall, Graham Greene, Hannah Endicott-Douglas",Biography,English,Canada,108,1039869
62,Paranormal Activity 2,2010,Tod Williams,"Michael R. Perry (screenplay), Christopher Landon (screenplay), Tom Pabst (screenplay), Michael R. Perry (story), Oren Peli (film ""Paranormal Activity"")","David Bierend, Brian Boland, Molly Ephraim, Katie Featherston",Horror,English,USA,91,84747727
63,Ra.One,2011,Anubhav Sinha,"David Benullo, Kanika Dhillon (dialogue), Kanika Dhillon (screenplay), Niranjan Iyengar (dialogue), Shah Rukh Khan (screenplay), Mushtaq Sheikh (screenplay), Anubhav Sinha (story), Anubhav Sinha, Rajshri Sudhakar (Dialogue Writer: Telugu)","Shah Rukh Khan, Arjun Rampal, Kareena Kapoor, Shahana Goswami",Action,Hindi,India,156,2509150
64,Downsizing,2017,Alexander Payne,"Alexander Payne, Jim Taylor","Matt Damon, Christoph Waltz, Hong Chau, Kristen Wiig",Drama,English,USA,135,22932429
65,Miss You Already,2015,Catherine Hardwicke,Morwenna Banks,"Drew Barrymore, Shola Adewusi, Toni Collette, Grace Schneider",Comedy,English,UK,112,2895704
66,Hall Pass,2011,"Bobby Farrelly, Peter Farrelly","Pete Jones (screenplay), Peter Farrelly (screenplay), Kevin Barnett (screenplay), Bobby Farrelly (screenplay), Pete Jones (story)","Owen Wilson, Jason Sudeikis, Jenna Fischer, Christina Applegate",Comedy,English,USA,105,45045037
67,Velaiilla Pattadhari,2014,Velraj,Velraj,"Dhanush, Saranya Ponvannan, Amala Paul, Samuthirakani",Action,Tamil,India,133,66438
68,A Man Called Ove,2015,Hannes Holm,"Hannes Holm (screenplay), Fredrik Backman (novel)","Rolf Lassgard, Bahar Pars, Filip Berg, Ida Engvoll",Comedy,Swedish,Sweden,116,3358518
69,The Catechism Cataclysm,2011,Todd Rohal,Todd Rohal (screenplay),"Judy Findlay, Steve Little, Robert Longstreet, Carlos Lopez",Comedy,English,USA,75,1933
71,Housefull,2010,Sajid Khan,"Sameer Anjaan (lyrics), Anvita Dutt Guptan (dialogues), Sajid Khan (screenplay), Sajid Nadiadwala (story), Vibha Singh (screenplay), Milap Zaveri (screenplay)","Akshay Kumar, Deepika Padukone, Riteish Deshmukh, Lara Dutta",Comedy,Hindi,India,144,642156
72,Hating Breitbart,2012,Andrew Marcus,Andrew Marcus,"Andrew Breitbart, Orson Bean, Dick Armey, Michele Bachmann",Documentary,English,USA,85,81432
73,Stories We Tell,2012,Sarah Polley,"Sarah Polley, Michael Polley (narration)","Michael Polley, Harry Gulkin, Susy Buchan, John Buchan",Documentary,English,Canada,108,1599038
75,Diana Vreeland: The Eye Has to Travel,2011,"Lisa Immordino Vreeland, Bent-Jorgen Perlmutt(co-director), Frederic Tcheng(co-director)","Lisa Immordino Vreeland, Bent-Jorgen Perlmutt, Frederic Tcheng","Diana Vreeland, Richard Avedon, David Bailey, Lauren Bacall",Documentary,English,USA,86,619054
76,For Colored Girls,2010,Tyler Perry,"Tyler Perry (screenplay), Ntozake Shange (play)","Kimberly Elise, Janet Jackson, Loretta Devine, Thandie Newton",Drama,English,USA,133,37714860
77,Rings,2017,F. Javier Gutierrez,"David Loucka (screenplay by), Jacob Estes (screenplay by), Akiva Goldsman (screenplay by), David Loucka (story by), Jacob Estes (story by), Koji Suzuki (based on the novel ""The Ring"" by)","Matilda Anna Ingrid Lutz, Alex Roe, Johnny Galecki, Vincent D'Onofrio",Drama,English,USA,102,27766716
78,Client 9: The Rise and Fall of Eliot Spitzer,2010,Alex Gibney,Alex Gibney,"Alex Gibney, Eliot Spitzer, Hulbert Waldroup, Lloyd Constantine",Documentary,English,USA,117,187540
79,Our Times,2015,Yu Shan Chen,Yung-Ting Tseng,"Vivian Sung, Talu Wang, Dino Lee, Dewi Chien",Comedy,Mandarin,Taiwan,134,148302
80,Terminator Salvation,2009,McG,"John Brancato, Michael Ferris","Christian Bale, Sam Worthington, Moon Bloodgood, Helena Bonham Carter",Action,English,USA,115,125286889
81,"Happy, Happy",2010,Anne Sewitsky,"Mette M. Bolstad (dramaturge), Anne Sewitsky, Ragnhild Tronvoll (screenplay)","Agnes Kittelsen, Joachim Rafaelsen, Maibritt Saerens, Henrik Rafaelsen",Comedy,Norwegian,Norway,85,44947
82,"I, Tonya",2017,Craig Gillespie,Steven Rogers,"Margot Robbie, Sebastian Stan, Allison Janney, Julianne Nicholson",Biography,English,USA,120,28950158
83,I Am Ali,2014,Clare Lewins,Clare Lewins,"Muhammad Ali Jnr, Hana Ali, Maryum Ali, Muhammad Ali",Documentary,English,UK,111,4178
84,Lone Survivor,2013,Peter Berg,"Peter Berg, Marcus Luttrell (book), Patrick Robinson (book)","Mark Wahlberg, Taylor Kitsch, Emile Hirsch, Ben Foster",Action,English,USA,121,97665254
85,Martha Marcy May Marlene,2011,Sean Durkin,Sean Durkin,"Elizabeth Olsen, Christopher Abbott, Brady Corbet, Hugh Dancy",Drama,English,USA,102,2981038
86,Personal Shopper,2016,Olivier Assayas,Olivier Assayas,"Kristen Stewart, Lars Eidinger, Sigrid Bouaziz, Anders Danielsen Lie",Drama,English,France,105,1305195
87,City of Life and Death,2009,Chuan Lu,Chuan Lu,"Ye Liu, Yuanyuan Gao, Wei Fan, Lan Qin",Drama,Mandarin,China,133,68767
88,Little White Lies,2010,Guillaume Canet,Guillaume Canet (scenario and dialogue),"Francois Cluzet, Marion Cotillard, Benoit Magimel, Gilles Lellouche",Comedy,French,France,154,183662
89,Loving Vincent,2017,"Dorota Kobiela, Hugh Welchman","Dorota Kobiela, Hugh Welchman, Jacek Dehnel","Douglas Booth, Josh Burdett, Holly Earl, Robin Hodges",Animation,English,Poland,94,6388510
91,Jodi Breakers,2012,Ashwini Chaudhary,"Ashwini Chaudhary, Sanyukta Shaikh Chawla","Bipasha Basu, Helen, Pradeep Kharab, Madhavan",Comedy,Hindi,India,127,52618
92,Pirate Radio,2009,Richard Curtis,Richard Curtis,"Michael Hadley, Charlie Rowe, Lucy Fleming, Philip Seymour Hoffman",Comedy,English,UK,117,8000000
93,Street Fighter: The Legend of Chun-Li,2009,Andrzej Bartkowiak,"Justin Marks (screenplay), Alexandre Dumas (novel)","Kristin Kreuk, Chris Klein, Neal McDonough, Robin Shou",Action,English,Canada,96,8646753
94,Youth in Revolt,2009,Miguel Arteta,"Gustin Nash (screenplay), C.D. Payne (novel)","Michael Cera, Portia Doubleday, Jean Smart, Zach Galifianakis",Comedy,English,USA,90,15150933
95,Confessions of a Shopaholic,2009,P.J. Hogan,"Tracey Jackson (screenplay), Tim Firth (screenplay), Kayla Alpert (screenplay), Sophie Kinsella (books)","Isla Fisher, Hugh Dancy, Krysten Ritter, Joan Cusack",Comedy,English,USA,104,44239688
96,My Brother the Devil,2012,Sally El Hosaini,Sally El Hosaini,"James Floyd, Fady Elsayed, Anthony Welsh, Amira Ghazalla",Crime,English,UK,111,10305
97,Snowden,2016,Oliver Stone,"Kieran Fitzgerald (screenplay by), Oliver Stone (screenplay by), Luke Harding (book), Anatoly Kucherena (book)","Melissa Leo, Zachary Quinto, Joseph Gordon-Levitt, Jaymes Butler",Biography,English,France,134,21562346
98,Adore,2013,Anne Fontaine,"Anne Fontaine (screenplay), Christopher Hampton (story), Anne Fontaine (story), Doris Lessing (book)","Naomi Watts, Robin Wright, Xavier Samuel, James Frecheville",Drama,English,Australia,112,200000
99,The Last Song,2010,Julie Anne Robinson,"Nicholas Sparks (screenplay), Jeff Van Wie (screenplay), Nicholas Sparks (book)","Miley Cyrus, Greg Kinnear, Bobby Coleman, Liam Hemsworth",Drama,English,USA,107,42441000
100,Harry Potter and the Deathly Hallows: Part 2,2011,David Yates,"Steve Kloves (screenplay), J.K. Rowling (novel)","Ralph Fiennes, Michael Gambon, Alan Rickman, Daniel Radcliffe",Adventure,English,USA,130,381000185
101,Superhero Movie,2008,Craig Mazin,Craig Mazin,"Drake Bell, Sara Paxton, Christopher McDonald, Leslie Nielsen",Action,English,USA,75,25815447
102,Dishoom,2016,Rohit Dhawan,"Rohit Dhawan (story and screenplay), Tushar Hiranandani (story and screenplay), Hussain Dalal (dialogue)","John Abraham, Varun Dhawan, Nargis Fakhri, Jacqueline Fernandez",Action,Hindi,India,124,442299
103,Singham,2011,Rohit Shetty,"Hari (original story), Yunus Sajawal (screenplay), Sajid (dialogue), Farhad Samji","Ajay Devgn, Kajal Aggarwal, Prakash Raj, Sonali Kulkarni",Action,Hindi,India,143,287458
105,Mr. Donkey,2016,"Lu Liu, Shen Zhou","Lu Liu, Shen Zhou","Suxi Ren, Li Da, Shuailiang Liu, Kuishan Pei",Comedy,Mandarin,China,113,356023
106,Cesar Chavez,2014,Diego Luna,"Keir Pearson (screenplay), Timothy J. Sexton","Kerry Adra, Maynor Alvarado, Yancey Arias, Wes Bentley",Biography,English,USA,102,5550866
108,The Cut,2014,Fatih Akin,"Fatih Akin, Mardik Martin","Tahar Rahim, Simon Abkarian, Makram Khoury, Hindi Zahra",Adventure,Armenian,Germany,138,7803
109,Canopy,2013,Aaron Wilson,Aaron Wilson,"Khan Chittenden, Morning Tzu-Yi Mo, Robert Menzies, Edwina Wren",Adventure,English,Australia,84,8462
110,Fading Gigolo,2013,John Turturro,John Turturro,"John Turturro, Woody Allen, Vanessa Paradis, Liev Schreiber",Comedy,English,USA,90,3179352
111,The Tree,2010,Julie Bertuccelli,"Judy Pascoe (novel), Julie Bertuccelli, Elizabeth J. Mars (first screenplay)","Charlotte Gainsbourg, Morgana Davies, Marton Csokas, Christian Byers",Drama,English,France,100,69236
112,Crazy Eyes,2012,Adam Sherman,"Adam Sherman, Dave Reeves, Rachel Hardisty","Lukas Haas, Madeline Zima, Jake Busey, Tania Raymonde",Comedy,English,USA,95,6106
113,Letters to God,2010,"David Nixon, Patrick Doughtie(co-director)","Patrick Doughtie (story and screenplay), Art D'Alessandro, Sandra Thrift, Cullen Douglas","Lisa Curtis, Christopher Schmidt, Lyanna Tumaneng, Tanner Maguire",Drama,English,USA,110,1121000
114,Thomas & Friends: Sodor's Legend of the Lost Treasure,2015,David Stoten,"Wilbert Awdry (railway series), Britt Allcroft (creator), Andrew Brenner","Mark Moraghan, John Hurt, Eddie Redmayne, Olivia Colman",Animation,English,UK,63,108617
115,Duplicity,2009,Tony Gilroy,Tony Gilroy,"Clive Owen, Julia Roberts, Tom Wilkinson, Paul Giamatti",Comedy,English,USA,125,40559930
116,Dracula 3D,2012,Dario Argento,"Dario Argento (screenplay), Enrique Cerezo (screenplay), Stefano Piani (screenplay), Bram Stoker (book), Antonio Tentori (screenplay)","Thomas Kretschmann, Marta Gastini, Asia Argento, Unax Ugalde",Horror,English,Italy,110,3085
118,A Monster in Paris,2011,Bibo Bergeron,"Bibo Bergeron (screenplay), Bibo Bergeron (story), Stephane Kazandjian (screenplay)","Matthieu Chedid, Vanessa Paradis, Gad Elmaleh, Francois Cluzet",Animation,French,France,90,1043531
120,Kill Your Darlings,2013,John Krokidas,"Austin Bunn (screenplay), Austin Bunn (story), John Krokidas (screenplay)","Daniel Radcliffe, Dane DeHaan, Michael C. Hall, Jack Huston",Biography,English,USA,104,679958
121,The Sisterhood of the Traveling Pants 2,2008,Sanaa Hamri,"Elizabeth Chandler (screenplay), Ann Brashares (novel)","Amber Tamblyn, Alexis Bledel, America Ferrera, Blake Lively",Comedy,English,USA,119,44029972
122,The Hurt Locker,2008,Kathryn Bigelow,Mark Boal,"Jeremy Renner, Anthony Mackie, Brian Geraghty, Guy Pearce",Drama,English,USA,131,15700000
123,The Raid 2,2014,Gareth Evans,Gareth Evans,"Iko Uwais, Arifin Putra, Tio Pakusadewo, Oka Antara",Action,Indonesian,Indonesia,150,2372192
124,Gold,2016,Stephen Gaghan,"Patrick Massett, John Zinman","Matthew McConaughey, Edgar Ramirez, Bryce Dallas Howard, Corey Stoll",Adventure,English,USA,120,7222964
125,The Taqwacores,2010,Eyad Zahra,"Michael Muhammad Knight (screenplay), Michael Muhammad Knight (story), Eyad Zahra (screenplay)","Bobby Naderi, Noureen DeWulf, Dominic Rains, Maytha Alhassen",Drama,English,USA,83,11175
126,Inkheart,2008,Iain Softley,"David Lindsay-Abaire (screenplay), Cornelia Funke (novel)","Brendan Fraser, Sienna Guillory, Eliza Bennett, Richard Strange",Adventure,English,Germany,106,17281832
127,Faith of Our Fathers,2015,Carey Scott,"Kevin Downes, Carey Scott (screenwriter), Harold Uhl (screenplay), David A.R. White","Kevin Downes, David A.R. White, Stephen Baldwin, Candace Cameron Bure",Drama,English,USA,96,975344
128,Blindness,2008,Fernando Meirelles,"Jose Saramago (novel), Don McKellar (screenplay)","Yusuke Iseya, Jason Bermingham, Eduardo Semerjian, Don McKellar",Drama,English,Canada,121,3073392
130,Clash of the Titans,2010,Louis Leterrier,"Travis Beacham (screenplay), Phil Hay (screenplay), Matt Manfredi (screenplay), Beverley Cross","Sam Worthington, Liam Neeson, Ralph Fiennes, Jason Flemyng",Action,English,USA,106,163100000
131,Kong: Skull Island,2017,Jordan Vogt-Roberts,"Dan Gilroy (screenplay by), Max Borenstein (screenplay by), Derek Connolly (screenplay by), John Gatins (story by)","Tom Hiddleston, Samuel L. Jackson, Brie Larson, John C. Reilly",Action,English,USA,118,167986460
132,Brigsby Bear,2017,Dave McCary,"Kevin Costello (screenplay by), Kyle Mooney (screenplay by), Kyle Mooney (story by)","Kyle Mooney, Mark Hamill, Jorge Lendeborg Jr., Matt Walsh",Comedy,English,USA,97,529426
133,Fast Five,2011,Justin Lin,"Chris Morgan, Gary Scott Thompson (characters)","Vin Diesel, Paul Walker, Jordana Brewster, Tyrese Gibson",Action,English,USA,130,209805005
134,The Hunger Games: Catching Fire,2013,Francis Lawrence,"Simon Beaufoy (screenplay), Michael Arndt (screenplay), Suzanne Collins (novel)","Jennifer Lawrence, Liam Hemsworth, Jack Quaid, Taylor St. Clair",Action,English,USA,146,336663349
135,War of the Arrows,2011,Han-min Kim,Han-min Kim (screenplay),"Hae-il Park, Seung-ryong Ryu, Mu-Yeol Kim, Chae-won Moon",Action,Korean,South Korea,122,40685
136,End of Watch,2012,David Ayer,David Ayer,"Jake Gyllenhaal, Michael Pena, Natalie Martinez, Anna Kendrick",Action,English,USA,109,39100000
138,Chain Letter,2009,Deon Taylor,"Deon Taylor, Michael J. Pagan","Madison Bauer, Mark S. Allen, Phil Austin, Nikki Reed",Horror,English,USA,96,138788
141,Identity Thief,2013,Seth Gordon,"Craig Mazin (screenplay), Jerry Eeten (story), Craig Mazin (story)","Jason Bateman, Melissa McCarthy, Jon Favreau, Amanda Peet",Adventure,English,USA,111,134455175
143,David Brent: Life on the Road,2016,Ricky Gervais,Ricky Gervais,"Ricky Gervais, Rob Jarvis, Abbie Murphy, Mandeep Dhillon",Comedy,English,UK,96,2348170
144,No Escape,2015,John Erick Dowdle,"John Erick Dowdle, Drew Dowdle","Owen Wilson, Lake Bell, Sterling Jerins, Claire Geare",Action,English,USA,103,27274112
145,This Is Where I Leave You,2014,Shawn Levy,"Jonathan Tropper (screenplay), Jonathan Tropper (novel)","Jason Bateman, Tina Fey, Jane Fonda, Adam Driver",Comedy,English,USA,103,26730317
146,No Manches Frida,2016,Nacho G. Velilla,"Laurence Rosenthal (screenplay), Claudio Herrera (screenplay), Sergio Sanchez (screenplay), Bora Dagtekin (based on the film by)","Omar Chaparro, Martha Higareda, Monica Dionne, Rocio Garcia",Comedy,Spanish,USA,114,11514388
147,Hadewijch,2009,Bruno Dumont,Bruno Dumont (scenario and dialogue),"Julie Sokolowski, Karl Sarafidis, Yassine Salime, David Dewaele",Drama,French,France,105,4603
