,Actors,BoxOffice,Country,Director,Genre,Label,Language,Runtime,Title,Unnamed: 0,Writer,Year
50,"Kit Harington, Carrie-Anne Moss, Emily Browning, Adewale Akinnuoye-Agbaje",19919371.0,Canada,Paul W.S. Anderson,Action,0,English,105.0,Pompeii,57.0,"Janet Scott Batchler (screenplay), Lee Batchler (screenplay), Michael Robert Johnson (screenplay)",2014.0
51,"Barbra Streisand, Seth Rogen, Julene Renee, Zabryna Guevara",37101011.0,USA,Anne Fletcher,Comedy,0,English,95.0,The Guilt Trip,58.0,Dan Fogelman,2012.0
52,"Hugh Grant, Martin Freeman, Imelda Staunton, David Tennant",31051126.0,UK,"Peter Lord, Jeff Newitt(co-director)",Animation,0,English,88.0,The Pirates! Band of Misfits,59.0,"Gideon Defoe (book), Gideon Defoe (screenplay)",2012.0
53,"Otto Jespersen, Glenn Erland Tosterud, Johanna Morck, Tomas Alf Larsen",252652.0,Norway,Andre Ovredal,Drama,1,Norwegian,103.0,Trollhunter,60.0,Andre Ovredal,2010.0
54,"Kevin Spacey, Ruth Marshall, Graham Greene, Hannah Endicott-Douglas",1039869.0,Canada,George Hickenlooper,Biography,1,English,108.0,Casino Jack,61.0,Norman Snider,2010.0
55,"David Bierend, Brian Boland, Molly Ephraim, Katie Featherston",84747727.0,USA,Tod Williams,Horror,0,English,91.0,Paranormal Activity 2,62.0,"Michael R. Perry (screenplay), Christopher Landon (screenplay), Tom Pabst (screenplay), Michael R. Perry (story), Oren Peli (film ""Paranormal Activity"")",2010.0
56,"Shah Rukh Khan, Arjun Rampal, Kareena Kapoor, Shahana Goswami",2509150.0,India,Anubhav Sinha,Action,1,Hindi,156.0,Ra.One,63.0,"David Benullo, Kanika Dhillon (dialogue), Kanika Dhillon (screenplay), Niranjan Iyengar (dialogue), Shah Rukh Khan (screenplay), Mushtaq Sheikh (screenplay), Anubhav Sinha (story), Anubhav Sinha, Rajshri Sudhakar (Dialogue Writer: Telugu)",2011.0
57,"Matt Damon, Christoph Waltz, Hong Chau, Kristen Wiig",22932429.0,USA,Alexander Payne,Drama,0,English,135.0,Downsizing,64.0,"Alexander Payne, Jim Taylor",2017.0
58,"Drew Barrymore, Shola Adewusi, Toni Collette, Grace Schneider",2895704.0,UK,Catherine Hardwicke,Comedy,1,English,112.0,Miss You Already,65.0,Morwenna Banks,2015.0
59,"Owen Wilson, Jason Sudeikis, Jenna Fischer, Christina Applegate",45045037.0,USA,"Bobby Farrelly, Peter Farrelly",Comedy,0,English,105.0,Hall Pass,66.0,"Pete Jones (screenplay), Peter Farrelly (screenplay), Kevin Barnett (screenplay), Bobby Farrelly (screenplay), Pete Jones (story)",2011.0
60,"Dhanush, Saranya Ponvannan, Amala Paul, Samuthirakani",66438.0,India,Velraj,Action,1,Tamil,133.0,Velaiilla Pattadhari,67.0,Velraj,2014.0
61,"Rolf Lassgard, Bahar Pars, Filip Berg, Ida Engvoll",3358518.0,Sweden,Hannes Holm,Comedy,1,Swedish,116.0,A Man Called Ove,68.0,"Hannes Holm (screenplay), Fredrik Backman (novel)",2015.0
62,"Judy Findlay, Steve Little, Robert Longstreet, Carlos Lopez",1933.0,USA,Todd Rohal,Comedy,1,English,75.0,The Catechism Cataclysm,69.0,Todd Rohal (screenplay),2011.0
63,"Akshay Kumar, Deepika Padukone, Riteish Deshmukh, Lara Dutta",642156.0,India,Sajid Khan,Comedy,1,Hindi,144.0,Housefull,71.0,"Sameer Anjaan (lyrics), Anvita Dutt Guptan (dialogues), Sajid Khan (screenplay), Sajid Nadiadwala (story), Vibha Singh (screenplay), Milap Zaveri (screenplay)",2010.0
64,"Andrew Breitbart, Orson Bean, Dick Armey, Michele Bachmann",81432.0,USA,Andrew Marcus,Documentary,1,English,85.0,Hating Breitbart,72.0,Andrew Marcus,2012.0
65,"Michael Polley, Harry Gulkin, Susy Buchan, John Buchan",1599038.0,Canada,Sarah Polley,Documentary,1,English,108.0,Stories We Tell,73.0,"Sarah Polley, Michael Polley (narration)",2012.0
66,"Diana Vreeland, Richard Avedon, David Bailey, Lauren Bacall",619054.0,USA,"Lisa Immordino Vreeland, Bent-Jorgen Perlmutt(co-director), Frederic Tcheng(co-director)",Documentary,1,English,86.0,Diana Vreeland: The Eye Has to Travel,75.0,"Lisa Immordino Vreeland, Bent-Jorgen Perlmutt, Frederic Tcheng",2011.0
67,"Kimberly Elise, Janet Jackson, Loretta Devine, Thandie Newton",37714860.0,USA,Tyler Perry,Drama,0,English,133.0,For Colored Girls,76.0,"Tyler Perry (screenplay), Ntozake Shange (play)",2010.0
68,"Matilda Anna Ingrid Lutz, Alex Roe, Johnny Galecki, Vincent D'Onofrio",27766716.0,USA,F. Javier Gutierrez,Drama,0,English,102.0,Rings,77.0,"David Loucka (screenplay by), Jacob Estes (screenplay by), Akiva Goldsman (screenplay by), David Loucka (story by), Jacob Estes (story by), Koji Suzuki (based on the novel ""The Ring"" by)",2017.0
69,"Alex Gibney, Eliot Spitzer, Hulbert Waldroup, Lloyd Constantine",187540.0,USA,Alex Gibney,Documentary,1,English,117.0,Client 9: The Rise and Fall of Eliot Spitzer,78.0,Alex Gibney,2010.0
70,"Vivian Sung, Talu Wang, Dino Lee, Dewi Chien",148302.0,Taiwan,Yu Shan Chen,Comedy,1,Mandarin,134.0,Our Times,79.0,Yung-Ting Tseng,2015.0
71,"Christian Bale, Sam Worthington, Moon Bloodgood, Helena Bonham Carter",125286889.0,USA,McG,Action,0,English,115.0,Terminator Salvation,80.0,"John Brancato, Michael Ferris",2009.0
72,"Agnes Kittelsen, Joachim Rafaelsen, Maibritt Saerens, Henrik Rafaelsen",44947.0,Norway,Anne Sewitsky,Comedy,1,Norwegian,85.0,"Happy, Happy",81.0,"Mette M. Bolstad (dramaturge), Anne Sewitsky, Ragnhild Tronvoll (screenplay)",2010.0
73,"Margot Robbie, Sebastian Stan, Allison Janney, Julianne Nicholson",28950158.0,USA,Craig Gillespie,Biography,0,English,120.0,"I, Tonya",82.0,Steven Rogers,2017.0
74,"Muhammad Ali Jnr, Hana Ali, Maryum Ali, Muhammad Ali",4178.0,UK,Clare Lewins,Documentary,1,English,111.0,I Am Ali,83.0,Clare Lewins,2014.0
75,"Mark Wahlberg, Taylor Kitsch, Emile Hirsch, Ben Foster",97665254.0,USA,Peter Berg,Action,0,English,121.0,Lone Survivor,84.0,"Peter Berg, Marcus Luttrell (book), Patrick Robinson (book)",2013.0
76,"Elizabeth Olsen, Christopher Abbott, Brady Corbet, Hugh Dancy",2981038.0,USA,Sean Durkin,Drama,1,English,102.0,Martha Marcy May Marlene,85.0,Sean Durkin,2011.0
77,"Kristen Stewart, Lars Eidinger, Sigrid Bouaziz, Anders Danielsen Lie",1305195.0,France,Olivier Assayas,Drama,1,English,105.0,Personal Shopper,86.0,Olivier Assayas,2016.0
78,"Ye Liu, Yuanyuan Gao, Wei Fan, Lan Qin",68767.0,China,Chuan Lu,Drama,1,Mandarin,133.0,City of Life and Death,87.0,Chuan Lu,2009.0
79,"Francois Cluzet, Marion Cotillard, Benoit Magimel, Gilles Lellouche",183662.0,France,Guillaume Canet,Comedy,1,French,154.0,Little White Lies,88.0,Guillaume Canet (scenario and dialogue),2010.0
80,"Douglas Booth, Josh Burdett, Holly Earl, Robin Hodges",6388510.0,Poland,"Dorota Kobiela, Hugh Welchman",Animation,0,English,94.0,Loving Vincent,89.0,"Dorota Kobiela, Hugh Welchman, Jacek Dehnel",2017.0
81,"Bipasha Basu, Helen, Pradeep Kharab, Madhavan",52618.0,India,Ashwini Chaudhary,Comedy,1,Hindi,127.0,Jodi Breakers,91.0,"Ashwini Chaudhary, Sanyukta Shaikh Chawla",2012.0
82,"Michael Hadley, Charlie Rowe, Lucy Fleming, Philip Seymour Hoffman",8000000.0,UK,Richard Curtis,Comedy,0,English,117.0,Pirate Radio,92.0,Richard Curtis,2009.0
83,"Kristin Kreuk, Chris Klein, Neal McDonough, Robin Shou",8646753.0,Canada,Andrzej Bartkowiak,Action,0,English,96.0,Street Fighter: The Legend of Chun-Li,93.0,"Justin Marks (screenplay), Alexandre Dumas (novel)",2009.0
84,"Michael Cera, Portia Doubleday, Jean Smart, Zach Galifianakis",15150933.0,USA,Miguel Arteta,Comedy,0,English,90.0,Youth in Revolt,94.0,"Gustin Nash (screenplay), C.D. Payne (novel)",2009.0
85,"Isla Fisher, Hugh Dancy, Krysten Ritter, Joan Cusack",44239688.0,USA,P.J. Hogan,Comedy,0,English,104.0,Confessions of a Shopaholic,95.0,"Tracey Jackson (screenplay), Tim Firth (screenplay), Kayla Alpert (screenplay), Sophie Kinsella (books)",2009.0
86,"James Floyd, Fady Elsayed, Anthony Welsh, Amira Ghazalla",10305.0,UK,Sally El Hosaini,Crime,1,English,111.0,My Brother the Devil,96.0,Sally El Hosaini,2012.0
87,"Melissa Leo, Zachary Quinto, Joseph Gordon-Levitt, Jaymes Butler",21562346.0,France,Oliver Stone,Biography,0,English,134.0,Snowden,97.0,"Kieran Fitzgerald (screenplay by), Oliver Stone (screenplay by), Luke Harding (book), Anatoly Kucherena (book)",2016.0
88,"Naomi Watts, Robin Wright, Xavier Samuel, James Frecheville",200000.0,Australia,Anne Fontaine,Drama,1,English,112.0,Adore,98.0,"Anne Fontaine (screenplay), Christopher Hampton (story), Anne Fontaine (story), Doris Lessing (book)",2013.0
89,"Miley Cyrus, Greg Kinnear, Bobby Coleman, Liam Hemsworth",42441000.0,USA,Julie Anne Robinson,Drama,0,English,107.0,The Last Song,99.0,"Nicholas Sparks (screenplay), Jeff Van Wie (screenplay), Nicholas Sparks (book)",2010.0
90,"Ralph Fiennes, Michael Gambon, Alan Rickman, Daniel Radcliffe",381000185.0,USA,David Yates,Adventure,0,English,130.0,Harry Potter and the Deathly Hallows: Part 2,100.0,"Steve Kloves (screenplay), J.K. Rowling (novel)",2011.0
91,"Drake Bell, Sara Paxton, Christopher McDonald, Leslie Nielsen",25815447.0,USA,Craig Mazin,Action,0,English,75.0,Superhero Movie,101.0,Craig Mazin,2008.0
92,"John Abraham, Varun Dhawan, Nargis Fakhri, Jacqueline Fernandez",442299.0,India,Rohit Dhawan,Action,1,Hindi,124.0,Dishoom,102.0,"Rohit Dhawan (story and screenplay), Tushar Hiranandani (story and screenplay), Hussain Dalal (dialogue)",2016.0
93,"Ajay Devgn, Kajal Aggarwal, Prakash Raj, Sonali Kulkarni",287458.0,India,Rohit Shetty,Action,1,Hindi,143.0,Singham,103.0,"Hari (original story), Yunus Sajawal (screenplay), Sajid (dialogue), Farhad Samji",2011.0
94,"Suxi Ren, Li Da, Shuailiang Liu, Kuishan Pei",356023.0,China,"Lu Liu, Shen Zhou",Comedy,1,Mandarin,113.0,Mr. Donkey,105.0,"Lu Liu, Shen Zhou",2016.0
95,"Kerry Adra, Maynor Alvarado, Yancey Arias, Wes Bentley",5550866.0,USA,Diego Luna,Biography,1,English,102.0,Cesar Chavez,106.0,"Keir Pearson (screenplay), Timothy J. Sexton",2014.0
96,"Tahar Rahim, Simon Abkarian, Makram Khoury, Hindi Zahra",7803.0,Germany,Fatih Akin,Adventure,1,Armenian,138.0,The Cut,108.0,"Fatih Akin, Mardik Martin",2014.0
97,"Khan Chittenden, Morning Tzu-Yi Mo, Robert Menzies, Edwina Wren",8462.0,Australia,Aaron Wilson,Adventure,1,English,84.0,Canopy,109.0,Aaron Wilson,2013.0
98,"John Turturro, Woody Allen, Vanessa Paradis, Liev Schreiber",3179352.0,USA,John Turturro,Comedy,1,English,90.0,Fading Gigolo,110.0,John Turturro,2013.0
99,"Charlotte Gainsbourg, Morgana Davies, Marton Csokas, Christian Byers",69236.0,France,Julie Bertuccelli,Drama,1,English,100.0,The Tree,111.0,"Judy Pascoe (novel), Julie Bertuccelli, Elizabeth J. Mars (first screenplay)",2010.0
100,"Lukas Haas, Madeline Zima, Jake Busey, Tania Raymonde",6106.0,USA,Adam Sherman,Comedy,1,English,95.0,Crazy Eyes,112.0,"Adam Sherman, Dave Reeves, Rachel Hardisty",2012.0
101,"Lisa Curtis, Christopher Schmidt, Lyanna Tumaneng, Tanner Maguire",1121000.0,USA,"David Nixon, Patrick Doughtie(co-director)",Drama,1,English,110.0,Letters to God,113.0,"Patrick Doughtie (story and screenplay), Art D'Alessandro, Sandra Thrift, Cullen Douglas",2010.0
102,"Mark Moraghan, John Hurt, Eddie Redmayne, Olivia Colman",108617.0,UK,David Stoten,Animation,1,English,63.0,Thomas & Friends: Sodor's Legend of the Lost Treasure,114.0,"Wilbert Awdry (railway series), Britt Allcroft (creator), Andrew Brenner",2015.0
103,"Clive Owen, Julia Roberts, Tom Wilkinson, Paul Giamatti",40559930.0,USA,Tony Gilroy,Comedy,0,English,125.0,Duplicity,115.0,Tony Gilroy,2009.0
104,"Thomas Kretschmann, Marta Gastini, Asia Argento, Unax Ugalde",3085.0,Italy,Dario Argento,Horror,1,English,110.0,Dracula 3D,116.0,"Dario Argento (screenplay), Enrique Cerezo (screenplay), Stefano Piani (screenplay), Bram Stoker (book), Antonio Tentori (screenplay)",2012.0
105,"Matthieu Chedid, Vanessa Paradis, Gad Elmaleh, Francois Cluzet",1043531.0,France,Bibo Bergeron,Animation,1,French,90.0,A Monster in Paris,118.0,"Bibo Bergeron (screenplay), Bibo Bergeron (story), Stephane Kazandjian (screenplay)",2011.0
106,"Daniel Radcliffe, Dane DeHaan, Michael C. Hall, Jack Huston",679958.0,USA,John Krokidas,Biography,1,English,104.0,Kill Your Darlings,120.0,"Austin Bunn (screenplay), Austin Bunn (story), John Krokidas (screenplay)",2013.0
107,"Amber Tamblyn, Alexis Bledel, America Ferrera, Blake Lively",44029972.0,USA,Sanaa Hamri,Comedy,0,English,119.0,The Sisterhood of the Traveling Pants 2,121.0,"Elizabeth Chandler (screenplay), Ann Brashares (novel)",2008.0
108,"Jeremy Renner, Anthony Mackie, Brian Geraghty, Guy Pearce",15700000.0,USA,Kathryn Bigelow,Drama,0,English,131.0,The Hurt Locker,122.0,Mark Boal,2008.0
109,"Iko Uwais, Arifin Putra, Tio Pakusadewo, Oka Antara",2372192.0,Indonesia,Gareth Evans,Action,1,Indonesian,150.0,The Raid 2,123.0,Gareth Evans,2014.0
110,"Matthew McConaughey, Edgar Ramirez, Bryce Dallas Howard, Corey Stoll",7222964.0,USA,Stephen Gaghan,Adventure,0,English,120.0,Gold,124.0,"Patrick Massett, John Zinman",2016.0
111,"Bobby Naderi, Noureen DeWulf, Dominic Rains, Maytha Alhassen",11175.0,USA,Eyad Zahra,Drama,1,English,83.0,The Taqwacores,125.0,"Michael Muhammad Knight (screenplay), Michael Muhammad Knight (story), Eyad Zahra (screenplay)",2010.0
112,"Brendan Fraser, Sienna Guillory, Eliza Bennett, Richard Strange",17281832.0,Germany,Iain Softley,Adventure,0,English,106.0,Inkheart,126.0,"David Lindsay-Abaire (screenplay), Cornelia Funke (novel)",2008.0
113,"Kevin Downes, David A.R. White, Stephen Baldwin, Candace Cameron Bure",975344.0,USA,Carey Scott,Drama,1,English,96.0,Faith of Our Fathers,127.0,"Kevin Downes, Carey Scott (screenwriter), Harold Uhl (screenplay), David A.R. White",2015.0
114,"Yusuke Iseya, Jason Bermingham, Eduardo Semerjian, Don McKellar",3073392.0,Canada,Fernando Meirelles,Drama,1,English,121.0,Blindness,128.0,"Jose Saramago (novel), Don McKellar (screenplay)",2008.0
