,Title,Year,Director,Writer,Actors,Genre,Language,Country,Runtime,BoxOffice
420,One Missed Call,2008,Eric Valette,"Andrew Klavan (screenplay), Yasushi Akimoto (novel), Minako Daira (screenplay Chakushin ari)","Shannyn Sossamon, Edward Burns, Ana Claudia Talancon, Ray Wise",Horror,English,USA,87,26812746
427,Twilight,2008,Catherine Hardwicke,"Melissa Rosenberg (screenplay), Stephenie Meyer (novel)","Kristen Stewart, Sarah Clarke, Matt Bushell, Billy Burke",Drama,English,USA,122,191449475
430,Flash of Genius,2008,Marc Abraham,"Philip Railsback, John Seabrook (article)","Greg Kinnear, Tim Eddis, Warren Belle, Karl Pruner",Biography,English,Canada,119,4234040
432,American Teen,2008,Nanette Burstein,Nanette Burstein,"Jake Tusing, Megan Krizmanich, Colin Clemens, Mitch Reinholt",Documentary,English,USA,95,785817
439,Sleep Dealer,2008,Alex Rivera,"Alex Rivera (screenplay), David Riker (screenplay), Alex Rivera (story)","Luis Fernando Pena, Metztli Adamina, Jose Concepcion Macias, Tenoch Huerta",Drama,Spanish,USA,90,35050
445,Oorlogswinter,2008,Martin Koolhoven,"Martin Koolhoven (screenplay), Paul Jan Nelissen (screenplay), Jan Terlouw (novel), Mieke de Jong (screenplay)","Martijn Lakemeier, Yorick van Wageningen, Jamie Campbell Bower, Raymond Thiry",Drama,Dutch,Netherlands,103,200000
454,In Bruges,2008,Martin McDonagh,Martin McDonagh,"Elizabeth Berrington, Rudy Blomme, Olivier Bonjour, Mark Donovan",Comedy,English,UK,107,7550836
457,Saw V,2008,David Hackl,"Patrick Melton (screenplay), Marcus Dunstan (screenplay)","Tobin Bell, Costas Mandylor, Scott Patterson, Betsy Russell",Crime,English,USA,92,56729973
460,Hell Ride,2008,Larry Bishop,Larry Bishop,"Julia Jones, Larry Bishop, Leonor Varela, Austin Galuppo",Action,English,USA,84,194287
461,Madagascar: Escape 2 Africa,2008,"Eric Darnell, Tom McGrath","Etan Cohen, Eric Darnell, Tom McGrath","Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith",Animation,English,USA,89,179982968
507,Youssou Ndour: I Bring What I Love,2008,Elizabeth Chai Vasarhelyi,Elizabeth Chai Vasarhelyi,"Youssou N'Dour, Peter Gabriel, Moustapha Mbaye, Kabou Gueye",Documentary,French,Senegal,102,32598
512,Paris 36,2008,Christophe Barratier,"Christophe Barratier, Christophe Barratier (adaptation), Julien Rappeneau (adaptation), Christophe Barratier (dialogue), Julien Rappeneau (dialogue), Pierre Philippe (dialogue), Frank Thomas (original idea), Reinhardt Wagner (original idea), Jean-Michel Derenne (original idea)","Gerard Jugnot, Clovis Cornillac, Kad Merad, Nora Arnezeder",Drama,French,France,120,812429
518,Marley & Me,2008,David Frankel,"Scott Frank (screenplay), Don Roos (screenplay), John Grogan (book)","Owen Wilson, Jennifer Aniston, Eric Dane, Kathleen Turner",Comedy,English,USA,115,143084510
529,North Face,2008,Philipp Stolzl,"Chris Silber, Philipp Stolzl, Rupert Henning, Johannes Naber, Benedikt Roeskau (story)","Benno Furmann, Johanna Wokalek, Florian Lukas, Simon Schwarz",Adventure,German,Germany,126,500948
530,What Happens in Vegas,2008,Tom Vaughan,Dana Fox,"Cameron Diaz, Ashton Kutcher, Rob Corddry, Lake Bell",Comedy,English,USA,99,80199843
532,Kit Kittredge: An American Girl,2008,Patricia Rozema,"Ann Peacock, Valerie Tripp (Kit Kittredge stories)","Abigail Breslin, Julia Ormond, Chris O'Donnell, Jane Krakowski",Drama,English,USA,101,17533514
539,Strange Wilderness,2008,Fred Wolf,"Peter Gaulke, Fred Wolf","Steve Zahn, Allen Covert, Jonah Hill, Kevin Heffernan",Adventure,English,USA,87,6515869
550,Tokyo Sonata,2008,Kiyoshi Kurosawa,"Kiyoshi Kurosawa (screenplay), Max Mannix, Sachiko Tanaka (screenplay)","Teruyuki Kagawa, Kyoko Koizumi, Yu Koyanagi, Kai Inowaki",Drama,Japanese,Japan,120,103045
574,Mid-August Lunch,2008,Gianni Di Gregorio,"Gianni Di Gregorio (story), Simone Riccardini (story), Gianni Di Gregorio (screenplay)","Valeria De Franciscis, Marina Cacciotti, Maria Cali, Grazia Cesarini Sforza",Comedy,Italian,Italy,75,600000
589,Ponyo,2008,Hayao Miyazaki,Hayao Miyazaki,"Tomoko Yamaguchi, Kazushige Nagashima, Yuki Amami, George Tokoro",Animation,Japanese,Japan,101,15100000
600,The Forbidden Kingdom,2008,Rob Minkoff,John Fusco,"Jet Li, Michael Angarano, Jackie Chan, Juana Collignon",Action,English,USA,104,40044561
622,Jumper,2008,Doug Liman,"David S. Goyer (screenplay), Jim Uhls (screenplay), Simon Kinberg (screenplay), Steven Gould (novel)","Hayden Christensen, Jamie Bell, Rachel Bilson, Diane Lane",Action,English,USA,88,80055499
625,Leatherheads,2008,George Clooney,"Duncan Brantley, Rick Reilly","John Krasinski, David de Vries, Rick Forrester, Craig S. Harper",Comedy,English,USA,114,31199215
629,Yuvvraaj,2008,Subhash Ghai,"Sachin Bhowmick (screenplay), Subhash Ghai (story,  screenplay & dialogue), Kamlesh Pandey (screenplay)","Salman Khan, Anil Kapoor, Zayed Khan, Mithun Chakraborty",Comedy,Hindi,India,151,565440
631,The X Files: I Want to Believe,2008,Chris Carter,"Frank Spotnitz, Chris Carter, Chris Carter (television series ""The X-Files"")","David Duchovny, Gillian Anderson, Amanda Peet, Billy Connolly",Drama,English,USA,104,20847266
633,Vicky Cristina Barcelona,2008,Woody Allen,Woody Allen,"Rebecca Hall, Scarlett Johansson, Christopher Evan Welch, Chris Messina",Drama,English,Spain,96,23164041
658,21,2008,Robert Luketic,"Peter Steinfeld (screenplay), Allan Loeb (screenplay), Ben Mezrich (book)","Jim Sturgess, Kevin Spacey, Kate Bosworth, Aaron Yoo",Crime,English,USA,123,81159365
664,Summer Hours,2008,Olivier Assayas,Olivier Assayas,"Juliette Binoche, Charles Berling, Jeremie Renier, Edith Scob",Drama,French,France,103,1566427
667,The Wackness,2008,Jonathan Levine,Jonathan Levine,"Ben Kingsley, Josh Peck, Famke Janssen, Olivia Thirlby",Comedy,English,UK,99,2100000
668,Untraceable,2008,Gregory Hoblit,"Robert Fyvolent (screenplay), Mark Brinker (screenplay), Allison Burnett (screenplay), Robert Fyvolent (story), Mark Brinker (story)","Diane Lane, Billy Burke, Colin Hanks, Joseph Cross",Crime,English,USA,101,28687835
683,More Than a Game,2008,Kristopher Belman,"Kristopher Belman, Brad Hogan","LeBron James, Dru Joyce, Romeo Travis, Sian Cotton",Documentary,English,USA,105,887029
685,Tropic Thunder,2008,Ben Stiller,"Justin Theroux (screenplay), Ben Stiller (screenplay), Etan Cohen (screenplay), Ben Stiller (story), Justin Theroux (story)","Jeff Kahn, Robert Downey Jr., Anthony Ruivivar, Jack Black",Action,English,USA,107,110416702
697,Sex Drive,2008,Sean Anders,"Sean Anders (screenplay), John Morris (screenplay), Andy Behrens (book)","Josh Zuckerman, Amanda Crew, Clark Duke, James Marsden",Adventure,English,USA,109,8364827
705,Gonzo: The Life and Work of Dr. Hunter S. Thompson,2008,Alex Gibney,"Alex Gibney (screenplay), Hunter S. Thompson (writings)","Hunter S. Thompson, Johnny Depp, Joe Cairo, David Carlo",Documentary,English,USA,120,1031095
708,The Curious Case of Benjamin Button,2008,David Fincher,"Eric Roth (screenplay), Eric Roth (story), Robin Swicord (story), F. Scott Fitzgerald (short story)","Cate Blanchett, Brad Pitt, Julia Ormond, Faune Chambers Watkins",Drama,English,USA,166,127490802
714,Bronson,2008,Nicolas Winding Refn,"Brock Norman Brock (screenplay), Nicolas Winding Refn (screenplay)","Tom Hardy, Kelly Adams, Luing Andrews, Katy Barker",Action,English,UK,92,100000
715,The Wrestler,2008,Darren Aronofsky,Robert Siegel,"Mickey Rourke, Marisa Tomei, Evan Rachel Wood, Mark Margolis",Drama,English,USA,109,26136413
726,Sunshine Cleaning,2008,Christine Jeffs,Megan Holley,"Amy Adams, Emily Blunt, Alan Arkin, Jason Spevack",Comedy,English,USA,91,12033702
728,The Rocker,2008,Peter Cattaneo,"Maya Forbes (screenplay), Wallace Wolodarsky (screenplay), Ryan Jaffe (story)","Rainn Wilson, Christina Applegate, Teddy Geiger, Josh Gad",Comedy,English,USA,102,6339401
740,Bride Flight,2008,Ben Sombogaart,Marieke van der Pol (screenplay),"Karina Smulders, Pleuni Touw, Anna Drijver, Willeke van Ammelrooy",Drama,Dutch,Netherlands,130,497252
756,The Great Buck Howard,2008,Sean McGinly,Sean McGinly,"John Malkovich, Colin Hanks, Emily Blunt, Ricky Jay",Comedy,English,USA,90,606264
783,Soul Men,2008,Malcolm D. Lee,"Robert Ramsey, Matthew Stone","Samuel L. Jackson, Bernie Mac, Sharon Leal, Adam Herschman",Comedy,English,USA,100,11966888
786,Rough and Corny,2008,Carlos Cuaron,Carlos Cuaron (screenplay),"Gael Garcia Bernal, Diego Luna, Guillermo Francella, Dolores Heredia",Comedy,Spanish,Mexico,103,1746295
787,Hancock,2008,Peter Berg,"Vincent Ngo, Vince Gilligan","Will Smith, Charlize Theron, Jason Bateman, Jae Head",Action,English,USA,92,227946274
790,Elegy,2008,Isabel Coixet,"Nicholas Meyer (screenplay), Philip Roth (novel)","Penelope Cruz, Ben Kingsley, Dennis Hopper, Patricia Clarkson",Drama,English,USA,112,3456676
805,Let's Talk About the Rain,2008,Agnes Jaoui,"Agnes Jaoui (scenario), Jean-Pierre Bacri (scenario)","Agnes Jaoui, Jean-Pierre Bacri, Jamel Debbouze, Pascale Arbillot",Comedy,French,France,110,106093
807,Man on Wire,2008,James Marsh,"Philippe Petit (based on the book ""To Reach the Clouds"" by)","Philippe Petit, Jean Francois Heckel, Jean-Louis Blondeau, Annie Allix",Documentary,English,UK,94,2600296
808,Mad Money,2008,Callie Khouri,"Glenn Gers (screenplay), John Mister (earlier screenplay), Neil McKay (screenplay ""Hot Money""), Terry Winsor (screenplay ""Hot Money"")","Diane Keaton, Ted Danson, Katie Holmes, Adam Rothenberg",Comedy,English,USA,104,20536106
825,Street Kings,2008,David Ayer,"James Ellroy (screenplay), Kurt Wimmer (screenplay), Jamie Moss (screenplay), James Ellroy (story)","Keanu Reeves, Forest Whitaker, Hugh Laurie, Chris Evans",Action,English,USA,109,26351341
855,Prom Night,2008,Nelson McCormick,J.S. Cardone,"Brittany Snow, Scott Porter, Jessica Stroup, Dana Davis",Horror,English,USA,88,43818159
868,Cloverfield,2008,Matt Reeves,Drew Goddard,"Lizzy Caplan, Jessica Lucas, T.J. Miller, Michael Stahl-David",Action,English,USA,85,79952254
875,"New York, I Love You",2008,"Fatih Akin, Yvan Attal, Randall Balsmeyer, Allen Hughes, Shunji Iwai, Wen Jiang, Shekhar Kapur, Joshua Marston, Mira Nair, Natalie Portman, Brett Ratner","Hu Hong (segment), Yao Meng (segment), Israel Horovitz (adaptation), Suketu Mehta (segment), Shunji Iwai (segment), Israel Horovitz (adaptation), Olivier Lecot (segment), Jeff Nathanson (segment), Xan Cassavetes (segment), Stephen Winter (segment), Anthony Minghella (segment), Natalie Portman (segment), Fatih Akin (segment), Joshua Marston (segment), Hall Powell (transitions ""Randy Balsmeyer""), Israel Horovitz (transitions ""Randy Balsmeyer""), Jim Strouse (transitions ""Randy Balsmeyer""), Emmanuel Benbihy (concept)","Hayden Christensen, Andy Garcia, Rachel Bilson, Natalie Portman",Comedy,English,USA,103,1600000
888,Made of Honor,2008,Paul Weiland,"Adam Sztykiel (screenplay), Deborah Kaplan (screenplay), Harry Elfont (screenplay), Adam Sztykiel (story)","Patrick Dempsey, Michelle Monaghan, Kevin McKidd, Kadeem Hardison",Comedy,English,USA,101,46012734
906,Rachel Getting Married,2008,Jonathan Demme,Jenny Lumet,"Sebastian Stan, Roslyn Ruff, Anne Hathaway, Bill Irwin",Drama,English,USA,113,12748504
927,The Express,2008,Gary Fleder,"Charles Leavitt, Robert Gallagher (book)","Rob Brown, Dennis Quaid, Darrin Dewitt Henson, Omar Benson Miller",Biography,English,USA,130,9589875
930,Little Ashes,2008,Paul Morrison,Philippa Goslett,"Javier Beltran, Robert Pattinson, Matthew McNulty, Marina Gatell",Biography,English,UK,112,400000
943,Beer for My Horses,2008,Michael Salomon,"Rodney Carrington (screenplay), Toby Keith (screenplay)","Toby Keith, Rodney Carrington, Claire Forlani, Ted Nugent",Action,English,USA,86,586242
945,Revolutionary Road,2008,Sam Mendes,"Justin Haythe (screenplay), Richard Yates (novel)","Kate Winslet, Leonardo DiCaprio, Christopher Fitzgerald, Jonathan Roumie",Drama,English,USA,119,22877808
950,Cherry Blossoms,2008,Doris Dorrie,Doris Dorrie (screenplay),"Elmar Wepper, Hannelore Elsner, Aya Irizuki, Maximilian Bruckner",Drama,German,Germany,127,100000
951,Sarkar Raj,2008,Ram Gopal Varma,Prashant Pandey,"Amitabh Bachchan, Abhishek Bachchan, Aishwarya Rai Bachchan, Ravi Kale",Crime,Hindi,India,125,909771
952,The Boy in the Striped Pajamas,2008,Mark Herman,"John Boyne (novel), Mark Herman (screenplay)","Asa Butterfield, Zac Mattoon O'Brien, Domonkos Nemeth, Henry Kingsmill",Drama,English,UK,94,9030581
955,The Love Guru,2008,Marco Schnabel,"Mike Myers, Graham Gordy","Jessica Simpson, Kanye West, Mike Myers, Deepak Chopra",Comedy,English,UK,87,32178777
957,Fifty Dead Men Walking,2008,Kari Skogland,"Martin McGartland (inspired by the book ""Fifty Dead Man Walking""), Nicholas Davies (inspired by the book ""Fifty Dead Man Walking""), Kari Skogland","Ben Kingsley, Jim Sturgess, Kevin Zegers, Natalie Press",Crime,English,UK,117,1748442
961,Fireproof,2008,Alex Kendrick,"Alex Kendrick (story and screenplay), Stephen Kendrick (story and screenplay)","Kirk Cameron, Erin Bethea, Ken Bevel, Stephen Dervan",Drama,English,USA,122,33451479
976,American Violet,2008,Tim Disney,Bill Haney,"Nicole Beharie, Tim Blake Nelson, Will Patton, Michael O'Keefe",Drama,English,USA,103,465786
980,Eagle Eye,2008,D.J. Caruso,"John Glenn (screenplay), Travis Wright (screenplay), Hillary Seitz (screenplay), Dan McDermott (screenplay), Dan McDermott (story)","Shia LaBeouf, Michelle Monaghan, Rosario Dawson, Michael Chiklis",Action,English,USA,118,101111837
983,Lemon Tree,2008,Eran Riklis,"Suha Arraf (screenplay), Eran Riklis (screenplay)","Hiam Abbass, Rona Lipaz-Michael, Ali Suliman, Doron Tavory",Drama,Arabic,Israel,106,467072
987,U Me Aur Hum,2008,Ajay Devgn,"Robin Bhatt (screenplay), Ajay Devgn (story), Ashwani Dhir (dialogue), Sutanu Gupta (screenplay), Akarsh Khurana (screenplay)","Ajay Devgn, Kajol, Sumeet Raghvan, Divya Dutta",Drama,Hindi,India,156,1028191
1022,Cadillac Records,2008,Darnell Martin,Darnell Martin,"Joshua Alscher, Tim Bellow, Tony Bentley, Tammy Blanchard",Biography,English,USA,109,8134217
1030,"10,000 BC",2008,Roland Emmerich,"Roland Emmerich, Harald Kloser","Steven Strait, Camilla Belle, Cliff Curtis, Joel Virgel",Action,English,USA,109,94700000
1041,Repo! The Genetic Opera,2008,Darren Lynn Bousman,"Darren Smith (screenplay), Terrance Zdunich (screenplay), Darren Smith (play), Terrance Zdunich (play)","Alexa PenaVega, Paul Sorvino, Anthony Head, Sarah Brightman",Horror,English,USA,98,100000
1049,Semi-Pro,2008,Kent Alterman,Scot Armstrong,"Will Ferrell, Woody Harrelson, Andre Benjamin, Maura Tierney",Comedy,English,USA,91,33370443
1054,Ghajini,2008,A.R. Murugadoss,"Piyush Mishra (dialogue), A.R. Murugadoss (story and screenplay), Christopher Nolan (based on a screenplay by), Jonathan Nolan (adapted from the short story by)","Aamir Khan, Asin, Jiah Khan, Tinnu Anand",Action,Hindi,India,183,2411071
1055,Role Models,2008,David Wain,"Timothy Dowling (story), W. Blake Herron (story), Paul Rudd (screenplay), David Wain (screenplay), Ken Marino (screenplay), Timothy Dowling (screenplay)","Seann William Scott, Paul Rudd, Christopher Mintz-Plasse, Bobb'e J. Thompson",Comedy,English,Germany,99,67300000
1057,One Two Three,2008,Ashwani Dhir,Ashwani Dhir (screenplay),"Tusshar Kapoor, Sunil Shetty, Paresh Rawal, Esha Deol",Comedy,Hindi,India,135,246724
1059,Taken,2008,Pierre Morel,"Luc Besson, Robert Mark Kamen","Liam Neeson, Maggie Grace, Leland Orser, Jon Gries",Action,English,France,94,144924285
1060,Meet the Browns,2008,Tyler Perry,Tyler Perry (play),"Tyler Perry, David Mann, Tamela J. Mann, Angela Bassett",Comedy,English,USA,100,41939392
1072,Wendy and Lucy,2008,Kelly Reichardt,"Jonathan Raymond (screenplay by), Kelly Reichardt (screenplay by), Jonathan Raymond (story by)","Michelle Williams, Lucy, David Koppell, Max Clement",Drama,English,USA,80,700720
