Title,Year,Genre,Director,Writer,Actors,Language,Country,Runtime,BoxOffice
Steve Jobs,2015,"['Biography', 'Drama']",Danny Boyle,Aaron Sorkin,"['Michael Fassbender', 'Kate Winslet', 'Seth Rogen']",English,UK,122,12403169
The Sleepwalker,2014,['Drama'],Mona Fastvold,Brady Corbet,"['Gitte Witt', 'Christopher Abbott', 'Stephanie Ellis']",English,Norway,91,2636
The Whistleblower,2010,"['Action', 'Biography', 'Crime', 'Drama', 'Thriller']",Larysa Kondracki,Larysa Kondracki,"['Rachel Weisz', 'Vanessa Redgrave', 'Monica Bellucci']",English,Canada,112,900000
A Nightmare on Elm Street,2010,"['Crime', 'Drama', 'Horror', 'Mystery']",Samuel Bayer,Wesley Strick,"['Jackie Earle Haley', 'Kyle Gallner', 'Rooney Mara']",English,USA,95,63100000
Sweet Bean,2015,['Drama'],Naomi Kawase,Durian Sukegawa,"['Kirin Kiki', 'Masatoshi Nagase', 'Kyara Uchida']",Japanese,Japan,113,123231
What If...,2010,"['Drama', 'Family', 'Fantasy', 'Romance']",Dallas Jenkins,Chuck Konzelman,"['Kevin Sorbo', 'Kristy Swanson', 'John Ratzenberger']",English,USA,111,814348
Letters to Juliet,2010,"['Adventure', 'Comedy', 'Drama', 'Romance']",Gary Winick,Jose Rivera,"['Amanda Seyfried', 'Marcia DeBonis', 'Gael Garcia Bernal']",English,USA,105,53021560
Ode to My Father,2014,['Drama'],JK Youn,Su-jin Park,"['Jung-min Hwang', 'Yunjin Kim', 'Dal-su Oh']",Korean,South Korea,126,2300121
The American,2010,"['Crime', 'Drama', 'Thriller']",Anton Corbijn,Rowan Joffe,"['George Clooney', 'Irina Bjorklund', 'Lars Hjelm']",English,USA,105,35596227
Tokyo!,2008,"['Comedy', 'Drama', 'Fantasy']",Joon-ho Bong,Gabrielle Bell,"['Ayako Fujitani', 'Ryo Kase', 'Ayumi Ito']",Japanese,France,112,300000
Strange Magic,2015,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",Gary Rydstrom,David Berenbaum,"['Alan Cumming', 'Evan Rachel Wood', 'Elijah Kelley']",English,USA,99,10201634
Wild Target,2010,"['Action', 'Comedy', 'Crime']",Jonathan Lynn,Lucinda Coxon,"['Bill Nighy', 'Emily Blunt', 'Rupert Grint']",English,UK,98,117190
The Brothers Bloom,2008,"['Action', 'Adventure', 'Comedy', 'Crime', 'Drama', 'Romance']",Rian Johnson,Rian Johnson,"['Rachel Weisz', 'Adrien Brody', 'Mark Ruffalo']",English,USA,114,3479844
Blood: The Last Vampire,2009,"['Action', 'Horror', 'Thriller']",Chris Nahon,Chris Chow,"['Ji-hyun Jun', 'Allison Miller', 'Liam Cunningham']",English,Hong Kong,91,192005
Room 237,2012,['Documentary'],Rodney Ascher,unknown,"['Bill Blakemore', 'Geoffrey Cocks', 'Juli Kearns']",English,USA,102,181283
The Devil's Double,2011,"['Biography', 'Drama', 'Thriller']",Lee Tamahori,Michael Thomas,"['Dominic Cooper', 'Ludivine Sagnier', 'Raad Rawi']",English,Belgium,109,1357042
The Peanuts Movie,2015,"['Animation', 'Adventure', 'Comedy', 'Family']",Steve Martino,Craig Schulz,"['Trombone Shorty', 'Rebecca Bloom', 'Anastasia Bredikhina']",English,USA,88,106132048
Urbanized,2011,['Documentary'],Gary Hustwit,unknown,"['Norman Foster', 'Jan Gehl', 'Ellen Dunham-Jones']",English,USA,85,36208
Disco Singh,2014,['Comedy'],Anurag Singh,Anurag Singh,"['Diljit Dosanjh', 'Surveen Chawla', 'B.N. Sharma']",Panjabi,India,141,171610
Takers,2010,"['Action', 'Crime', 'Thriller']",John Luessenhop,Peter Allen,"['Chris Brown', 'Hayden Christensen', 'Matt Dillon']",English,USA,107,57744720
Tashan,2008,"['Action', 'Drama', 'Romance']",Vijay Krishna Acharya,Vijay Krishna Acharya,"['Akshay Kumar', 'Saif Ali Khan', 'Kareena Kapoor']",Hindi,India,120,428923
Francofonia,2015,"['Drama', 'History']",Aleksandr Sokurov,Aleksandr Sokurov,"['Louis-Do de Lencquesaing', 'Benjamin Utzerath', 'Vincent Nemeth']",Russian,France,88,290055
Tales of the Night,2011,"['Animation', 'Fantasy']",Michel Ocelot,Michel Ocelot,"['Julien Beramis', 'Marine Griset', 'Michel Elias']",French,France,84,7154
Four Christmases,2008,"['Comedy', 'Drama', 'Romance']",Seth Gordon,Matt Allen,"['Vince Vaughn', 'Reese Witherspoon', 'Robert Duvall']",English,Germany,88,120100000
Chillar Party,2011,"['Comedy', 'Drama', 'Family']",Vikas Bahl,Vikas Bahl,"['Aarav Khanna', 'Chinmay Chandraunshuh', 'Divji Handa']",Hindi,India,135,6149
Nothing to Declare,2010,['Comedy'],Dany Boon,Dany Boon,"['Benoit Poelvoorde', 'Dany Boon', 'Christel Pedrinelli']",French,France,108,153494
These Final Hours,2013,"['Drama', 'Sci-Fi', 'Thriller']",Zak Hilditch,Zak Hilditch,"['Jessica De Gouw', 'Nathan Phillips', 'David Field']",English,Australia,87,206727
Our Little Sister,2015,"['Drama', 'Family']",Hirokazu Koreeda,Akimi Yoshida,"['Haruka Ayase', 'Masami Nagasawa', 'Kaho']",Japanese,Japan,127,466986
In Our Nature,2012,['Drama'],Brian Savelson,Brian Savelson,"['Zach Gilford', 'Jena Malone', 'John Slattery']",English,USA,103,6175
Gun Hill Road,2011,['Drama'],Rashaad Ernesto Green,Rashaad Ernesto Green,"['Esai Morales', 'Robert Salzman', 'Ty Jones']",English,USA,86,139013
Attenberg,2010,"['Drama', 'Romance']",Athina Rachel Tsangari,Athina Rachel Tsangari,"['Ariane Labed', 'Vangelis Mourikis', 'Evangelia Randou']",Greek,Greece,97,12540
Pompeii,2014,"['Action', 'Adventure', 'Drama', 'History', 'Romance']",Paul W.S. Anderson,Janet Scott Batchler,"['Kit Harington', 'Carrie-Anne Moss', 'Emily Browning']",English,Canada,105,19919371
The Guilt Trip,2012,"['Comedy', 'Drama']",Anne Fletcher,Dan Fogelman,"['Barbra Streisand', 'Seth Rogen', 'Julene Renee']",English,USA,95,37101011
The Pirates! Band of Misfits,2012,"['Animation', 'Adventure', 'Comedy', 'Family']",Peter Lord,Gideon Defoe,"['Hugh Grant', 'Martin Freeman', 'Imelda Staunton']",English,UK,88,31051126
Trollhunter,2010,"['Drama', 'Fantasy', 'Horror']",Andre Ovredal,Andre Ovredal,"['Otto Jespersen', 'Glenn Erland Tosterud', 'Johanna Morck']",Norwegian,Norway,103,252652
Casino Jack,2010,"['Biography', 'Comedy', 'Crime', 'Drama']",George Hickenlooper,Norman Snider,"['Kevin Spacey', 'Ruth Marshall', 'Graham Greene']",English,Canada,108,1039869
Paranormal Activity 2,2010,['Horror'],Tod Williams,Michael R. Perry,"['David Bierend', 'Brian Boland', 'Molly Ephraim']",English,USA,91,84747727
Ra.One,2011,"['Action', 'Adventure', 'Sci-Fi']",Anubhav Sinha,David Benullo,"['Shah Rukh Khan', 'Arjun Rampal', 'Kareena Kapoor']",Hindi,India,156,2509150
Miss You Already,2015,"['Comedy', 'Drama', 'Romance']",Catherine Hardwicke,Morwenna Banks,"['Drew Barrymore', 'Shola Adewusi', 'Toni Collette']",English,UK,112,2895704
Hall Pass,2011,"['Comedy', 'Romance']",Bobby Farrelly,Pete Jones,"['Owen Wilson', 'Jason Sudeikis', 'Jenna Fischer']",English,USA,105,45045037
Velaiilla Pattadhari,2014,"['Action', 'Drama']",Velraj,Velraj,"['Dhanush', 'Saranya Ponvannan', 'Amala Paul']",Tamil,India,133,66438
A Man Called Ove,2015,"['Comedy', 'Drama', 'Romance']",Hannes Holm,Hannes Holm,"['Rolf Lassgard', 'Bahar Pars', 'Filip Berg']",Swedish,Sweden,116,3358518
The Catechism Cataclysm,2011,['Comedy'],Todd Rohal,Todd Rohal,"['Judy Findlay', 'Steve Little', 'Robert Longstreet']",English,USA,75,1933
Redemption,2013,"['Action', 'Crime', 'Drama', 'Thriller']",Steven Knight,Steven Knight,"['Jason Statham', 'Agata Buzek', 'Vicky McClure']",English,UK,100,23595
Housefull,2010,['Comedy'],Sajid Khan,Sameer Anjaan,"['Akshay Kumar', 'Deepika Padukone', 'Riteish Deshmukh']",Hindi,India,144,642156
Hating Breitbart,2012,['Documentary'],Andrew Marcus,Andrew Marcus,"['Andrew Breitbart', 'Orson Bean', 'Dick Armey']",English,USA,85,81432
Stories We Tell,2012,['Documentary'],Sarah Polley,Sarah Polley,"['Michael Polley', 'Harry Gulkin', 'Susy Buchan']",English,Canada,108,1599038
The Fighter,2010,"['Biography', 'Drama', 'Sport']",David O. Russell,Scott Silver,"['Mark Wahlberg', 'Christian Bale', 'Amy Adams']",English,USA,116,93571803
Diana Vreeland: The Eye Has to Travel,2011,"['Documentary', 'Biography']",Lisa Immordino Vreeland,Lisa Immordino Vreeland,"['Diana Vreeland', 'Richard Avedon', 'David Bailey']",English,USA,86,619054
For Colored Girls,2010,['Drama'],Tyler Perry,Tyler Perry,"['Kimberly Elise', 'Janet Jackson', 'Loretta Devine']",English,USA,133,37714860
Client 9: The Rise and Fall of Eliot Spitzer,2010,['Documentary'],Alex Gibney,Alex Gibney,"['Alex Gibney', 'Eliot Spitzer', 'Hulbert Waldroup']",English,USA,117,187540
Our Times,2015,"['Comedy', 'Romance']",Yu Shan Chen,Yung-Ting Tseng,"['Vivian Sung', 'Talu Wang', 'Dino Lee']",Mandarin,Taiwan,134,148302
Terminator Salvation,2009,"['Action', 'Adventure', 'Sci-Fi']",McG,John Brancato,"['Christian Bale', 'Sam Worthington', 'Moon Bloodgood']",English,USA,115,125286889
"Happy, Happy",2010,"['Comedy', 'Drama']",Anne Sewitsky,Mette M. Bolstad,"['Agnes Kittelsen', 'Joachim Rafaelsen', 'Maibritt Saerens']",Norwegian,Norway,85,44947
This Is It,2009,"['Documentary', 'Music']",Kenny Ortega,unknown,"['Michael Jackson', 'Alex Al', 'Alexandra Apjarova']",English,USA,111,71844424
I Am Ali,2014,"['Documentary', 'Biography', 'Sport']",Clare Lewins,Clare Lewins,"['Muhammad Ali Jnr', 'Hana Ali', 'Maryum Ali']",English,UK,111,4178
Lone Survivor,2013,"['Action', 'Biography', 'Drama', 'Thriller', 'War']",Peter Berg,Peter Berg,"['Mark Wahlberg', 'Taylor Kitsch', 'Emile Hirsch']",English,USA,121,97665254
Martha Marcy May Marlene,2011,"['Drama', 'Mystery', 'Thriller']",Sean Durkin,Sean Durkin,"['Elizabeth Olsen', 'Christopher Abbott', 'Brady Corbet']",English,USA,102,2981038
City of Life and Death,2009,"['Drama', 'History', 'War']",Chuan Lu,Chuan Lu,"['Ye Liu', 'Yuanyuan Gao', 'Wei Fan']",Mandarin,China,133,68767
Little White Lies,2010,"['Comedy', 'Drama']",Guillaume Canet,Guillaume Canet,"['Francois Cluzet', 'Marion Cotillard', 'Benoit Magimel']",French,France,154,183662
Over Her Dead Body,2008,"['Comedy', 'Fantasy', 'Romance']",Jeff Lowell,Jeff Lowell,"['Eva Longoria', 'Paul Rudd', 'Lake Bell']",English,USA,95,7485689
Jodi Breakers,2012,"['Comedy', 'Musical', 'Romance']",Ashwini Chaudhary,Ashwini Chaudhary,"['Bipasha Basu', 'Helen', 'Pradeep Kharab']",Hindi,India,127,52618
Pirate Radio,2009,"['Comedy', 'Drama', 'Music']",Richard Curtis,Richard Curtis,"['Michael Hadley', 'Charlie Rowe', 'Lucy Fleming']",English,UK,117,8000000
Street Fighter: The Legend of Chun-Li,2009,"['Action', 'Crime', 'Thriller']",Andrzej Bartkowiak,Justin Marks,"['Kristin Kreuk', 'Chris Klein', 'Neal McDonough']",English,Canada,96,8646753
Youth in Revolt,2009,"['Comedy', 'Drama', 'Romance']",Miguel Arteta,Gustin Nash,"['Michael Cera', 'Portia Doubleday', 'Jean Smart']",English,USA,90,15150933
Confessions of a Shopaholic,2009,"['Comedy', 'Family', 'Romance']",P.J. Hogan,Tracey Jackson,"['Isla Fisher', 'Hugh Dancy', 'Krysten Ritter']",English,USA,104,44239688
My Brother the Devil,2012,"['Crime', 'Drama', 'Romance']",Sally El Hosaini,Sally El Hosaini,"['James Floyd', 'Fady Elsayed', 'Anthony Welsh']",English,UK,111,10305
Adore,2013,"['Drama', 'Romance']",Anne Fontaine,Anne Fontaine,"['Naomi Watts', 'Robin Wright', 'Xavier Samuel']",English,Australia,112,200000
The Last Song,2010,"['Drama', 'Music', 'Romance']",Julie Anne Robinson,Nicholas Sparks,"['Miley Cyrus', 'Greg Kinnear', 'Bobby Coleman']",English,USA,107,42441000
Harry Potter and the Deathly Hallows: Part 2,2011,"['Adventure', 'Drama', 'Fantasy', 'Mystery']",David Yates,Steve Kloves,"['Ralph Fiennes', 'Michael Gambon', 'Alan Rickman']",English,USA,130,381000185
Superhero Movie,2008,"['Action', 'Comedy']",Craig Mazin,Craig Mazin,"['Drake Bell', 'Sara Paxton', 'Christopher McDonald']",English,USA,75,25815447
Singham,2011,"['Action', 'Drama']",Rohit Shetty,Hari,"['Ajay Devgn', 'Kajal Aggarwal', 'Prakash Raj']",Hindi,India,143,287458
Rabbit Hole,2010,['Drama'],John Cameron Mitchell,David Lindsay-Abaire,"['Nicole Kidman', 'Aaron Eckhart', 'Dianne Wiest']",English,USA,91,2221809
Cesar Chavez,2014,"['Biography', 'Drama']",Diego Luna,Keir Pearson,"['Kerry Adra', 'Maynor Alvarado', 'Yancey Arias']",English,USA,102,5550866
The Cut,2014,"['Adventure', 'Drama', 'History', 'Mystery', 'War']",Fatih Akin,Fatih Akin,"['Tahar Rahim', 'Simon Abkarian', 'Makram Khoury']",Armenian,Germany,138,7803
Canopy,2013,"['Adventure', 'Drama', 'Thriller', 'War']",Aaron Wilson,Aaron Wilson,"['Khan Chittenden', 'Morning Tzu-Yi Mo', 'Robert Menzies']",English,Australia,84,8462
Fading Gigolo,2013,['Comedy'],John Turturro,John Turturro,"['John Turturro', 'Woody Allen', 'Vanessa Paradis']",English,USA,90,3179352
The Tree,2010,"['Drama', 'Romance']",Julie Bertuccelli,Judy Pascoe,"['Charlotte Gainsbourg', 'Morgana Davies', 'Marton Csokas']",English,France,100,69236
Crazy Eyes,2012,['Comedy'],Adam Sherman,Adam Sherman,"['Lukas Haas', 'Madeline Zima', 'Jake Busey']",English,USA,95,6106
Letters to God,2010,"['Drama', 'Family']",David Nixon,Patrick Doughtie,"['Lisa Curtis', 'Christopher Schmidt', 'Lyanna Tumaneng']",English,USA,110,1121000
Thomas & Friends: Sodor's Legend of the Lost Treasure,2015,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",David Stoten,Wilbert Awdry,"['Mark Moraghan', 'John Hurt', 'Eddie Redmayne']",English,UK,63,108617
Duplicity,2009,"['Comedy', 'Crime', 'Romance', 'Thriller']",Tony Gilroy,Tony Gilroy,"['Clive Owen', 'Julia Roberts', 'Tom Wilkinson']",English,USA,125,40559930
Dracula 3D,2012,"['Horror', 'Romance', 'Thriller']",Dario Argento,Dario Argento,"['Thomas Kretschmann', 'Marta Gastini', 'Asia Argento']",English,Italy,110,3085
Street Kings,2008,"['Action', 'Crime', 'Drama', 'Thriller']",David Ayer,James Ellroy,"['Keanu Reeves', 'Forest Whitaker', 'Hugh Laurie']",English,USA,109,26351341
A Monster in Paris,2011,"['Animation', 'Adventure', 'Comedy', 'Fantasy', 'Music', 'Romance']",Bibo Bergeron,Bibo Bergeron,"['Matthieu Chedid', 'Vanessa Paradis', 'Gad Elmaleh']",French,France,90,1043531
It Might Get Loud,2008,"['Documentary', 'Music']",Davis Guggenheim,unknown,"['Jimmy Page', 'Dallas Schoo', 'The Edge']",English,USA,98,1234300
Lawless,2012,"['Crime', 'Drama']",John Hillcoat,Nick Cave,"['Shia LaBeouf', 'Tom Hardy', 'Jason Clarke']",English,USA,116,36300000
Kill Your Darlings,2013,"['Biography', 'Drama', 'Romance', 'Thriller']",John Krokidas,Austin Bunn,"['Daniel Radcliffe', 'Dane DeHaan', 'Michael C. Hall']",English,USA,104,679958
The Sisterhood of the Traveling Pants 2,2008,"['Comedy', 'Drama', 'Romance']",Sanaa Hamri,Elizabeth Chandler,"['Amber Tamblyn', 'Alexis Bledel', 'America Ferrera']",English,USA,119,44029972
The Hurt Locker,2008,"['Drama', 'Thriller', 'War']",Kathryn Bigelow,Mark Boal,"['Jeremy Renner', 'Anthony Mackie', 'Brian Geraghty']",English,USA,131,15700000
The Raid 2,2014,"['Action', 'Crime', 'Thriller']",Gareth Evans,Gareth Evans,"['Iko Uwais', 'Arifin Putra', 'Tio Pakusadewo']",Indonesian,Indonesia,150,2372192
The Taqwacores,2010,"['Drama', 'Music']",Eyad Zahra,Michael Muhammad Knight,"['Bobby Naderi', 'Noureen DeWulf', 'Dominic Rains']",English,USA,83,11175
Anuvahood,2011,"['Comedy', 'Crime', 'Drama']",Adam Deacon,Adam Deacon,"['Adam Deacon', 'Darwood Grace', 'Femi Oyeniran']",unknown,UK,88,1148718
Inkheart,2008,"['Adventure', 'Family', 'Fantasy']",Iain Softley,David Lindsay-Abaire,"['Brendan Fraser', 'Sienna Guillory', 'Eliza Bennett']",English,Germany,106,17281832
Faith of Our Fathers,2015,['Drama'],Carey Scott,Kevin Downes,"['Kevin Downes', 'David A.R. White', 'Stephen Baldwin']",English,USA,96,975344
Blindness,2008,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",Fernando Meirelles,Jose Saramago,"['Yusuke Iseya', 'Jason Bermingham', 'Eduardo Semerjian']",English,Canada,121,3073392
At Middleton,2013,"['Comedy', 'Romance']",Adam Rodgers,Glenn German,"['Andy Garcia', 'Vera Farmiga', 'Taissa Farmiga']",English,USA,99,52926
Clash of the Titans,2010,"['Action', 'Adventure', 'Fantasy']",Louis Leterrier,Travis Beacham,"['Sam Worthington', 'Liam Neeson', 'Ralph Fiennes']",English,USA,106,163100000
Fast Five,2011,"['Action', 'Crime', 'Thriller']",Justin Lin,Chris Morgan,"['Vin Diesel', 'Paul Walker', 'Jordana Brewster']",English,USA,130,209805005
The Hunger Games: Catching Fire,2013,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",Francis Lawrence,Simon Beaufoy,"['Jennifer Lawrence', 'Liam Hemsworth', 'Jack Quaid']",English,USA,146,336663349
War of the Arrows,2011,['Action'],Han-min Kim,Han-min Kim,"['Hae-il Park', 'Seung-ryong Ryu', 'Mu-Yeol Kim']",Korean,South Korea,122,40685
End of Watch,2012,"['Action', 'Crime', 'Drama', 'Thriller']",David Ayer,David Ayer,"['Jake Gyllenhaal', 'Michael Pena', 'Natalie Martinez']",English,USA,109,39100000
Chain Letter,2009,"['Horror', 'Thriller']",Deon Taylor,Deon Taylor,"['Madison Bauer', 'Mark S. Allen', 'Phil Austin']",English,USA,96,138788
The Railway Man,2013,"['Biography', 'Drama', 'Romance', 'War']",Jonathan Teplitzky,Frank Cottrell Boyce,"['Jeremy Irvine', 'Colin Firth', 'Stellan Skarsgard']",English,Switzerland,116,4146580
Identity Thief,2013,"['Adventure', 'Comedy', 'Crime', 'Drama']",Seth Gordon,Craig Mazin,"['Jason Bateman', 'Melissa McCarthy', 'Jon Favreau']",English,USA,111,134455175
Vanishing on 7th Street,2010,"['Horror', 'Mystery', 'Thriller']",Brad Anderson,Anthony Jaswinski,"['Hayden Christensen', 'John Leguizamo', 'Thandie Newton']",English,USA,92,22197
!Women Art Revolution,2010,['Documentary'],Lynn Hershman-Leeson,unknown,['Lynn Hershman-Leeson'],English,USA,83,51530
Mistaken for Strangers,2013,"['Documentary', 'Comedy', 'Music']",Tom Berninger,unknown,"['Matt Berninger', 'Aaron Dessner', 'Bryce Dessner']",English,USA,75,103632
No Escape,2015,"['Action', 'Thriller']",John Erick Dowdle,John Erick Dowdle,"['Owen Wilson', 'Lake Bell', 'Sterling Jerins']",English,USA,103,27274112
This Is Where I Leave You,2014,"['Comedy', 'Drama']",Shawn Levy,Jonathan Tropper,"['Jason Bateman', 'Tina Fey', 'Jane Fonda']",English,USA,103,26730317
Hadewijch,2009,['Drama'],Bruno Dumont,Bruno Dumont,"['Julie Sokolowski', 'Karl Sarafidis', 'Yassine Salime']",French,France,105,4603
Life During Wartime,2009,"['Comedy', 'Drama']",Todd Solondz,Todd Solondz,"['Shirley Henderson', 'Michael Kenneth Williams', 'Roslyn Ruff']",English,USA,98,278821
Beautiful Darling,2010,['Documentary'],James Rasin,James Rasin,"['Candy Darling', 'Andy Warhol', 'Holly Woodlawn']",English,USA,85,13400
Lingaa,2014,"['Action', 'Drama']",K.S. Ravikumar,Pon Kumaran,"['Rajinikanth', 'Anushka Shetty', 'Sonakshi Sinha']",Tamil,India,174,171075
Get on Up,2014,"['Biography', 'Drama', 'Music']",Tate Taylor,Jez Butterworth,"['Chadwick Boseman', 'Nelsan Ellis', 'Dan Aykroyd']",English,UK,139,22838662
The Duchess,2008,"['Biography', 'Drama', 'History', 'Romance']",Saul Dibb,Jeffrey Hatcher,"['Keira Knightley', 'Ralph Fiennes', 'Charlotte Rampling']",English,UK,110,13800000
Into the Storm,2014,"['Action', 'Thriller']",Steven Quale,John Swetnam,"['Richard Armitage', 'Sarah Wayne Callies', 'Matt Walsh']",English,USA,89,40613055
The Bronze,2015,"['Comedy', 'Drama', 'Sport']",Bryan Buckley,Melissa Rauch,"['Melissa Rauch', 'Gary Cole', 'Thomas Middleditch']",English,USA,100,614920
Meet the Patels,2014,"['Documentary', 'Comedy', 'Romance']",Geeta Patel,Matthew Hamachek,"['Ravi Patel', 'Geeta Patel', 'Champa V. Patel']",English,USA,88,1691439
Imogene,2012,['Comedy'],Shari Springer Berman,Michelle Morgan,"['Kristen Wiig', 'Annette Bening', 'Matt Dillon']",English,USA,103,1378426
Expelled: No Intelligence Allowed,2008,['Documentary'],Nathan Frankowski,Kevin Miller,"['Ben Stein', 'Lili Asvar', 'Peter Atkins']",English,USA,90,7499617
Perfect Sense,2011,"['Drama', 'Romance', 'Sci-Fi']",David Mackenzie,Kim Fupz Aakeson,"['Eva Green', 'Lauren Tempany', 'Ewan McGregor']",English,UK,92,1567
Bloodworth,2010,"['Drama', 'Romance']",Shane Dax Taylor,W. Earl Brown,"['Val Kilmer', 'Kris Kristofferson', 'Hilary Duff']",English,USA,105,9612
Lazer Team,2015,"['Action', 'Comedy', 'Sci-Fi']",Matt Hullum,Burnie Burns,"['Burnie Burns', 'Gavin Free', 'Michael Jones']",English,USA,102,1149878
We Bought a Zoo,2011,"['Comedy', 'Drama', 'Family']",Cameron Crowe,Aline Brosh McKenna,"['Matt Damon', 'Scarlett Johansson', 'Thomas Haden Church']",English,USA,124,72700000
Lootera,2013,"['Drama', 'Romance']",Vikramaditya Motwane,O. Henry,"['Ranveer Singh', 'Sonakshi Sinha', 'Barun Chanda']",Hindi,India,136,581813
Goosebumps,2015,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Horror']",Rob Letterman,Darren Lemke,"['Jack Black', 'Dylan Minnette', 'Odeya Rush']",English,USA,103,76079946
A Screaming Man,2010,['Drama'],Mahamat-Saleh Haroun,Mahamat-Saleh Haroun,"['Youssouf Djaoro', 'Diouc Koma', 'Emile Abossolo Mbo']",French,France,92,9862
Get Low,2009,"['Drama', 'Mystery']",Aaron Schneider,Chris Provenzano,"['Robert Duvall', 'Sissy Spacek', 'Bill Murray']",English,USA,103,9176469
Rob the Mob,2014,"['Crime', 'Drama']",Raymond De Felitta,Jonathan Fernandez,"['Michael Pitt', 'Nina Arianda', 'Andy Garcia']",English,USA,104,206909
In the House,2012,"['Comedy', 'Drama', 'Mystery', 'Thriller']",Francois Ozon,Juan Mayorga,"['Fabrice Luchini', 'Ernst Umhauer', 'Kristin Scott Thomas']",French,France,105,469746
Beware of Mr. Baker,2012,['Documentary'],Jay Bulger,Jay Bulger,"['Bob Adcock', 'Tony Allen', 'Carmine Appice']",English,USA,100,65379
Udaan,2010,['Drama'],Vikramaditya Motwane,Vikramaditya Motwane,"['Rajat Barmecha', 'Sanjay Gandhi', 'Ronit Roy']",Hindi,India,134,7461
Fifty Shades of Grey,2015,"['Drama', 'Romance', 'Thriller']",Sam Taylor-Johnson,Kelly Marcel,"['Dakota Johnson', 'Jamie Dornan', 'Jennifer Ehle']",English,USA,125,189859585
All About Steve,2009,"['Comedy', 'Romance']",Phil Traill,Kim Barker,"['Sandra Bullock', 'Thomas Haden Church', 'Bradley Cooper']",English,USA,99,33806061
