Title,Year,Genre,Director,Writer,Actors,Language,Country,Runtime,BoxOffice
Client 9: The Rise and Fall of Eliot Spitzer,2010,Documentary,Alex Gibney,Alex Gibney,Alex Gibney,English,USA,117,187540
Our Times,2015,Comedy,Yu Shan Chen,Yung-Ting Tseng,Vivian Sung,Mandarin,Taiwan,134,148302
Terminator Salvation,2009,Action,McG,John Brancato,Christian Bale,English,USA,115,125286889
"Happy, Happy",2010,Comedy,Anne Sewitsky,Mette M. Bolstad ,Agnes Kittelsen,Norwegian,Norway,85,44947
This Is It,2009,Documentary,Kenny Ortega,unknown,Michael Jackson,English,USA,111,71844424
"I, Tonya",2017,Biography,Craig Gillespie,Steven Rogers,Margot Robbie,English,USA,120,28950158
I Am Ali,2014,Documentary,Clare Lewins,Clare Lewins,Muhammad Ali Jnr,English,UK,111,4178
Lone Survivor,2013,Action,Peter Berg,Peter Berg,Mark Wahlberg,English,USA,121,97665254
Martha Marcy May Marlene,2011,Drama,Sean Durkin,Sean Durkin,Elizabeth Olsen,English,USA,102,2981038
Personal Shopper,2016,Drama,Olivier Assayas,Olivier Assayas,Kristen Stewart,English,France,105,1305195
City of Life and Death,2009,Drama,Chuan Lu,Chuan Lu,Ye Liu,Mandarin,China,133,68767
Little White Lies,2010,Comedy,Guillaume Canet,Guillaume Canet ,Francois Cluzet,French,France,154,183662
Loving Vincent,2017,Animation,Dorota Kobiela,Dorota Kobiela,Douglas Booth,English,Poland,94,6388510
Over Her Dead Body,2008,Comedy,Jeff Lowell,Jeff Lowell,Eva Longoria,English,USA,95,7485689
Jodi Breakers,2012,Comedy,Ashwini Chaudhary,Ashwini Chaudhary,Bipasha Basu,Hindi,India,127,52618
Pirate Radio,2009,Comedy,Richard Curtis,Richard Curtis,Michael Hadley,English,UK,117,8000000
Street Fighter: The Legend of Chun-Li,2009,Action,Andrzej Bartkowiak,Justin Marks ,Kristin Kreuk,English,Canada,96,8646753
Youth in Revolt,2009,Comedy,Miguel Arteta,Gustin Nash ,Michael Cera,English,USA,90,15150933
Confessions of a Shopaholic,2009,Comedy,P.J. Hogan,Tracey Jackson ,Isla Fisher,English,USA,104,44239688
My Brother the Devil,2012,Crime,Sally El Hosaini,Sally El Hosaini,James Floyd,English,UK,111,10305
Snowden,2016,Biography,Oliver Stone,Kieran Fitzgerald ,Melissa Leo,English,France,134,21562346
Adore,2013,Drama,Anne Fontaine,Anne Fontaine ,Naomi Watts,English,Australia,112,200000
The Last Song,2010,Drama,Julie Anne Robinson,Nicholas Sparks ,Miley Cyrus,English,USA,107,42441000
Harry Potter and the Deathly Hallows: Part 2,2011,Adventure,David Yates,Steve Kloves ,Ralph Fiennes,English,USA,130,381000185
Superhero Movie,2008,Action,Craig Mazin,Craig Mazin,Drake Bell,English,USA,75,25815447
Dishoom,2016,Action,Rohit Dhawan,Rohit Dhawan ,John Abraham,Hindi,India,124,442299
Singham,2011,Action,Rohit Shetty,Hari ,Ajay Devgn,Hindi,India,143,287458
Rabbit Hole,2010,Drama,John Cameron Mitchell,David Lindsay-Abaire ,Nicole Kidman,English,USA,91,2221809
Mr. Donkey,2016,Comedy,Lu Liu,Lu Liu,Suxi Ren,Mandarin,China,113,356023
Cesar Chavez,2014,Biography,Diego Luna,Keir Pearson ,Kerry Adra,English,USA,102,5550866
Asura: The City of Madness,2016,Action,Sung-su Kim,Sung-soo Kim,Woo-sung Jung,Korean,South Korea,136,174501
The Cut,2014,Adventure,Fatih Akin,Fatih Akin,Tahar Rahim,Armenian,Germany,138,7803
Canopy,2013,Adventure,Aaron Wilson,Aaron Wilson,Khan Chittenden,English,Australia,84,8462
Fading Gigolo,2013,Comedy,John Turturro,John Turturro,John Turturro,English,USA,90,3179352
The Tree,2010,Drama,Julie Bertuccelli,Judy Pascoe ,Charlotte Gainsbourg,English,France,100,69236
Crazy Eyes,2012,Comedy,Adam Sherman,Adam Sherman,Lukas Haas,English,USA,95,6106
Letters to God,2010,Drama,David Nixon,Patrick Doughtie ,Lisa Curtis,English,USA,110,1121000
Thomas & Friends: Sodor's Legend of the Lost Treasure,2015,Animation,David Stoten,Wilbert Awdry ,Mark Moraghan,English,UK,63,108617
Duplicity,2009,Comedy,Tony Gilroy,Tony Gilroy,Clive Owen,English,USA,125,40559930
Dracula 3D,2012,Horror,Dario Argento,Dario Argento ,Thomas Kretschmann,English,Italy,110,3085
Street Kings,2008,Action,David Ayer,James Ellroy ,Keanu Reeves,English,USA,109,26351341
A Monster in Paris,2011,Animation,Bibo Bergeron,Bibo Bergeron ,Matthieu Chedid,French,France,90,1043531
It Might Get Loud,2008,Documentary,Davis Guggenheim,unknown,Jimmy Page,English,USA,98,1234300
Lawless,2012,Crime,John Hillcoat,Nick Cave ,Shia LaBeouf,English,USA,116,36300000
Kill Your Darlings,2013,Biography,John Krokidas,Austin Bunn ,Daniel Radcliffe,English,USA,104,679958
The Sisterhood of the Traveling Pants 2,2008,Comedy,Sanaa Hamri,Elizabeth Chandler ,Amber Tamblyn,English,USA,119,44029972
The Hurt Locker,2008,Drama,Kathryn Bigelow,Mark Boal,Jeremy Renner,English,USA,131,15700000
The Raid 2,2014,Action,Gareth Evans,Gareth Evans,Iko Uwais,Indonesian,Indonesia,150,2372192
Gold,2016,Adventure,Stephen Gaghan,Patrick Massett,Matthew McConaughey,English,USA,120,7222964
The Taqwacores,2010,Drama,Eyad Zahra,Michael Muhammad Knight ,Bobby Naderi,English,USA,83,11175
Anuvahood,2011,Comedy,Adam Deacon,Adam Deacon,Adam Deacon,unknown,UK,88,1148718
Inkheart,2008,Adventure,Iain Softley,David Lindsay-Abaire ,Brendan Fraser,English,Germany,106,17281832
Faith of Our Fathers,2015,Drama,Carey Scott,Kevin Downes,Kevin Downes,English,USA,96,975344
Blindness,2008,Drama,Fernando Meirelles,Jose Saramago ,Yusuke Iseya,English,Canada,121,3073392
At Middleton,2013,Comedy,Adam Rodgers,Glenn German,Andy Garcia,English,USA,99,52926
Clash of the Titans,2010,Action,Louis Leterrier,Travis Beacham ,Sam Worthington,English,USA,106,163100000
Kong: Skull Island,2017,Action,Jordan Vogt-Roberts,Dan Gilroy ,Tom Hiddleston,English,USA,118,167986460
Brigsby Bear,2017,Comedy,Dave McCary,Kevin Costello ,Kyle Mooney,English,USA,97,529426
Fast Five,2011,Action,Justin Lin,Chris Morgan,Vin Diesel,English,USA,130,209805005
The Hunger Games: Catching Fire,2013,Action,Francis Lawrence,Simon Beaufoy ,Jennifer Lawrence,English,USA,146,336663349
War of the Arrows,2011,Action,Han-min Kim,Han-min Kim ,Hae-il Park,Korean,South Korea,122,40685
End of Watch,2012,Action,David Ayer,David Ayer,Jake Gyllenhaal,English,USA,109,39100000
"Hail, Caesar!",2016,Comedy,Ethan Coen,Joel Coen,Josh Brolin,English,UK,106,27927631
Chain Letter,2009,Horror,Deon Taylor,Deon Taylor,Madison Bauer,English,USA,96,138788
The Ottoman Lieutenant,2017,Drama,Joseph Ruben,Jeff Stockwell,Michiel Huisman,English,Turkey,106,173750
The Railway Man,2013,Biography,Jonathan Teplitzky,Frank Cottrell Boyce ,Jeremy Irvine,English,Switzerland,116,4146580
Identity Thief,2013,Adventure,Seth Gordon,Craig Mazin ,Jason Bateman,English,USA,111,134455175
Vanishing on 7th Street,2010,Horror,Brad Anderson,Anthony Jaswinski,Hayden Christensen,English,USA,92,22197
!Women Art Revolution,2010,Documentary,Lynn Hershman-Leeson,unknown,Lynn Hershman-Leeson,English,USA,83,51530
Mistaken for Strangers,2013,Documentary,Tom Berninger,unknown,Matt Berninger,English,USA,75,103632
David Brent: Life on the Road,2016,Comedy,Ricky Gervais,Ricky Gervais,Ricky Gervais,English,UK,96,2348170
No Escape,2015,Action,John Erick Dowdle,John Erick Dowdle,Owen Wilson,English,USA,103,27274112
This Is Where I Leave You,2014,Comedy,Shawn Levy,Jonathan Tropper ,Jason Bateman,English,USA,103,26730317
No Manches Frida,2016,Comedy,Nacho G. Velilla,Laurence Rosenthal ,Omar Chaparro,Spanish,USA,114,11514388
Hadewijch,2009,Drama,Bruno Dumont,Bruno Dumont ,Julie Sokolowski,French,France,105,4603
Ferdinand,2017,Animation,Carlos Saldanha,Robert L. Baird ,Jack Gore,English,USA,108,70466891
Fifty Shades Darker,2017,Drama,James Foley,Niall Leonard ,Dakota Johnson,English,USA,118,114376885
Life During Wartime,2009,Comedy,Todd Solondz,Todd Solondz,Shirley Henderson,English,USA,98,278821
How to Let Go of the World and Love All the Things Climate Can't Change,2016,Documentary,Josh Fox,Josh Fox,Lester Brown,English,USA,127,13775
Beautiful Darling,2010,Documentary,James Rasin,James Rasin,Candy Darling,English,USA,85,13400
Baar Baar Dekho,2016,Comedy,Nitya Mehra,Sri Rao ,Sidharth Malhotra,Hindi,India,141,612363
Lingaa,2014,Action,K.S. Ravikumar,Pon Kumaran,Rajinikanth,Tamil,India,174,171075
Get on Up,2014,Biography,Tate Taylor,Jez Butterworth ,Chadwick Boseman,English,UK,139,22838662
The Duchess,2008,Biography,Saul Dibb,Jeffrey Hatcher ,Keira Knightley,English,UK,110,13800000
Into the Storm,2014,Action,Steven Quale,John Swetnam,Richard Armitage,English,USA,89,40613055
The Bronze,2015,Comedy,Bryan Buckley,Melissa Rauch,Melissa Rauch,English,USA,100,614920
Meet the Patels,2014,Documentary,Geeta Patel,Matthew Hamachek,Ravi Patel,English,USA,88,1691439
Imogene,2012,Comedy,Shari Springer Berman,Michelle Morgan,Kristen Wiig,English,USA,103,1378426
Expelled: No Intelligence Allowed,2008,Documentary,Nathan Frankowski,Kevin Miller,Ben Stein,English,USA,90,7499617
The Vault,2017,Crime,Dan Bush,Dan Bush,James Franco,English,USA,91,4308
Perfect Sense,2011,Drama,David Mackenzie,Kim Fupz Aakeson,Eva Green,English,UK,92,1567
Bloodworth,2010,Drama,Shane Dax Taylor,W. Earl Brown ,Val Kilmer,English,USA,105,9612
Lazer Team,2015,Action,Matt Hullum,Burnie Burns ,Burnie Burns,English,USA,102,1149878
We Bought a Zoo,2011,Comedy,Cameron Crowe,Aline Brosh McKenna ,Matt Damon,English,USA,124,72700000
Lootera,2013,Drama,Vikramaditya Motwane,O. Henry ,Ranveer Singh,Hindi,India,136,581813
Goosebumps,2015,Adventure,Rob Letterman,Darren Lemke ,Jack Black,English,USA,103,76079946
A Screaming Man,2010,Drama,Mahamat-Saleh Haroun,Mahamat-Saleh Haroun ,Youssouf Djaoro,French,France,92,9862
Get Low,2009,Drama,Aaron Schneider,Chris Provenzano ,Robert Duvall,English,USA,103,9176469
The New Year's Eve of Old Lee,2016,Drama,Qunshu Gao,Er-yang Luo ,Taishen Cheng,Chinese,China,106,24898
Free Fire,2016,Action,Ben Wheatley,Amy Jump ,Enzo Cilenti,English,UK,91,1798483
My Cousin Rachel,2017,Drama,Roger Michell,Roger Michell ,Rachel Weisz,English,UK,106,2711003
Rob the Mob,2014,Crime,Raymond De Felitta,Jonathan Fernandez,Michael Pitt,English,USA,104,206909
The Eyes of My Mother,2016,Drama,Nicolas Pesce,Nicolas Pesce,Diana Agostini,English,USA,76,25981
In the House,2012,Comedy,Francois Ozon,Juan Mayorga ,Fabrice Luchini,French,France,105,469746
Beware of Mr. Baker,2012,Documentary,Jay Bulger,Jay Bulger,Bob Adcock,English,USA,100,65379
Udaan,2010,Drama,Vikramaditya Motwane,Vikramaditya Motwane,Rajat Barmecha,Hindi,India,134,7461
Fifty Shades of Grey,2015,Drama,Sam Taylor-Johnson,Kelly Marcel ,Dakota Johnson,English,USA,125,189859585
All About Steve,2009,Comedy,Phil Traill,Kim Barker,Sandra Bullock,English,USA,99,33806061
Hunt for the Wilderpeople,2016,Adventure,Taika Waititi,Taika Waititi ,Sam Neill,English,New Zealand,101,5202582
Sherlock Holmes: A Game of Shadows,2011,Action,Guy Ritchie,Michele Mulroney,Robert Downey Jr.,English,USA,129,186830669
Killers,2010,Action,Robert Luketic,Bob DeRosa ,Ashton Kutcher,English,USA,100,47000485
The Descendants,2011,Comedy,Alexander Payne,Alexander Payne ,George Clooney,English,USA,115,78500000
5 Days of War,2011,Action,Renny Harlin,Mikko Alanne ,Rupert Friend,English,Georgia,113,17243
Rabbit Hole,2010,Drama,John Cameron Mitchell,David Lindsay-Abaire ,Nicole Kidman,English,USA,91,2221809
Cloverfield,2008,Action,Matt Reeves,Drew Goddard,Lizzy Caplan,English,USA,85,79952254
The Hunger Games: Mockingjay - Part 2,2015,Action,Francis Lawrence,Peter Craig ,Jennifer Lawrence,English,Germany,137,254641329
Nanny McPhee Returns,2010,Comedy,Susanna White,Emma Thompson,Maggie Gyllenhaal,English,UK,109,28995450
Shadow Dancer,2012,Drama,James Marsh,Tom Bradby ,Barry Barnes,English,UK,101,99134
Sleight,2016,Action,J.D. Dillard,J.D. Dillard,Jacob Latimore,English,USA,89,3847290
"Food, Inc.",2008,Documentary,Robert Kenner,Robert Kenner,Eric Schlosser,English,USA,94,4238694
The Bounty Hunter,2010,Action,Andy Tennant,Sarah Thorp,Gerard Butler,English,USA,110,66700000
Stonewall Uprising,2010,Documentary,Kate Davis,David Carter ,Paul Bosche,English,USA,80,127940
Goddess,2013,Comedy,Mark Lamprell,Mark Lamprell,Laura Michelle Kelly,English,Australia,104,1002313
How to Train Your Dragon,2010,Animation,Dean DeBlois,William Davies ,Jay Baruchel,English,USA,98,216900000
Room,2015,Drama,Lenny Abrahamson,Emma Donoghue ,Brie Larson,English,Ireland,118,14677654
Underworld: Rise of the Lycans,2009,Action,Patrick Tatopoulos,Danny McBride ,Michael Sheen,English,USA,92,45802315
District 9,2009,Action,Neill Blomkamp,Neill Blomkamp,Sharlto Copley,English,South Africa,112,115646235
Always Shine,2016,Drama,Sophia Takal,Lawrence Michael Levine,Mackenzie Davis,English,USA,85,11891
Plastic,2014,Action,Julian Gilbey,Chris Howard,Ed Speleers,English,UK,102,154441
Fashion,2008,Drama,Madhur Bhandarkar,Ajay Monga ,Priyanka Chopra,Hindi,India,167,173551
Ninja Assassin,2009,Action,James McTeigue,Matthew Sand ,Rain,English,Germany,99,38105077
In the Heart of the Sea,2015,Action,Ron Howard,Charles Leavitt ,Chris Hemsworth,English,USA,122,19043843
You Don't Mess with the Zohan,2008,Comedy,Dennis Dugan,Adam Sandler,Adam Sandler,English,USA,113,100018837
Shutter Island,2010,Mystery,Martin Scorsese,Laeta Kalogridis ,Leonardo DiCaprio,English,USA,138,125001000
Chavela,2017,Documentary,Catherine Gund,unknown,Pedro Almodovar,English,Mexico,93,144764
The Mechanic,2011,Action,Simon West,Richard Wenk ,Jason Statham,English,USA,93,29113588
The Hateful Eight,2015,Crime,Quentin Tarantino,Quentin Tarantino,Samuel L. Jackson,English,USA,187,54116191
Timbuktu,2014,Drama,Abderrahmane Sissako,Abderrahmane Sissako ,Ibrahim Ahmed,French,Mauritania,97,696436
Radio Free Albemuth,2010,Drama,John Alan Simon,John Alan Simon ,Shea Whigham,English,USA,111,169298
JCVD,2008,Comedy,Mabrouk El Mechri,Mabrouk El Mechri ,Jean-Claude Van Damme,French,Belgium,97,382923
Delhi Belly,2011,Action,Abhinay Deo,Mr. Moris ,Imran Khan,English,India,103,1531757
Hatchet II,2010,Comedy,Adam Green,Adam Green,Danielle Harris,English,USA,85,52604
Enthiran,2010,Action,S. Shankar,Madhan Karky ,Rajinikanth,Tamil,India,174,1520108
Top Cat Begins,2015,Animation,Andres Couturier,James Krieg ,Jason Harris,Spanish,Mexico,89,139568
Lebanon,2009,Drama,Samuel Maoz,Samuel Maoz,Yoav Donat,Hebrew,Israel,93,300000
Saala Khadoos,2016,Action,Sudha Kongara,Sudha Kongara ,Madhavan,Hindi,India,109,76931
Computer Chess,2013,Comedy,Andrew Bujalski,Andrew Bujalski,Kriss Schludermann,English,USA,92,101218
Circumstance,2011,Drama,Maryam Keshavarz,Maryam Keshavarz,Nikohl Boosheri,Persian,France,107,452602
Alps,2011,Drama,Yorgos Lanthimos,Efthymis Filippou ,Angeliki Papoulia,Greek,Greece,93,5571
Fukrey,2013,Comedy,Mrighdeep Lamba,Mrighdeep Lamba ,Altaf,Hindi,India,139,87133
Watchmen,2009,Action,Zack Snyder,David Hayter ,Malin Akerman,English,USA,162,107453620
Cop Car,2015,Crime,Jon Watts,Jon Watts,Kevin Bacon,English,USA,88,128002
The Damned United,2009,Biography,Tom Hooper,Peter Morgan ,Colm Meaney,English,UK,98,315306
The Reader,2008,Drama,Stephen Daldry,David Hare ,Ralph Fiennes,English,USA,124,34111418
Jurassic World,2015,Action,Colin Trevorrow,Rick Jaffa ,Chris Pratt,English,USA,124,528757749
Brave New Jersey,2016,Comedy,Jody Lambert,Michael Dowling,Anna Camp,English,USA,86,14105
Sworn Virgin,2015,Drama,Laura Bispuri,Elvira Dones ,Alba Rohrwacher,Albanian,Italy,84,4235
American Sniper,2014,Action,Clint Eastwood,Jason Hall,Bradley Cooper,English,USA,133,274377268
Drillbit Taylor,2008,Comedy,Steven Brill,Kristofor Brown ,Nate Hartley,English,USA,110,32853640
Macbeth,2015,Drama,Justin Kurzel,Todd Louiso ,Jack Madigan,English,UK,113,1795802
Baahubali 2: The Conclusion,2017,Action,S.S. Rajamouli,Vijayendra Prasad ,Prabhas,Telugu,India,167,18977072
Valerian and the City of a Thousand Planets,2017,Action,Luc Besson,Pierre Christin ,Dane DeHaan,English,France,137,40442321
Perfect Sense,2011,Drama,David Mackenzie,Kim Fupz Aakeson,Eva Green,English,UK,92,1567
Immigration Tango,2010,Comedy,David Burton Morris,Martin L. Kelley ,Elika Portnoy,English,USA,92,23812
"Like Sunday, Like Rain",2014,Drama,Frank Whaley,Frank Whaley,Julian Shatkin,English,USA,104,27623
The Young Victoria,2009,Biography,Jean-Marc Vallee,Julian Fellowes,Emily Blunt,English,UK,105,10900000
A United Kingdom,2016,Biography,Amma Asante,Guy Hibbert ,David Oyelowo,Tswana,Czech Republic,111,3901302
Nasty Baby,2015,Drama,Sebastian Silva,Sebastian Silva ,Sebastian Silva,English,USA,101,79800
Least Among Saints,2012,Crime,Martin Papazian,Martin Papazian,Martin Papazian,English,USA,107,28026
Religulous,2008,Documentary,Larry Charles,unknown,Bill Maher,English,USA,101,12995673
The Darkest Hour,2011,Action,Chris Gorak,Jon Spaihts ,Emile Hirsch,English,USA,89,21426805
AmeriGeddon,2016,Action,Mike Norris,Gary Heavin,Aliya Astaphan,English,USA,90,316554
The Shape of Water,2017,Adventure,Guillermo del Toro,Guillermo del Toro ,Sally Hawkins,English,USA,123,57393976
17 Again,2009,Comedy,Burr Steers,Jason Filardi,Zac Efron,English,USA,102,64087443
Harold & Kumar Escape from Guantanamo Bay,2008,Adventure,Jon Hurwitz,Jon Hurwitz,John Cho,English,USA,104,38087366
Krazzy 4,2008,Comedy,Jaideep Sen,Ashwani Dhir ,Juhi Chawla,Hindi,India,110,433472
