Title,Year,Genre,Director,Writer,Actors,Language,Country,Runtime,BoxOffice
My Afternoons with Margueritte,2010,Comedy,Jean Becker,Jean Becker ,Gerard Depardieu,French,France,82,24584
Vampires Suck,2010,Comedy,Jason Friedberg,Jason Friedberg,Jenn Proske,English,USA,82,36300000
The Moth Diaries,2011,Drama,Mary Harron,Rachel Klein ,Sarah Bolger,English,Canada,82,3838
"Connected: An Autoblogography About Love, Death & Technology",2011,Documentary,Tiffany Shlain,Tiffany Shlain,Ken Goldberg,English,USA,82,13304
4:44 Last Day on Earth,2011,Drama,Abel Ferrara,Abel Ferrara,Shanyn Leigh,English,USA,82,15738
The FP,2011,Comedy,Brandon Trost,Jason Trost ,Jason Trost,English,USA,82,24656
Art Is... The Permanent Revolution,2012,Documentary,Manfred Kirchheimer,unknown,Sigmund Abeles,English,USA,82,4252
The Apparition,2012,Horror,Todd Lincoln,Todd Lincoln,Ashley Greene,English,USA,82,4700000
The Collection,2012,Horror,Marcus Dunstan,Patrick Melton,Josh Stewart,English,USA,82,6842058
Mansome,2012,Documentary,Morgan Spurlock,Jeremy Chilnick,Jason Bateman,English,USA,82,18395
28 Hotel Rooms,2012,Drama,Matt Ross,Matt Ross,Chris Messina,English,USA,82,16017
It Felt Like Love,2013,Drama,Eliza Hittman,Eliza Hittman,Gina Piersanti,English,USA,82,31173
Gerontophilia,2013,Comedy,Bruce La Bruce,Bruce La Bruce ,Pier-Gabriel Lajoie,English,Canada,82,4780
Cutie and the Boxer,2013,Documentary,Zachary Heinzerling,Zachary Heinzerling,Noriko Shinohara,English,USA,82,199274
Puerto Ricans in Paris,2015,Comedy,Ian Edelman,Ian Edelman,Miriam Shor,English,USA,82,90884
The Pearl Button,2015,Documentary,Patricio Guzman,Patricio Guzman ,Martin Calderon,Spanish,France,82,1409
Five Nights in Maine,2015,Drama,Maris Curran,Maris Curran,David Oyelowo,English,USA,82,15138
College Road Trip,2008,Adventure,Roger Kumble,Emi Mochizuki,Martin Lawrence,English,USA,83,45500000
An American Carol,2008,Comedy,David Zucker,David Zucker,Trace Adkins,English,USA,83,6960000
My Dog Tulip,2009,Animation,Paul Fierlinger,J.R. Ackerley ,Christopher Plummer,English,USA,83,246574
Dance Flick,2009,Action,Damien Dante Wayans,Keenen Ivory Wayans,Shoshana Bush,English,USA,83,25615792
Dance Flick,2009,Action,Damien Dante Wayans,Keenen Ivory Wayans,Shoshana Bush,English,USA,83,25615792
The Taqwacores,2010,Drama,Eyad Zahra,Michael Muhammad Knight ,Bobby Naderi,English,USA,83,11175
!Women Art Revolution,2010,Documentary,Lynn Hershman-Leeson,unknown,Lynn Hershman-Leeson,English,USA,83,51530
Thunder Soul,2010,Documentary,Mark Landsman,unknown,Craig Baldwin,English,USA,83,110870
Inhale,2010,Drama,Baltasar Kormakur,Walter Doty ,Mia Stallard,English,USA,83,3030
Littlerock,2010,Drama,Mike Ott,Mike Ott,Atsuko Okatsuka,English,USA,83,15595
30 Minutes or Less,2011,Action,Ruben Fleischer,Michael Diliberti ,Jesse Eisenberg,English,USA,83,37100000
30 Minutes or Less,2011,Action,Ruben Fleischer,Michael Diliberti ,Jesse Eisenberg,English,USA,83,37100000
The Art of Getting By,2011,Drama,Gavin Wiesen,Gavin Wiesen,Freddie Highmore,English,USA,83,1429260
"Jeff, Who Lives at Home",2011,Comedy,Jay Duplass,Jay Duplass,Jason Segel,English,USA,83,4244155
Paranormal Activity 3,2011,Horror,Henry Joost,Christopher Landon,Lauren Bittner,English,USA,83,103993239
Dislecksia: The Movie,2012,Documentary,Harvey Hubbell V,Eric Gardner,Billy Blanks,English,USA,83,2213
Piranha 3DD,2012,Comedy,John Gulager,Patrick Melton,Danielle Panabaker,English,USA,83,370904
Nobody Walks,2012,Drama,Ry Russo-Young,Lena Dunham,John Krasinski,English,USA,83,24995
The Devil Inside,2012,Horror,William Brent Bell,William Brent Bell,Fernanda Andrade,English,USA,83,53245055
Zambezia,2012,Animation,Wayne Thornley,Raffaella Delle Donne ,Leonard Nimoy,English,South Africa,83,1038657
No Place on Earth,2012,Documentary,Janet Tobias,Janet Tobias,Saul Stermer,English,UK,83,199659
The Playroom,2012,Drama,Julia Dyer,Gretchen Dyer,Ian Veteto,English,USA,83,3900
The Dictator,2012,Comedy,Larry Charles,Sacha Baron Cohen,Sacha Baron Cohen,English,USA,83,57700000
Gore Vidal: The United States of Amnesia,2013,Documentary,Nicholas D. Wrathall,unknown,Gore Vidal,English,USA,83,133296
God Loves Uganda,2013,Documentary,Roger Ross Williams,Benjamin Gray,unknown,English,USA,83,47991
Blackfish,2013,Documentary,Gabriela Cowperthwaite,Gabriela Cowperthwaite,Tilikum,English,USA,83,1279789
InAPPropriate Comedy,2013,Comedy,Vince Offer,Ken Pringle,Rob Schneider,English,USA,83,156414
Max Rose,2013,Drama,Daniel Noah,Daniel Noah ,Kerry Bishe,English,USA,83,56365
Unfriended,2014,Drama,Levan Gabriadze,Nelson Greaves,Heather Sossaman,English,USA,83,31354666
Planes: Fire & Rescue,2014,Animation,Roberts Gannaway,Roberts Gannaway ,Dane Cook,English,USA,83,42622300
Krisha,2015,Drama,Trey Edward Shults,Trey Edward Shults,Krisha Fairchild,English,USA,83,143978
Hell Ride,2008,Action,Larry Bishop,Larry Bishop,Julia Jones,English,USA,84,194287
London River,2009,Drama,Rachid Bouchareb,Rachid Bouchareb ,Brenda Blethyn,English,UK,84,1044
Cropsey,2009,Documentary,Barbara Brancaccio,Joshua Zeman,Joshua Zeman,English,USA,84,42393
Black Dynamite,2009,Action,Scott Sanders,Michael Jai White ,Phyllis Applegate,English,USA,84,131862
Next Day Air,2009,Action,Benny Boom,Blair Cobbs,Donald Faison,English,USA,84,10017041
Around a Small Mountain,2009,Comedy,Jacques Rivette,Jacques Rivette ,Jane Birkin,French,France,84,31005
Carriers,2009,Drama,David Pastor,Alex Pastor,Lou Taylor Pucci,English,USA,84,90820
The Topp Twins: Untouchable Girls,2009,Documentary,Leanne Pooley,unknown,Jools Topp,English,New Zealand,84,13999
Oceans,2009,Documentary,Jacques Perrin,Christophe Cheysson,Pierce Brosnan,French,France,84,19000000
Joan Rivers: A Piece of Work,2010,Documentary,Ricki Stern,Ricki Stern,Joan Rivers,English,USA,84,2927972
Public Speaking,2010,Documentary,Martin Scorsese,unknown,James Baldwin,English,USA,84,12698
Bill Cunningham: New York,2010,Documentary,Richard Press,unknown,Bill Cunningham,English,USA,84,1510026
Rare Exports: A Christmas Tale,2010,Adventure,Jalmari Helander,Jalmari Helander,Onni Tommila,Finnish,Finland,84,236210
Tales of the Night,2011,Animation,Michel Ocelot,Michel Ocelot,Julien Beramis,French,France,84,7154
Glee: The 3D Concert Movie,2011,Documentary,Kevin Tancharoen,unknown,Dianna Agron,English,USA,84,11860839
The Woman in the Fifth,2011,Drama,Pawel Pawlikowski,Douglas Kennedy ,Ethan Hawke,English,France,84,112498
Gnomeo & Juliet,2011,Animation,Kelly Asbury,Rob Sprackling ,James McAvoy,English,UK,84,99808609
Dream House,2011,Drama,Jim Sheridan,David Loucka,Daniel Craig,English,USA,84,21300000
The Perfect Family,2011,Comedy,Anne Renton,Paula Goldberg ,Kathleen Turner,English,USA,84,107721
Kumare,2011,Documentary,Vikram Gandhi,unknown,Vikram Gandhi,English,USA,84,130836
Hellbound?,2012,Documentary,Kevin Miller,Kevin Miller,Kevin Miller,English,Canada,84,21920
The Bay,2012,Horror,Barry Levinson,Michael Wallach ,Nansi Aluka,English,USA,84,30474
An Oversimplification of Her Beauty,2012,Animation,Terence Nance,Terence Nance,Alisa Becher,English,USA,84,42308
Citadel,2012,Drama,Ciaran Foy,Ciaran Foy,Wunmi Mosaku,English,Ireland,84,10080
A Place at the Table,2012,Documentary,Kristi Jacobson,unknown,Adam Appelhanz,English,USA,84,230522
Casa de mi Padre,2012,Comedy,Matt Piedmont,Andrew Steele,Will Ferrell,Spanish,USA,84,5895238
Chronicle,2012,Drama,Josh Trank,Max Landis ,Dane DeHaan,English,USA,84,60800000
Canopy,2013,Adventure,Aaron Wilson,Aaron Wilson,Khan Chittenden,English,Australia,84,8462
Our Nixon,2013,Documentary,Penny Lane,unknown,Richard Nixon,English,USA,84,19249
Contracted,2013,Drama,Eric England,Eric England,Najarra Townsend,English,USA,84,3328
Plot for Peace,2013,Documentary,Carlos Agullo,Stephen Smith,Jean-Yves Ollivier,English,South Africa,84,2554
Seymour: An Introduction,2014,Documentary,Ethan Hawke,unknown,Seymour Bernstein,English,USA,84,723701
Paranormal Activity: The Marked Ones,2014,Horror,Christopher Landon,Christopher Landon,Andrew Jacobs,English,USA,84,28605090
Red Army,2014,Documentary,Gabe Polsky,Gabe Polsky,Scotty Bowman,English,USA,84,694600
Sworn Virgin,2015,Drama,Laura Bispuri,Elvira Dones ,Alba Rohrwacher,Albanian,Italy,84,4235
Take Me to the River,2015,Drama,Matt Sobel,Matt Sobel,Logan Miller,English,USA,84,27938
Phantom Boy,2015,Animation,Jean-Loup Felicioli,Alain Gagnol,Edouard Baer,French,France,84,30987
Among the Believers,2015,Documentary,Mohammed Naqvi,Jonathan Goodman Levitt,Abdul Aziz,English,Pakistan,84,1900
Cloverfield,2008,Action,Matt Reeves,Drew Goddard,Lizzy Caplan,English,USA,85,79952254
Cloverfield,2008,Action,Matt Reeves,Drew Goddard,Lizzy Caplan,English,USA,85,79952254
The Pirates Who Don't Do Anything: A VeggieTales Movie,2008,Animation,Mike Nawrocki,Phil Vischer,Phil Vischer,English,USA,85,12701880
I.O.U.S.A.,2008,Documentary,Patrick Creadon,Patrick Creadon,Robert Bixby,English,USA,85,634829
The Legend of Pale Male,2009,Documentary,Frederic Lilien,Janet Hess,unknown,English,USA,85,38083
[Rec] 2,2009,Horror,Jaume Balaguero,Jaume Balaguero ,Jonathan D. Mellor,Spanish,Spain,85,27024
Winnebago Man,2009,Documentary,Ben Steinbauer,Malcolm Pullinger,Jack Rebney,English,USA,85,17817400
Bran Nue Dae,2009,Comedy,Rachel Perkins,Jimmy Chi ,Rocky McKenzie,English,Australia,85,100000
Saint John of Las Vegas,2009,Comedy,Hue Rhodes,Hue Rhodes,Steve Buscemi,English,USA,85,72245
Videocracy,2009,Documentary,Erik Gandini,Erik Gandini,Silvio Berlusconi,English,Sweden,85,363
Dragonball: Evolution,2009,Action,James Wong,Ben Ramsey ,Justin Chatwin,English,USA,85,9353573
Last Train Home,2009,Documentary,Lixin Fan,unknown,Changhua Zhang,Mandarin,Canada,85,285848
"Happy, Happy",2010,Comedy,Anne Sewitsky,Mette M. Bolstad ,Agnes Kittelsen,Norwegian,Norway,85,44947
Beautiful Darling,2010,Documentary,James Rasin,James Rasin,Candy Darling,English,USA,85,13400
Hatchet II,2010,Comedy,Adam Green,Adam Green,Danielle Harris,English,USA,85,52604
Gulliver's Travels,2010,Adventure,Rob Letterman,Joe Stillman ,Jack Black,English,USA,85,42776259
Freakonomics,2010,Documentary,Heidi Ewing,Peter Bull,James Ransone,English,USA,85,67674
2012: Time for Change,2010,Documentary,Joao G. Amorim,unknown,Daniel Pinchbeck,English,USA,85,63516
Caterpillar,2010,Drama,Koji Wakamatsu,Hisako Kurosawa ,Shinobu Terajima,Japanese,Japan,85,2109
Benda Bilili!,2010,Documentary,Renaud Barret,Renaud Barret ,Leon Likabu,Lingala,The Democratic Republic Of Congo,85,11267
Putty Hill,2010,Drama,Matthew Porterfield,Jordan Mintzer ,Sky Ferreira,English,USA,85,48644
This Movie Is Broken,2010,Drama,Bruce McDonald,Kevin Drew ,Georgina Reilly,English,Canada,85,34826
Urbanized,2011,Documentary,Gary Hustwit,unknown,Norman Foster,English,USA,85,36208
Apart,2011,Drama,Aaron Rottinghaus,Josh Danziger ,Olesya Rulin,English,USA,85,3161
Balls to the Wall,2011,Comedy,Penelope Spheeris,Jason Nutt ,Joe Hursley,English,USA,85,3140
Sound of My Voice,2011,Drama,Zal Batmanglij,Zal Batmanglij,Christopher Denham,English,USA,85,300000
If a Tree Falls: A Story of the Earth Liberation Front,2011,Documentary,Marshall Curry,Marshall Curry,Daniel McGowan,English,USA,85,61153
Eames: The Architect & The Painter,2011,Documentary,Jason Cohn,Jason Cohn ,Charles Eames,English,USA,85,147591
Putin's Kiss,2011,Documentary,Lise Birk Pedersen,unknown,Masha Drokova,Russian,Denmark,85,5139
Gayby,2012,Comedy,Jonathan Lisecki,Jonathan Lisecki,Jenn Harris,English,USA,85,8387
Hating Breitbart,2012,Documentary,Andrew Marcus,Andrew Marcus,Andrew Breitbart,English,USA,85,81432
Why Stop Now?,2012,Comedy,Phil Dorling,Phil Dorling ,Jesse Eisenberg,English,USA,85,1641
"For a Good Time, Call...",2012,Comedy,Jamie Travis,Katie Anne Naylon,Lauren Miller Rogen,English,USA,85,1200000
StreetDance 2,2012,Drama,Max Giwa,Jane English ,Falk Hentschel,English,UK,85,1124582
Keith Lemon: The Film,2012,Comedy,Paul Angunawela,Leigh Francis ,Leigh Francis,English,UK,85,1567045
The Campaign,2012,Comedy,Jay Roach,Chris Henchy ,Will Ferrell,English,USA,85,86897182
Mosquita y Mari,2012,Drama,Aurora Guerrero,Aurora Guerrero,Fenessa Pineda,Spanish,USA,85,6256
Return to Nuke 'Em High Volume 1,2013,Comedy,Lloyd Kaufman,Travis Campbell,Asta Paredes,English,USA,85,4735
Fruitvale Station,2013,Biography,Ryan Coogler,Ryan Coogler,Michael B. Jordan,English,USA,85,11010136
Our Man in Tehran,2013,Documentary,Drew Taylor,Drew Taylor,Assadollah Alam,English,Canada,85,2333
If You Build It,2013,Documentary,Patrick Creadon,unknown,Erick Bowen,English,USA,85,11079
Afflicted,2013,Horror,Derek Lee,Derek Lee ,Derek Lee,English,Canada,85,121179
Locke,2013,Drama,Steven Knight,Steven Knight,Tom Hardy,English,UK,85,1326469
After Tiller,2013,Documentary,Martha Shane,Greg O'Toole,George Tiller,English,USA,85,66275
Khumba,2013,Animation,Anthony Silverston,Raffaella Delle Donne,Jake T. Austin,English,South Africa,85,90465
Thunder and the House of Magic,2013,Animation,Jeremy Degruson,Ben Stassen ,Cinda Adams,English,Belgium,85,1606608
Supermensch: The Legend of Shep Gordon,2013,Documentary,Beth Aala,unknown,Shep Gordon,English,USA,85,137317
The Prophet,2014,Animation,Roger Allers,Roger Allers ,Liam Neeson,English,USA,85,217451
Alien Abduction,2014,Horror,Matty Beckerman,Robert Lewis,Katherine Sigismund,English,USA,85,10514
I Smile Back,2015,Drama,Adam Salky,Paige Dylan,Josh Charles,English,USA,85,50092
Go Away Mr Tumour,2015,Comedy,Yan Han,Yuan Yuan,Baihe Bai,Mandarin,China,85,284404
A Ballerina's Tale,2015,Documentary,Nelson George,unknown,Misty Copeland,English,USA,85,93891
Welcome to Leith,2015,Documentary,Michael Beach Nichols,Michael Beach Nichols,Craig Cobb,English,USA,85,36010
